"","T-69","T-63","T-57","T-51","T-45","T-39","T-33","T-27","T-21","T-15","T-9","T-3"
"virus_comp_315_cycle_1_1",442.917290100147,147.99913890849,-48.6129618859473,547.866629856693,593.57688776279,91.5403292919978,5.64654852170256,-379.468887468441,-499.276368816794,-727.925618354145,-1030.55096254066,-1219.81586350101
"virus_comp_2572_cycle_1_4",95.149739634741,73.5373805484556,59.1291411575985,19.634559443817,2.96934282790769,4.38952495828797,-10.5927042005777,-28.0998045705369,-51.8116916650482,-60.2526623788589,-44.5192747836337,-70.4453037097128
"virus_comp_17959_cycle_1_11",924.194830719587,664.441521260031,491.272648286988,128.904167601233,1.8521137784517,-11.4363686840348,-167.796407552072,-423.383883823519,-671.75176835008,-804.27630142834,-545.199368904923,-887.855640056086
"virus_comp_17959_cycle_1_10",1050.29236471493,749.696544828825,549.299331571408,142.791120731165,1.46830043732164,-14.7558792144481,-192.925663907034,-491.934195506985,-774.798487418914,-930.931328551545,-629.062219294968,-1026.64016515687
"virus_comp_17813_cycle_1_1",285.745455485725,244.057292135134,216.265183234739,41.4672576898301,-32.4611310634859,-35.1872396161964,-99.4395971426321,-85.7834808811192,-216.854707029933,-187.378786003831,-164.433621692551,-195.439899455368
"virus_comp_392_cycle_1_1",2996.30198122688,2567.13674887088,2281.02659396688,340.475432105423,-457.542163625124,-460.818220274345,-1156.14245889015,-986.404264931354,-2429.28704992278,-2075.81130952807,-1781.45602151894,-2110.09913696785
"virus_comp_17959_cycle_1_12",354.1592816566,251.407545426827,182.906387940311,56.9858996209024,10.8761558517368,0.481492621246215,-59.2004885179412,-161.192047372932,-254.700101849923,-309.75074863952,-215.511348679552,-347.875736143244
"virus_comp_7609_cycle_1_2",0.11230644508716,-0.253255335546389,-0.496963189302083,0.208043112191881,0.115414090133123,-0.488525383363137,-0.54512653111743,-0.978684622431682,-1.11839459774204,-1.34437431418455,-1.88247919359136,-2.04798195755116
"virus_comp_1727_cycle_1_2",-24.1225356708256,-35.5627903376797,-43.1896267822491,0.580119845200511,12.524761905653,-7.18557953248285,-7.80262513257957,-27.3262914505187,-22.1544414426225,-37.7371962283306,-49.2899722629846,-57.194783479808
"virus_comp_152_cycle_1_8",-862.733373289613,-678.107329470004,-555.023300256934,-102.078274593377,146.541026343073,377.185222934738,538.51407496205,479.133395618273,723.148951820222,823.512010367238,933.712625067686,1121.80967255807
