"orf_id","mean_abundance","prevalence","max_abundance","cv","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","direction","celiac_direction","abundance_class","prevalence_class"
"edge_1468_12",2.22222222222222,0.0326797385620915,315,9.97592347506377,0.074383469660216,1.44255962703473,3.84991336679536,0.000162009707693136,0.000665971202998119,0.553831762511651,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_14",2.29738562091503,0.042483660130719,289,8.77894773160849,0.074518232724947,1.48995291363483,3.93034599601587,0.000117110996535284,0.000545632220963682,0.853682227576755,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_16",3.02287581699346,0.0490196078431373,333,8.73287211217986,0.0780825329893445,1.5240692114739,4.13565196556379,4.92676388804649e-05,0.000351570590793236,1.64782984747628,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_32",9.68300653594771,0.0294117647058824,1412,10.5027777342843,0.0853202214256563,1.49001233322949,4.36903849966312,1.87183769620172e-05,0.000212207284085184,2.54565002410297,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"edge_1468_40",4.07516339869281,0.0392156862745098,793,11.8023731847026,0.0691781066141346,1.45563757733312,3.61087938067315,0.00043072383081953,0.00127267370587828,-0.326328519841666,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_41",15.5849673202614,0.0392156862745098,3652,13.5822652083519,0.076807647806209,1.51879701378321,3.68443626529137,0.00034472644272013,0.00108717534058442,-0.108772389576187,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"edge_1468_42",11.6503267973856,0.0294117647058824,1976,10.4691395174989,0.080727339228606,1.49818870833262,3.9990199068247,8.97017674969912e-05,0.000471349905693976,1.09983003568052,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"edge_1468_43",3.34640522875817,0.0392156862745098,569,10.6216519042833,0.0725650492771593,1.45479510730307,4.02473279898919,7.49023348587322e-05,0.000444461788665866,1.25304497634983,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_44",0.797385620915033,0.0457516339869281,93,9.10408007511605,0.0678057283975341,1.42160193421429,4.37523556957811,1.71874302235659e-05,0.000206825277662352,2.61536871965676,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_45",3.28104575163399,0.0294117647058824,464,10.254918260966,0.0709116618899768,1.44696233998082,3.43929932901498,0.000728662393335557,0.00186487948139189,-0.819985568401665,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_49",1.83986928104575,0.0392156862745098,222,9.42946778887767,0.0723326695620766,1.4418133098055,4.09552057364144,6.39336573339409e-05,0.000411083874320324,1.41611848824608,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_50",6.5718954248366,0.0392156862745098,1435,12.8799703004854,0.0665489026013261,1.46088828017251,3.51260063400562,0.000583147838627318,0.00158799044804456,-0.61163609794361,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"edge_1468_54",0.957516339869281,0.0392156862745098,162,10.0390644277003,0.0609269629667694,1.44044765411778,4.1191906561124,4.91218652678797e-05,0.000351570590793236,1.63792391894653,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_55",0.689542483660131,0.042483660130719,121,10.3649187106064,0.0625931715751349,1.42375032677268,4.32793294651699,2.04219668837274e-05,0.000222166245795701,2.4523699146874,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_57",11.5555555555556,0.042483660130719,3036,15.0608485480498,0.0736564322787584,1.50269590149901,4.17488368592817,4.29326152861469e-05,0.00032794336304717,1.77718891331735,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"edge_1468_58",5.19934640522876,0.0457516339869281,1206,13.509656381576,0.0681654247213127,1.48066083696942,3.46721926215363,0.000667447782679679,0.00176186583810298,-0.738238733399292,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"edge_1468_62",3.66993464052288,0.0359477124183007,776,12.26750186497,0.0722440772687487,1.47602080274885,4.20390444112264,3.98229197361633e-05,0.00031652608528301,1.85344272707921,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_66",2.2156862745098,0.0294117647058824,535,13.8675157787356,0.0701872848630614,1.42352240292005,4.42431799360206,1.49792640131499e-05,0.000193298511857153,2.7527386587926,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_68",0.444444444444444,0.0359477124183007,49,8.58231597769415,0.0606343066423762,1.39241082081337,4.26806697902512,3.11315707565161e-05,0.00027370368738586,2.0795102670225,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_71",1.93464052287582,0.0457516339869281,338,10.3194630675076,0.0707206127718602,1.49428171575711,4.1973365666087,3.49941099093318e-05,0.000288801964539083,1.95337705911539,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_72",4.17320261437909,0.042483660130719,482,9.24855488311069,0.0828123753634042,1.51285917807822,4.69103526630047,4.63933534338091e-06,0.000110287617939033,3.85089664750652,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_73",188.346405228758,0.042483660130719,57012,17.3038530773912,0.0686248251780346,1.50641048782086,3.65529039457347,0.00044538059894708,0.00129641866234055,-0.31796686596049,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"edge_1468_74",575.323529411765,0.0294117647058824,174530,17.3418053662498,0.0666081698576861,1.49243332805138,3.38765703688133,0.00112931410529568,0.00259609667321974,-1.15793037623353,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"edge_1468_77",1.42156862745098,0.0359477124183007,280,11.8420286497324,0.0660641777213576,1.41430814929588,3.3348292651872,0.0010847926963362,0.00251251985796578,-1.176419480355,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
"edge_1468_83",33.3725490196078,0.0294117647058824,4630,10.4629009067787,0.0854809345961849,1.54544564593733,3.95184007123772,0.000107774896606092,0.000516071447318107,0.935085595653781,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"edge_1476_20",12.2549019607843,0.0555555555555556,3055,14.3007316974697,0.0755003296932696,1.59741876235305,3.83575774321818,0.00017229889966978,0.000693704354932161,0.510747165613706,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"edge_1476_22",41.7679738562092,0.0588235294117647,10279,14.2091718103852,0.0709497326646819,1.63276891873946,3.1661518344886,0.00220031107867424,0.00430078953127434,-1.76851950750737,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"edge_1476_23",120.738562091503,0.065359477124183,35099,16.6229576485373,0.0688287892517268,1.67527007479241,3.42607212623049,0.00101239371369816,0.00237685179423907,-1.04348868393122,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"edge_1476_4",2.87581699346405,0.0294117647058824,504,11.0094203713158,0.0762621488756082,1.42861542479662,4.43275779381654,1.86980033689639e-05,0.000212207284085184,2.57748405140099,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Low","Rare"
