"","T0.72","T0.66","T0.60","T0.54","T0.48","T0.42","T0.36","T0.30","T0.24","T0.18","T0.12","T0.6","T0"
"virus_comp_152_cycle_1_8",-9.85373900580617,-9.64780261509915,-9.40749579290061,-9.11900153038681,-6.68759648330325,7.20497236643049,8.56294918284752,9.07551678732504,8.90729147573429,9.50014266878215,9.68739669880563,9.86837907015877,10.1328976819218
"virus_comp_18116_cycle_1_3",-14.7748161848623,-14.393960886742,-13.8750250479431,-13.0567053920299,-13.628371214932,-13.7949887683188,-12.7342282078944,-10.5517366002418,12.9176160368412,13.3804474492473,14.3468790051884,14.2459053516206,14.8278201950226
"virus_comp_1545_cycle_1_6",-10.16983516717,-9.94419365138671,-9.67659818510578,-9.34780134805339,-8.41962465157019,-6.77813820592131,6.52049090477582,8.01647919849717,8.43599335360717,9.09020113925225,9.46557930545985,9.75038923590529,10.0643547114509
"virus_comp_169_cycle_1_6",-9.779222175346,-9.44863215745532,-9.0190415388081,-8.40452484222253,-7.97394823176687,-6.82169671077594,6.70397619484012,7.8834563950485,8.72714630447346,9.10264861419557,9.58792137465778,9.79129750618117,10.1358221172009
"virus_comp_18116_cycle_1_4",-14.3726863100861,-13.8619648870276,-13.0641945878317,-11.129561120282,-14.6026632148939,-15.0738419085972,-14.3046015452047,-14.1179987552374,-12.2675780564938,-11.4179501811781,13.08628040152,12.6556419050993,14.1216634431922
"virus_comp_285_cycle_1_126",-11.7645011830839,-11.4743205194729,-11.1106905876068,-10.6233540616765,-10.3365490231909,-9.84805073898599,-6.40394470615039,8.66729367393219,10.0896439749158,10.6408171294266,11.2316654839896,11.441349481361,11.8432426996868
"virus_comp_174_cycle_1_3",-10.5905008155463,-10.3517992833589,-10.0656178775559,-9.7082576947618,-8.59865272123666,-4.89709640507347,7.72937527998072,8.79691583074796,9.10643350427451,9.68964296992521,10.0191184318417,10.2596981812679,10.5684271070859
"virus_comp_174_cycle_1_2",-9.8363001061303,-9.56534413046817,-9.23145152416553,-8.796249998623,-7.91686138182231,-5.93220392170128,7.19135186472798,8.14541751611944,8.62161222648622,9.08387789981103,9.48328874523015,9.71306652547506,10.0300788491438
"virus_comp_6059_cycle_1_5",-11.5519044836813,-11.236489954873,-10.8322434714412,-10.2686238371697,-9.89018207294186,-9.05453243051644,4.81085088636387,8.85918113826393,10.1572193443994,10.5924080742067,11.1409572786687,11.3467178875352,11.7189351106849
"virus_comp_174_cycle_1_4",-10.357090868434,-10.1326260185101,-9.86668520210874,-9.54038648335265,-8.39976284492759,-5.81751229252063,7.50176553682978,8.570071574153,8.81132314908402,9.45445318944677,9.77707588202445,10.0252753694723,10.3316863432704
"virus_comp_18116_cycle_1_2",-15.5037346626565,-15.0814941800849,-14.4820169190482,-13.4375753279699,-15.1613919048039,-15.5279666055997,-14.7346001124659,-14.3318616292934,10.169732005324,12.4547143691555,14.6283430979788,14.3996924789196,15.3316073674242
"virus_comp_167_cycle_1_1",-9.61383879957468,-9.29016653780808,-8.87221739967502,-8.28141393296753,-7.44718657527805,-6.70711226463882,6.64489625416425,7.81804516535332,8.62696268089252,9.01850505184405,9.54389680438427,9.67031402997215,10.0439828090454
"virus_comp_6059_cycle_1_4",-10.4539723016879,-10.1892019081652,-9.86466590875217,-9.44527139847762,-8.72079975867809,-7.94047617525515,2.09169074977892,7.72972971580629,8.77544042727072,9.38614281879579,9.90036861828475,10.1078592212345,10.4803779679135
"virus_comp_169_cycle_1_4",-9.81909072678296,-9.54220868664132,-9.19925668803901,-8.74848384477256,-7.8980688379243,-7.43647186693939,-3.90828285844092,7.0307504728694,8.19774966466809,8.89187287004296,9.41189359690205,9.54008954498475,9.94725894700992
"virus_comp_6059_cycle_1_3",-10.6204068448968,-10.4442276819159,-10.2435014941395,-10.010263360957,-9.46154257818773,-8.92780555472811,-7.98802410473224,-6.04537112858665,6.63895531776169,8.14966602735463,8.94201298356136,9.56562337497649,9.90052281206767
"virus_comp_138_cycle_1_2",-9.66359609335996,-9.26269697575757,-8.70560223930886,-7.78611430866149,-9.38418879270281,-9.48466967795746,-8.17012096627366,-7.86305738325492,7.75482422619223,6.88828209725595,8.91274261777397,9.53723845269889,9.91026783763707
"virus_comp_152_cycle_1_2",-10.3982064458482,-10.1154134804312,-9.76333070584862,-9.2965910308625,-9.03761048179368,-8.82394566569795,-6.46365298624803,6.66022102535017,8.67662360096987,9.21415654422959,9.88208861149871,10.1304263022459,10.5156948384658
"virus_comp_169_cycle_1_3",-9.80976097434326,-9.42091736887923,-8.88695768300088,-8.02996516720123,-8.84825696971602,-8.82816583620836,-6.47669061358981,4.61043811150082,8.53727913486174,8.69659907657372,9.55572162607884,9.81220946051193,10.2099505939138
"virus_comp_545_cycle_1_1",-12.0290320499858,-11.7359490683212,-11.3677410139093,-10.8721099738432,-10.8718944392457,-10.3724998241181,-9.17300873267172,-6.14232532350839,9.9894397449661,10.3593419287141,11.1467828726594,11.5300983451633,11.8990929927083
"virus_comp_167_cycle_1_3",-10.4675641297567,-10.1766742286657,-9.81192773418458,-9.32257506676829,-8.3808062684035,-4.49250638314405,7.98750656515795,8.88637764662048,9.35251607361929,9.78992866387654,10.1706661334342,10.3419198465439,10.6745863629137
"virus_comp_2204_cycle_1_7",-11.2054782477585,-11.217192487024,-11.2288123758579,-11.2403394219848,-5.80512173648211,8.97955469118816,6.38215892345106,8.99710665995716,-6.5851952855246,8.00041447225052,8.0900265523354,9.07775155354417,8.95194644447134
"virus_comp_18116_cycle_1_1",-15.673472443968,-15.2694403359767,-14.7062399163027,-13.7696232683626,-14.4294563396735,-14.6240700316924,-13.4565778074581,-10.2656212282889,14.2785040581192,14.7243523309997,15.4780227898938,15.3813996833193,15.9158129616578
"virus_comp_545_cycle_1_2",-10.6552913853602,-10.407938905396,-10.1092186450127,-9.73205003960041,-9.17908847710364,-8.27265547621391,-5.52692100108892,7.44114271995671,8.7220498178931,9.30998664901346,9.83506040727594,10.1667704691989,10.5029183108442
