"","orf","total_PA"
"1","virus_comp_2813_cycle_1_6",103
"2","virus_comp_18378_cycle_1_1",61
"3","virus_comp_2455_cycle_1_11",39
"4","virus_comp_103_cycle_1_4",21
"5","virus_comp_16559_cycle_1_2",21
"6","virus_comp_16559_cycle_1_3",21
"7","virus_comp_5117_cycle_1_1",21
"8","virus_comp_5117_cycle_1_4",21
"9","virus_comp_16559_cycle_1_1",20
"10","virus_comp_7129_cycle_1_3",20
"11","virus_comp_8074_cycle_1_1",20
"12","virus_comp_8200_cycle_1_1",19
"13","virus_comp_103_cycle_1_3",18
"14","virus_comp_13180_cycle_1_1",18
"15","virus_comp_14463_cycle_1_1",18
"16","virus_comp_4028_cycle_1_2",18
"17","virus_comp_5117_cycle_1_2",18
"18","virus_comp_5552_cycle_1_3",18
"19","virus_comp_7129_cycle_1_1",18
"20","virus_comp_99_cycle_1_1",18
"21","virus_comp_4028_cycle_1_1",17
"22","virus_comp_15228_cycle_1_1",16
"23","virus_comp_8200_cycle_1_2",16
"24","virus_comp_1133_cycle_1_5",15
"25","virus_comp_15228_cycle_1_2",15
"26","virus_comp_5117_cycle_1_3",15
"27","virus_comp_6408_cycle_1_1",15
"28","virus_comp_1102_cycle_1_1",14
"29","virus_comp_1103_cycle_1_6",14
"30","virus_comp_1105_cycle_1_1",14
"31","virus_comp_1133_cycle_1_3",14
"32","virus_comp_1133_cycle_1_4",14
"33","virus_comp_15228_cycle_1_3",14
"34","virus_comp_54_cycle_1_2",14
"35","virus_comp_5552_cycle_1_2",14
"36","edge_1980_3",14
"37","virus_comp_103_cycle_1_1",13
"38","virus_comp_1133_cycle_1_1",13
"39","virus_comp_1133_cycle_1_2",13
"40","virus_comp_12691_cycle_1_3",13
"41","virus_comp_54_cycle_1_1",13
"42","virus_comp_9222_cycle_1_1",13
"43","virus_comp_99_cycle_1_2",13
"44","edge_311_11",13
"45","virus_comp_104_cycle_1_1",12
"46","virus_comp_1102_cycle_1_2",12
"47","virus_comp_1102_cycle_1_6",12
"48","virus_comp_1103_cycle_1_11",12
"49","virus_comp_1133_cycle_1_7",12
"50","virus_comp_14513_cycle_1_1",12
"51","virus_comp_14666_cycle_1_1",12
"52","virus_comp_14666_cycle_1_2",12
"53","virus_comp_17783_cycle_1_5",12
"54","virus_comp_2477_cycle_1_2",12
"55","virus_comp_4695_cycle_1_2",12
"56","virus_comp_4695_cycle_1_3",12
"57","virus_comp_6408_cycle_1_4",12
"58","edge_295_56",12
"59","virus_comp_10599_cycle_1_4",11
"60","virus_comp_1102_cycle_1_5",11
"61","virus_comp_1103_cycle_1_7",11
"62","virus_comp_1133_cycle_1_6",11
"63","virus_comp_1173_cycle_1_5",11
"64","virus_comp_14666_cycle_1_3",11
"65","virus_comp_16214_cycle_1_1",11
"66","virus_comp_17918_cycle_1_3",11
"67","virus_comp_2475_cycle_5_2",11
"68","virus_comp_2477_cycle_1_3",11
"69","virus_comp_2477_cycle_1_5",11
"70","virus_comp_5552_cycle_1_1",11
"71","virus_comp_6559_cycle_1_3",11
"72","virus_comp_85_cycle_1_4",11
"73","virus_comp_86_cycle_1_4",11
"74","virus_comp_86_cycle_1_5",11
"75","virus_comp_99_cycle_1_3",11
"76","edge_187_1",11
"77","edge_2194_13",11
"78","edge_2194_14",11
"79","edge_306_3",11
"80","edge_311_13",11
"81","edge_965_7",11
"82","virus_comp_1133_cycle_1_10",10
"83","virus_comp_12035_cycle_1_2",10
"84","virus_comp_14703_cycle_1_1",10
"85","virus_comp_14858_cycle_1_2",10
"86","virus_comp_17798_cycle_1_1",10
"87","virus_comp_17903_cycle_1_3",10
"88","virus_comp_17955_cycle_1_1",10
"89","virus_comp_18003_cycle_1_1",10
"90","virus_comp_18362_cycle_1_3",10
"91","virus_comp_2195_cycle_1_1",10
"92","virus_comp_2475_cycle_5_1",10
"93","virus_comp_2475_cycle_5_5",10
"94","virus_comp_2838_cycle_1_5",10
"95","virus_comp_2957_cycle_1_5",10
"96","virus_comp_315_cycle_1_1",10
"97","virus_comp_407_cycle_1_1",10
"98","virus_comp_4502_cycle_1_5",10
"99","virus_comp_6559_cycle_1_2",10
"100","virus_comp_73_cycle_1_13",10
"101","virus_comp_932_cycle_1_4",10
"102","edge_187_2",10
"103","edge_187_4",10
"104","edge_187_5",10
"105","edge_2194_32",10
"106","edge_295_57",10
"107","edge_295_58",10
"108","edge_303_4",10
"109","edge_303_7",10
"110","edge_305_3",10
"111","edge_311_10",10
"112","edge_311_16",10
"113","edge_311_17",10
"114","edge_311_18",10
"115","edge_311_8",10
"116","edge_311_9",10
"117","edge_48666_3",10
"118","virus_comp_1103_cycle_1_4",9
"119","virus_comp_1105_cycle_1_2",9
"120","virus_comp_1133_cycle_1_9",9
"121","virus_comp_17783_cycle_1_3",9
"122","virus_comp_17792_cycle_1_1",9
"123","virus_comp_17808_cycle_1_4",9
"124","virus_comp_17903_cycle_1_14",9
"125","virus_comp_17903_cycle_1_27",9
"126","virus_comp_17903_cycle_1_33",9
"127","virus_comp_17903_cycle_1_41",9
"128","virus_comp_17903_cycle_1_5",9
"129","virus_comp_17910_cycle_1_45",9
"130","virus_comp_17920_cycle_1_1",9
"131","virus_comp_17955_cycle_1_2",9
"132","virus_comp_18547_cycle_1_1",9
"133","virus_comp_2200_cycle_1_3",9
"134","virus_comp_2383_cycle_1_12",9
"135","virus_comp_2438_cycle_1_11",9
"136","virus_comp_2438_cycle_1_13",9
"137","virus_comp_2438_cycle_1_15",9
"138","virus_comp_2438_cycle_1_2",9
"139","virus_comp_2475_cycle_5_12",9
"140","virus_comp_2475_cycle_5_6",9
"141","virus_comp_2476_cycle_1_3",9
"142","virus_comp_2477_cycle_1_6",9
"143","virus_comp_2477_cycle_1_7",9
"144","virus_comp_250_cycle_1_139",9
"145","virus_comp_250_cycle_1_145",9
"146","virus_comp_250_cycle_1_148",9
"147","virus_comp_250_cycle_1_149",9
"148","virus_comp_250_cycle_1_150",9
"149","virus_comp_250_cycle_1_165",9
"150","virus_comp_2506_cycle_1_4",9
"151","virus_comp_2551_cycle_1_1",9
"152","virus_comp_280_cycle_1_2",9
"153","virus_comp_2945_cycle_1_6",9
"154","virus_comp_3621_cycle_1_3",9
"155","virus_comp_407_cycle_1_8",9
"156","virus_comp_407_cycle_1_9",9
"157","virus_comp_4442_cycle_1_3",9
"158","virus_comp_4830_cycle_1_5",9
"159","virus_comp_593_cycle_1_114",9
"160","virus_comp_593_cycle_1_28",9
"161","virus_comp_7056_cycle_1_2",9
"162","virus_comp_722_cycle_1_44",9
"163","virus_comp_722_cycle_1_46",9
"164","virus_comp_73_cycle_1_8",9
"165","virus_comp_7974_cycle_1_2",9
"166","edge_1847_24",9
"167","edge_187_3",9
"168","edge_187_6",9
"169","edge_187_8",9
"170","edge_1979_7",9
"171","edge_1980_4",9
"172","edge_1986_3",9
"173","edge_1990_4",9
"174","edge_2194_15",9
"175","edge_2194_16",9
"176","edge_300_2",9
"177","edge_311_12",9
"178","edge_311_15",9
"179","edge_311_19",9
"180","edge_329_26",9
"181","edge_48666_1",9
"182","edge_48666_2",9
"183","edge_957_36",9
"184","virus_comp_1103_cycle_1_10",8
"185","virus_comp_1133_cycle_1_8",8
"186","virus_comp_11443_cycle_1_1",8
"187","virus_comp_11535_cycle_1_1",8
"188","virus_comp_12_cycle_1_8",8
"189","virus_comp_12691_cycle_1_1",8
"190","virus_comp_1392_cycle_1_1",8
"191","virus_comp_14703_cycle_1_2",8
"192","virus_comp_1727_cycle_1_2",8
"193","virus_comp_17778_cycle_1_2",8
"194","virus_comp_17808_cycle_1_1",8
"195","virus_comp_17866_cycle_1_50",8
"196","virus_comp_17889_cycle_1_15",8
"197","virus_comp_17903_cycle_1_17",8
"198","virus_comp_17903_cycle_1_28",8
"199","virus_comp_17903_cycle_1_30",8
"200","virus_comp_17903_cycle_1_37",8
"201","virus_comp_17903_cycle_1_4",8
"202","virus_comp_17903_cycle_1_40",8
"203","virus_comp_17903_cycle_1_43",8
"204","virus_comp_17903_cycle_1_44",8
"205","virus_comp_17903_cycle_1_46",8
"206","virus_comp_17903_cycle_1_8",8
"207","virus_comp_17910_cycle_1_47",8
"208","virus_comp_18118_cycle_1_10",8
"209","virus_comp_18118_cycle_1_8",8
"210","virus_comp_18182_cycle_1_3",8
"211","virus_comp_18182_cycle_1_4",8
"212","virus_comp_18182_cycle_1_5",8
"213","virus_comp_18364_cycle_1_1",8
"214","virus_comp_2080_cycle_1_8",8
"215","virus_comp_2119_cycle_1_3",8
"216","virus_comp_2169_cycle_1_12",8
"217","virus_comp_2195_cycle_1_4",8
"218","virus_comp_2383_cycle_1_11",8
"219","virus_comp_2383_cycle_1_7",8
