,orf_id,Intercept._logFC,Intercept._AveExpr,Intercept._t,Intercept._P.Value,Intercept._adj.P.Val,Intercept._B,Dx.Status(CONTROL vs CELIAC)_logFC,Dx.Status(CONTROL vs CELIAC)_AveExpr,Dx.Status(CONTROL vs CELIAC)_t,Dx.Status(CONTROL vs CELIAC)_P.Value,Dx.Status(CONTROL vs CELIAC)_adj.P.Val,Dx.Status(CONTROL vs CELIAC)_B,onset_timeline_numeric_logFC,onset_timeline_numeric_AveExpr,onset_timeline_numeric_t,onset_timeline_numeric_P.Value,onset_timeline_numeric_adj.P.Val,onset_timeline_numeric_B,Sex(Male vs Female)_logFC,Sex(Male vs Female)_AveExpr,Sex(Male vs Female)_t,Sex(Male vs Female)_P.Value,Sex(Male vs Female)_adj.P.Val,Sex(Male vs Female)_B,Age.at.Gluten.Introduction..months._logFC,Age.at.Gluten.Introduction..months._AveExpr,Age.at.Gluten.Introduction..months._t,Age.at.Gluten.Introduction..months._P.Value,Age.at.Gluten.Introduction..months._adj.P.Val,Age.at.Gluten.Introduction..months._B,HLA.Category(High.Risk vs Standard Risk)_logFC,HLA.Category(High.Risk vs Standard Risk)_AveExpr,HLA.Category(High.Risk vs Standard Risk)_t,HLA.Category(High.Risk vs Standard Risk)_P.Value,HLA.Category(High.Risk vs Standard Risk)_adj.P.Val,HLA.Category(High.Risk vs Standard Risk)_B,HLA.Category(Low.No.Risk vs Standard Risk)_logFC,HLA.Category(Low.No.Risk vs Standard Risk)_AveExpr,HLA.Category(Low.No.Risk vs Standard Risk)_t,HLA.Category(Low.No.Risk vs Standard Risk)_P.Value,HLA.Category(Low.No.Risk vs Standard Risk)_adj.P.Val,HLA.Category(Low.No.Risk vs Standard Risk)_B,feeding_first_year(Formula vs Breast_fed)_logFC,feeding_first_year(Formula vs Breast_fed)_AveExpr,feeding_first_year(Formula vs Breast_fed)_t,feeding_first_year(Formula vs Breast_fed)_P.Value,feeding_first_year(Formula vs Breast_fed)_adj.P.Val,feeding_first_year(Formula vs Breast_fed)_B,feeding_first_yearBreastmilk_and_formula_logFC,feeding_first_yearBreastmilk_and_formula_AveExpr,feeding_first_yearBreastmilk_and_formula_t,feeding_first_yearBreastmilk_and_formula_P.Value,feeding_first_yearBreastmilk_and_formula_adj.P.Val,feeding_first_yearBreastmilk_and_formula_B,Delivery.Mode(C.Section vs Vaginal)_logFC,Delivery.Mode(C.Section vs Vaginal)_AveExpr,Delivery.Mode(C.Section vs Vaginal)_t,Delivery.Mode(C.Section vs Vaginal)_P.Value,Delivery.Mode(C.Section vs Vaginal)_adj.P.Val,Delivery.Mode(C.Section vs Vaginal)_B,Dx.Status(CONTROL vs CELIAC).onset_timeline_numeric_logFC,Dx.Status(CONTROL vs CELIAC).onset_timeline_numeric_AveExpr,Dx.Status(CONTROL vs CELIAC).onset_timeline_numeric_t,Dx.Status(CONTROL vs CELIAC).onset_timeline_numeric_P.Value,Dx.Status(CONTROL vs CELIAC).onset_timeline_numeric_adj.P.Val,Dx.Status(CONTROL vs CELIAC).onset_timeline_numeric_B
edge_1494_7,edge_1494_7,0.0226635442034357,0.901242958269905,0.0137557847669472,0.989156300715327,0.999180114455521,-4.59663625318341,2.19616071943221,0.901242958269905,3.03927659002804,0.0062958821859039,0.0187703645378187,-2.29554776857831,-0.0144775946373022,0.901242958269905,-0.609999521516477,0.548488920151306,0.680998475784191,-6.02750844971017,-1.6989104273587,0.901242958269905,-2.42674175609805,0.0244443355957245,0.13256554295326,-3.35077495772184,0.342002230511116,0.901242958269905,1.79090384733807,0.0879183008729129,0.605203227615583,-4.39461783346282,1.20059150700095,0.901242958269905,1.29982320080654,0.20792512801672,0.947523421766759,-4.59208805335342,0.469848570169303,0.901242958269905,0.256683201571714,0.799952752258305,0.999066860692725,-4.59626444301068,-1.34065175396465,0.901242958269905,-1.54846020060726,0.136638293816887,0.726866897920755,-4.5883261755632,-1.34018745930792,0.901242958269905,-1.73693741888153,0.0972307661182536,0.302691364887439,-4.24981583690608,2.39242992745328,0.901242958269905,2.99035025320644,0.00703863307510343,0.0253163910808168,-2.33597719474311,0.0211910806520306,0.901242958269905,0.606055054039374,0.551055093753594,0.999369459381768,-5.48666532384988
edge_1496_1,edge_1496_1,0.493352583890473,1.14994972370808,0.228161209210002,0.821755642520842,0.996995076828017,-4.59638205052253,0.799363104071673,1.14994972370808,0.839161011471068,0.410948685700357,0.41800864880473,-5.62358100520568,0.0343334131975719,1.14994972370808,1.14398161140175,0.265665094250817,0.525522209676308,-5.55062905258987,-1.12676136878798,1.14994972370808,-1.26556259951152,0.219704723602089,0.256638234474779,-5.03013919765252,0.507977906396775,1.14994972370808,1.99487446672044,0.0593653131612777,0.509716676750306,-4.04039619620211,2.91344165975557,1.14994972370808,2.27101399014046,0.0339286092344574,0.947523421766759,-4.58257523247291,-0.332290307097052,1.14994972370808,-0.144919534139774,0.886173667862681,0.999066860692725,-4.59628095025916,-2.97537272936333,1.14994972370808,-2.48454052799119,0.0215999277847875,0.667861404268331,-4.57789749770203,-2.45365029465183,1.14994972370808,-2.37120770783747,0.027501865760314,0.255539570794627,-3.37131932749038,2.32966460251911,1.14994972370808,2.28597884709403,0.0328882204548485,0.0546855802865533,-3.62632328533171,-0.0376140203533492,1.14994972370808,-0.865604637787638,0.396611022095656,0.999369459381768,-5.30818355673623
edge_1496_11,edge_1496_11,0.118679774565044,1.17041560737285,0.0651515763144454,0.948743407566458,0.999180114455521,-4.59645032650562,0.929486984740146,1.17041560737285,1.15220149334897,0.263727394568006,0.274045065945986,-5.32839838294897,0.0460352540063126,1.17041560737285,1.83470644694658,0.0824777524842166,0.37843195122414,-4.63681768659746,-1.56233597005768,1.17041560737285,-2.08890047559013,0.0506061724724111,0.137045098537776,-3.91512400684462,0.580682792052249,1.17041560737285,2.71489194606976,0.0138545480607913,0.26082919591716,-2.85234964644829,2.13561625518641,1.17041560737285,1.97772334349265,0.0628578602777882,0.947523421766759,-4.58602270502691,-0.162762656786032,1.17041560737285,-0.0842742515788606,0.933732275954884,0.999066860692725,-4.59630001335303,-3.18926710842564,1.17041560737285,-3.12668876999261,0.00562296730293038,0.476666782282088,-4.57069037465549,-2.84459061286894,1.17041560737285,-3.24513752035024,0.00431825235235288,0.246710802488296,-2.08872322966671,2.66541301511826,1.17041560737285,3.09630748515807,0.00601526240764705,0.0238533733689824,-2.17340505253937,-0.0443007001136835,1.17041560737285,-1.21736063135924,0.238577167270427,0.98551789154441,-4.99448848449316
edge_1496_14,edge_1496_14,-0.115243325672709,1.04241683507792,-0.0640974906942305,0.949352315202632,0.999180114455521,-4.59654021929667,1.45268468063233,1.04241683507792,1.80882471932624,0.0813309724173997,0.100755407063958,-4.48428450808114,0.0384742109831227,1.04241683507792,1.50454616776466,0.143743693718013,0.473509059570057,-5.1162819607212,-1.8584289001777,1.04241683507792,-2.4919615493791,0.0189588095518189,0.13256554295326,-3.17492661589854,0.543674613617536,1.04241683507792,2.5252665420273,0.0175636321569603,0.27741736017228,-3.10213165871891,1.89544533293226,1.04241683507792,1.8117881266433,0.080860072994103,0.947523421766759,-4.58659270359275,0.0971299316942523,1.04241683507792,0.0499214734320769,0.960542722787276,0.999066860692725,-4.59633502312791,-2.74246883529764,1.04241683507792,-2.75787427274979,0.0101755983542754,0.53172760482348,-4.57112798432234,-2.22436853373145,1.04241683507792,-2.57848765846078,0.0155297981136689,0.248935615922487,-2.98807825346044,2.81050554368699,1.04241683507792,3.28558538453629,0.00276035077611535,0.0204499202773092,-1.57686736592909,-0.0251526076109144,1.04241683507792,-0.675892739187002,0.50470557710095,0.999369459381768,-5.44334082274643
edge_1496_2,edge_1496_2,-0.103797554101175,1.10814971872981,-0.0604843522207208,0.9524461671145,0.999180114455521,-4.59648692900833,1.0556572222373,1.10814971872981,1.39118690397434,0.181374093506355,0.194949899246426,-5.06677665132062,0.0379411582496114,1.10814971872981,1.59787043502632,0.127732938665259,0.44983520655101,-4.99770201090117,-1.53880602392949,1.10814971872981,-2.18046444895779,0.0429456328837343,0.13371596301557,-3.78198089776814,0.57316617895658,1.10814971872981,2.8139324664238,0.0116037492656674,0.26082919591716,-2.69723541571729,2.03654285428317,1.10814971872981,2.01186512784161,0.0596773586298585,0.947523421766759,-4.58540143470014,-0.0363501716980938,1.10814971872981,-0.0197964191235351,0.984426766010837,0.999066860692725,-4.59631829154234,-2.97246848827094,1.10814971872981,-3.11464205391504,0.0060640181024857,0.476666782282088,-4.57031981470483,-2.67850910182027,1.10814971872981,-3.2399250503925,0.00461239351118905,0.246710802488296,-2.12057158882217,2.64367406527717,1.10814971872981,3.25923499189023,0.00442133633683796,0.0213136079673525,-1.89958707532942,-0.0396708648597007,1.10814971872981,-1.14348174523607,0.268037489085664,0.988574891499618,-5.06957205819346
edge_1496_21,edge_1496_21,-0.145977812960629,1.0551066708411,-0.0891974369560544,0.929924440094231,0.998522197632097,-4.59650479052695,1.15816892806377,1.0551066708411,1.60251468474058,0.126700003322468,0.143859931858751,-4.79917151658245,0.0310172835169103,1.0551066708411,1.34999892870571,0.19399332403718,0.525034127491691,-5.32082837338225,-1.56021467920502,1.0551066708411,-2.31224863393289,0.0329928038231149,0.13256554295326,-3.57025297914564,0.544962034166522,1.0551066708411,2.78322312413183,0.0123891969561065,0.26082919591716,-2.75163476835425,1.93210480276123,1.0551066708411,2.01189182634402,0.0596742968265012,0.947523421766759,-4.58512788190259,0.123096597022426,1.0551066708411,0.0698670019241782,0.945081185585118,0.999066860692725,-4.5963189410863,-2.68159044964249,1.0551066708411,-2.95553929569597,0.00856183078678946,0.496586185633789,-4.57172731656737,-2.47756211598188,1.0551066708411,-3.1444172199135,0.00568303293423176,0.246710802488296,-2.25735007052607,2.60081604442416,1.0551066708411,3.35397269668713,0.00359109588284838,0.0207300896350969,-1.72069827256953,-0.0359985315206954,1.0551066708411,-1.07184125157098,0.298159068998779,0.999369459381768,-5.13327207004539
edge_1496_3,edge_1496_3,-0.0334059404192835,1.11544110603226,-0.0193434080049745,0.984771652091247,0.999180114455521,-4.59648430281288,1.01955124579367,1.11544110603226,1.33291967663113,0.198539963556049,0.211646877879329,-5.13395259854225,0.0409976667839645,1.11544110603226,1.72178084897975,0.101577111962776,0.415190675769091,-4.81729382160807,-1.54211963200151,1.11544110603226,-2.17439071552797,0.0427025148232517,0.13371596301557,-3.78387554440543,0.570149636050191,1.11544110603226,2.79533632425791,0.0116444784959957,0.26082919591716,-2.70972356859114,2.01607316812917,1.11544110603226,1.98348427215969,0.0621629333778602,0.947523421766759,-4.5856320556842,-0.0462971238236248,1.11544110603226,-0.0251073519270398,0.980234801756164,0.999066860692725,-4.59631656120808,-3.00932635895143,1.11544110603226,-3.13363636545557,0.00553682082405842,0.476666782282088,-4.56973782581134,-2.6997661828926,1.11544110603226,-3.25270823582208,0.00424576898745703,0.246710802488296,-2.06668464263698,2.66747521002645,1.11544110603226,3.27298607552825,0.00405744451289798,0.0210838080234493,-1.83683503377643,-0.0424593573223635,1.11544110603226,-1.21981208503777,0.237667887511563,0.98551789154441,-4.99317624776915
edge_1496_4,edge_1496_4,-0.0597708200915801,1.06338658007418,-0.0347933605705988,0.972612498656007,0.999180114455521,-4.59649991284094,1.06619428963333,1.06338658007418,1.40065036220597,0.17766183102429,0.191473236166489,-5.05612150850524,0.0374757033604593,1.06338658007418,1.56183020943951,0.135059401689346,0.458647737587707,-5.04218242717058,-1.5756762773416,1.06338658007418,-2.23059128079515,0.0381390160452217,0.13256554295326,-3.69470761708242,0.552779263657677,1.06338658007418,2.70669334135244,0.0141010453239158,0.26082919591716,-2.86787715330368,1.95011050612796,1.06338658007418,1.9443892633046,0.0670167656604391,0.947523421766759,-4.58580962952326,0.0895513138559593,1.06338658007418,0.04862114754485,0.961735739756269,0.999066860692725,-4.59631918633694,-2.8144913532587,1.06338658007418,-2.95359707189788,0.00824286658698652,0.496586185633789,-4.57161086777741,-2.56279094138488,1.06338658007418,-3.10636030089746,0.00588259552661056,0.246710802488296,-2.28705105208563,2.66145670690489,1.06338658007418,3.28021414652518,0.00399231478615682,0.0210173949353208,-1.82354698344131,-0.0423104213352302,1.06338658007418,-1.20534063209388,0.24307401012507,0.986916667568798,-5.00267692533119
edge_1496_5,edge_1496_5,-0.209012134619785,1.05376988836095,-0.12664437537472,0.900571007959754,0.996995076828017,-4.59649885996913,1.18322129865095,1.05376988836095,1.62507560558714,0.120848429806436,0.139229002645392,-4.76931694767059,0.0288137603809789,1.05376988836095,1.24175803748381,0.229645463552593,0.525034127491691,-5.45123326804392,-1.55705061802263,1.05376988836095,-2.2846623132924,0.034175635906717,0.13256554295326,-3.60694598729548,0.550566378127199,1.05376988836095,2.78154211150423,0.0119978163457572,0.26082919591716,-2.73412770078489,1.96585262071195,1.05376988836095,2.02465125771026,0.0573939882113597,0.947523421766759,-4.58488940724096,0.118685837043196,1.05376988836095,0.0666864073704583,0.947537774796912,0.999066860692725,-4.59632058633116,-2.66870107904274,1.05376988836095,-2.91714487205545,0.00892908609330008,0.507529253543177,-4.5717067333133,-2.47488761058158,1.05376988836095,-3.11110803743326,0.00582093396680691,0.246710802488296,-2.27693759451857,2.57877662311613,1.05376988836095,3.29326120966095,0.00387733672308413,0.0209655348657892,-1.79869039414701,-0.0337684886279131,1.05376988836095,-0.995722751159899,0.332070695473686,0.999369459381768,-5.20281250792583
edge_1496_6,edge_1496_6,0.15184964097948,1.24845156954831,0.0780688844098782,0.938234452315374,0.999180114455521,-4.5964568537387,1.42394242595476,1.24845156954831,1.62838836367358,0.11274667705978,0.131466142294036,-4.72433000924617,0.056639780814251,1.24845156954831,2.08024997757052,0.0451699498346196,0.319909767767305,-4.17973662329083,-1.93033241096044,1.24845156954831,-2.40033601743913,0.0220463335859336,0.13256554295326,-3.30638234905267,0.580919779717981,1.24845156954831,2.51765880192839,0.0167308400333753,0.271708842142015,-3.07550761931334,1.98392577115706,1.24845156954831,1.71180567657935,0.0961121483337279,0.947523421766759,-4.58844226647352,-0.337713986771209,1.24845156954831,-0.163554352712209,0.871057837202938,0.999066860692725,-4.59628108663536,-3.39524854041433,1.24845156954831,-3.09204598597083,0.00397247197704631,0.476666782282088,-4.56714593900868,-2.52071140847725,1.24845156954831,-2.67705198169338,0.0113832057351483,0.246710802488296,-2.79509567142561,2.98521287453965,1.24845156954831,3.22224883062266,0.00281752493174841,0.0204499202773092,-1.61767279437785,-0.0212737900676362,1.24845156954831,-0.54924033197921,0.586457849691927,0.999369459381768,-5.52153036986058
