,logFC,AveExpr,t,P.Value,adj.P.Val,B
virus_comp_12035_cycle_1_1,0.166339965939821,0.825210409607501,8.21870713278839,6.50154962239109e-14,2.54145574739268e-10,21.0480875412379
virus_comp_12035_cycle_1_2,0.151182601062133,0.790391290073671,7.51125539631455,3.92073884627754e-12,7.66308407504946e-09,17.1433772682245
virus_comp_2265_cycle_1_9,0.119843237875614,0.560872201489317,7.35700912779237,6.76421344600729e-11,8.8137701201475e-08,14.493647342874
edge_1627_22,0.097607720820994,0.310516558801323,7.04285023668886,1.32481380726818e-10,1.00482609194499e-07,13.8316656364136
edge_1847_24,0.0946077157685431,0.451541052142261,7.28938791314251,1.44221036449438e-10,1.00482609194499e-07,13.7966958407334
virus_comp_317_cycle_1_1,0.147267516090312,0.73365551947228,6.84082241533608,1.54232707896391e-10,1.00482609194499e-07,13.6412980513528
virus_comp_3404_cycle_1_2,0.143736257351095,0.616839308658782,6.92976544831088,3.23395382412983e-10,1.80593221407479e-07,12.9800020157483
edge_1633_14,0.113390050712508,0.37938468238631,6.93335879911414,4.82084840726697e-10,2.09385515822295e-07,12.6301722311346
edge_1631_4,0.0894698903449418,0.243563425653352,6.63650619321673,4.75410274247247e-10,2.09385515822295e-07,12.5772938876388
edge_1627_13,0.0860416103337511,0.199123307170397,6.85689813617876,9.07509254875494e-10,3.5474536773083e-07,12.0437755602632
edge_1633_38,0.098490695353359,0.269342276281096,6.80077533020318,1.04177461329769e-09,3.70208814852788e-07,11.9060129823663
virus_comp_2269_cycle_1_10,0.107832926672644,0.584361925396318,7.02736567119438,1.59398210680503e-09,5.19239671291738e-07,11.5622525854858
virus_comp_2283_cycle_1_5,0.0997200175401922,0.303037650120594,7.1755310326608,2.98961938374053e-09,8.34744440788696e-07,11.0271809088912
virus_comp_317_cycle_1_3,0.128174296735347,0.734841145919799,6.30705347666558,2.61014378121334e-09,7.84850156981765e-07,10.9521147169656
virus_comp_10080_cycle_1_1,0.083177682616409,0.224802785693694,6.53595161804128,5.77392200855113e-09,1.41323471225414e-06,10.2995013664351
edge_1631_22,0.0784670403530824,0.231375825501486,6.40707481767246,5.91247806366294e-09,1.41323471225414e-06,10.2457542030644
virus_comp_7609_cycle_1_2,0.0908638326030236,0.293240042743378,6.24388365083331,6.14607063400368e-09,1.41323471225414e-06,10.1671755221529
virus_comp_18153_cycle_1_6,0.0921844747247636,0.571021804069358,6.9364348126287,1.47995703182348e-08,3.21397335410998e-06,9.53525067351602
virus_comp_18020_cycle_1_19,0.0999307238601135,0.254538042335105,6.1255854134671,1.95002551732253e-08,3.90850778982769e-06,9.10444071558344
virus_comp_2103_cycle_1_7,0.140225977149146,0.631147586844665,7.21628365507165,2.54211755036253e-08,4.32049456711615e-06,9.07400665956505
virus_comp_73_cycle_1_19,0.0626542166857221,0.246034638993771,5.98054897515344,1.99974816568314e-08,3.90850778982769e-06,9.03984437321006
virus_comp_7421_cycle_1_3,0.0744378536565559,0.196424266773217,6.12826453718316,2.33160150442205e-08,4.32049456711615e-06,8.94702229850643
virus_comp_2440_cycle_1_4,0.074894994574216,0.252225450463031,6.0011948728933,2.47997607892035e-08,4.32049456711615e-06,8.85473277001035
virus_comp_3253_cycle_1_5,0.069052768130937,0.139047399561904,6.13657650246407,3.71947758134255e-08,6.05809911061168e-06,8.53382840969805
virus_comp_126_cycle_1_210,0.100006891021358,0.396061868668669,6.14703352914742,4.37307276382933e-08,6.25356727601308e-06,8.39400785618495
edge_4_17,0.0886907762574793,0.378280666657731,5.83941322777042,4.03754213087775e-08,6.25356727601308e-06,8.3751438987287
virus_comp_421_cycle_1_6,0.0830661821065001,0.213015987814074,5.7824732161345,4.32316777597014e-08,6.25356727601308e-06,8.29548880474225
edge_1631_14,0.0814275328058162,0.235811887378731,5.74550441006803,4.47940352336573e-08,6.25356727601308e-06,8.25167016200629
virus_comp_17985_cycle_1_13,0.0922092829504312,0.220467102409146,5.90567672960723,5.11618326068874e-08,6.89626219518354e-06,8.18544397001119
virus_comp_760_cycle_1_1,0.0750225945315654,0.186003229094423,5.87194871434202,5.69474160112142e-08,7.21146396358131e-06,8.07957619156957
edge_4_40,0.0835228408374927,0.455676574835019,5.69905116463687,5.71899163138963e-08,7.21146396358131e-06,8.024245652521
virus_comp_36_cycle_2_23,0.0682229266173801,0.155559992156675,5.79141074314851,6.2169317273646e-08,7.38688046589188e-06,7.97709883503912
