"","t0","t0-6","t0-12","t0-18","t0-24","t0-30","t0-36","t0-over42"
"virus_comp_15228_cycle_1_3",3.1864275533345,3.37959893734091,0.863294506499845,0.818977654645053,-4.13877617422541,0.58011437698402,-1.21964937259653,-0.222526163503728
"virus_comp_1727_cycle_1_2",4.49485158773123,3.63598282652627,3.15045095208268,3.06751132299294,-1.54766804709377,1.91688796911808,-2.14149760135007,-0.208316441604603
"virus_comp_99_cycle_1_2",3.62948015151782,4.37801138427623,0.972014887758389,1.51148473816761,-4.67835977029036,0.97349145424747,-3.86973131838311,-1.32292598242727
"virus_comp_99_cycle_1_1",3.43497195622637,3.84384364940443,-2.56738628678302,-1.95781431061177,-6.72096596808445,-0.984308811391348,-4.2418719809331,-1.31551264100484
"virus_comp_17959_cycle_1_11",4.23511158141811,3.36859726801617,3.44977427602238,1.97984013174147,-3.27174508576738,1.6259244218482,-2.17900017405699,-0.20962602098872
"virus_comp_17959_cycle_1_10",4.27103604117631,2.58078575545495,3.38960206077953,2.1523782972,-2.72473563515053,1.6319800426443,-2.62922519541046,-0.274035251782904
"virus_comp_315_cycle_1_1",6.04555999388725,3.9224935437193,5.83630025699791,3.27180133516625,-2.09412782994079,1.79123305362493,-2.00198720360414,-0.0150943032656672
"virus_comp_4028_cycle_1_1",3.29779843177556,4.85957378825615,-0.13035220792888,-0.0965125305988401,-4.56375887202168,0.677740047101858,-2.60448693609947,-0.84967476838971
"virus_comp_103_cycle_1_3",3.33231932586914,3.89038730227703,-1.99930519967059,-1.41650217345295,-6.02830526561827,-0.718907444076967,-4.00338933406322,-0.958614040964408
"virus_comp_15228_cycle_1_1",3.30305687838385,4.85122770308838,-0.513637676861167,-0.838531838499306,-4.80110799522412,0.476708865745692,-2.86962353457913,-0.249551571477018
"virus_comp_17959_cycle_1_13",4.35752669503809,2.65327811095492,3.63368834553563,2.25510001426391,-2.61905547890484,1.69241168054497,-3.02127575096461,-0.342836495179422
"virus_comp_17959_cycle_1_12",4.13536325311142,2.68635713176198,3.25295030383471,2.19010105950334,-2.47875955905877,1.68176931957845,-3.14625894820274,-0.265687478948815
"virus_comp_1260_cycle_2_19",2.27021938980502,3.58923994470075,4.45897906839947,3.09889328475617,-3.43007589257753,0.873155751754634,-2.70926669517549,-0.482359860399915
"virus_comp_18422_cycle_1_2",1.94639765211746,3.06508220936866,2.97619132195367,1.65351456917201,-2.94747543817902,1.72159991855602,-2.14189408598364,0.787457081887478
"virus_comp_12035_cycle_1_2",4.49700143174632,4.06463022254387,3.4860643329776,2.70048096478044,-2.40909900867051,1.00367905260259,-1.10644293356006,-1.32990219773364
"virus_comp_104_cycle_1_1",3.44990773174455,5.15865373972594,-2.22618988544381,-1.48927432474856,-5.25621458836099,0.954628904292407,-2.30831379319258,-0.0943633898408605
"virus_comp_7129_cycle_1_1",2.65799039321957,4.9763860698811,-1.87298034272404,-1.24869817562068,-4.63966247332189,0.89653665653988,-1.89994961409428,-0.265711238679323
"virus_comp_15228_cycle_1_2",3.66102568374898,4.85656774491396,-2.28612646725954,-1.97738536152374,-4.95418032586316,0.464024379084416,-2.89769766577478,-0.334735095011425
"virus_comp_155_cycle_2_154",2.65287655195272,3.83565903150954,3.90481110129177,3.4790731169117,-1.46327935682824,2.99492748324552,-0.70211526638637,0.313471033502565
"virus_comp_14463_cycle_1_1",3.88911979955791,4.92632974942796,-1.58915017360286,-1.87609205844723,-5.25292970857132,-0.503995310912345,-1.68754130379087,-0.362950408994809
"edge_1633_5",2.10179184283648,1.89931775327328,3.16284990100224,2.43336399244684,-1.55562778029143,1.52054430891992,-1.66369360383543,0.153530916806329
"virus_comp_18196_cycle_1_6",1.74025834882844,2.89228425714808,3.07972354108756,2.52604950202763,-4.33513756647405,-0.229760963804518,-1.94491123187084,-0.61433407551146
"virus_comp_317_cycle_1_3",4.05545013253067,3.16358980192391,1.68957438973709,2.43670095352701,-2.69464124978296,1.05431524554589,-0.861300659206501,-0.557562703737198
"virus_comp_104_cycle_1_3",3.9281856220788,5.32062932991187,0.273237373874929,1.37550428383568,-3.65160192741816,3.17564099699246,-1.1911861759805,-0.718101235785398
"virus_comp_2572_cycle_1_4",3.82768678646353,2.7723196995345,3.16312703592622,2.18112244933307,-1.9283938828014,1.70221232497254,-3.31635579535756,-0.270584205641499
"edge_1633_13",2.04796434925876,1.46787782932335,3.14764019980934,2.35673571931851,-1.93680901626415,1.24122431407741,-2.29365197416803,-0.346176762683627
"virus_comp_8200_cycle_1_2",3.95466056797906,4.67048183041455,-3.86760371406504,-3.40757725876817,-6.32206715823301,0.78455510311908,-2.38028632886745,-0.949527778142159
"virus_comp_17959_cycle_1_1",3.61637997873073,2.93704402890661,3.36246974492918,2.35459272533963,-1.63638037261593,1.76507980560194,-3.05850445899494,-0.276524689469727
"virus_comp_18200_cycle_1_4",2.22010453099664,3.13721055739596,3.0404122993556,2.52371479635903,-1.85405505965209,0.660861514418084,-1.7025030810211,0.336329333422917
"virus_comp_5552_cycle_1_3",2.70163586514178,5.28318399467095,-1.55735811688522,-2.29801446129724,-5.43056264552022,0.254301688538487,-2.80333927720282,-0.545977386621739
"virus_comp_808_cycle_4_27",1.84525087338295,5.08297223743351,2.58571051428476,1.37635654769822,-3.19587180825883,1.3178701594263,-1.29642526286662,-0.789504608075426
"virus_comp_2345_cycle_1_7",2.22455073346393,-0.132675918185154,2.23318422704185,2.69631541437339,-3.65444459912312,0.615041325104582,-3.57482357176854,-1.20638770397421
"virus_comp_18200_cycle_1_1",3.05615757014394,3.39911744353258,3.95777848993418,2.69086096423898,-2.35497570018821,0.241380324008809,-1.26866430213697,0.394879757728256
"virus_comp_155_cycle_2_117",2.62136577178462,3.94520134872234,3.64888459639139,3.21582234121631,-1.91093319553336,2.33728738506893,-1.2374062010986,0.568352520274706
"virus_comp_2223_cycle_1_10",2.46600569177281,-1.20135376091885,1.86622497970912,0.604872212501159,-4.257270815308,1.33194591347411,-4.85426308966293,-1.46321766602036
"virus_comp_18196_cycle_1_8",1.61496914577524,2.94676868845715,3.31879915951994,2.0172890685767,-3.57005879699392,1.09871100988908,-1.97087527612755,-0.985682200325642
"virus_comp_18200_cycle_1_3",2.39848475323659,3.21412173395146,3.45069066643572,2.56266461790407,-2.19216302138321,0.481243113386455,-1.63229820121589,0.377202681173929
"virus_comp_17959_cycle_1_6",4.1148350395313,2.65446953199859,2.37107169241901,2.03155561751272,-2.04381969957449,1.68918612057279,-3.3471891107485,-0.286076658445495
"virus_comp_7609_cycle_1_2",2.53509756885809,3.24618514086859,3.69027356619584,2.94833920404036,-1.0269377898952,1.42149961287425,-2.33141795249316,0.395608091083823
"virus_comp_155_cycle_1_105",2.36017492626969,3.58221183196829,3.42518331146539,3.39465970235828,-1.87846628773822,2.76260261306258,-0.525455339572202,0.782670568668577
"virus_comp_2589_cycle_1_3",2.46985247027592,3.17784384531763,3.55916433805032,2.51769556355214,-3.2211887381497,1.21611471988648,-1.3142696001342,0.242046981425049
"virus_comp_5117_cycle_1_4",2.99103655995726,2.01804230235016,-2.80642398838477,-2.89660669968263,-5.94019741335426,-0.812792989509809,-2.68899965771802,-0.687035772856254
"virus_comp_18158_cycle_1_1",3.51583928405387,1.70855336965854,3.24406254246138,2.5579265411819,-3.40377731964168,0.657320442906895,-2.37537103620137,0.111069505235486
"virus_comp_2382_cycle_1_2",3.04985105370677,2.13990654080637,3.02268493377732,2.40941652013907,-3.16443845961649,0.493067106775012,-2.64984262734858,0.190812576253835
"virus_comp_1830_cycle_1_7",2.64662291771875,1.54945784109076,3.00202883475699,1.23459724276545,-1.0240990085494,2.82408570549297,-2.10694727268394,0.20322168266494
"virus_comp_2382_cycle_1_1",3.51772520341732,1.79746996475872,3.01785336516712,2.4999901553865,-3.57226023377384,0.398678506063511,-2.68921848542285,0.173624242255454
"virus_comp_17959_cycle_1_4",3.98666622731916,2.65137345057224,2.41455296813921,2.01815177823625,-1.77918949695045,1.7423071640513,-3.21590233999303,-0.257364487633536
"virus_comp_18200_cycle_1_6",2.38565255312338,3.21099275740107,3.53932346586983,2.5708992847914,-2.3304119591819,0.335110535388405,-1.46043770976952,0.419075740770923
"edge_1474_18",1.82804641734077,2.61058138531426,2.29372613657211,2.92767681657814,-3.41410867827022,1.7540737401568,-4.14520101918506,-1.13192025785079
"virus_comp_2345_cycle_1_5",2.91868111637972,2.16477163379648,2.94998365768353,2.70213051160111,-2.29023355078901,0.999092018924876,-2.79957384379655,-0.420084265828381
"virus_comp_164_cycle_1_11",2.47494911835525,3.57008863352876,3.53265322371182,3.40426897309764,-1.80208875372815,3.06360488823771,-0.325191555565781,0.778412228320653
"virus_comp_18116_cycle_1_4",3.03140368110378,4.95815556069063,1.95591572782585,2.43682599766856,-3.54779568702689,-2.4736500559016,-1.61091484734835,-1.17168382286614
"virus_comp_2269_cycle_1_10",2.53273261666313,0.597178032583302,2.38824540761462,3.28773834326834,-2.55434978863195,1.0583579878799,-3.19201951180673,-0.480141091875424
"virus_comp_155_cycle_2_29",2.30000366136617,3.79947551367137,3.3628514806494,3.22495517992428,-1.78431354026071,2.58335267717957,-0.700838230947908,0.694960272105555
"virus_comp_17991_cycle_1_13",2.73296773571439,4.29555414530688,3.10841013525355,2.51355396080392,-0.95882054669831,1.38701580096855,-1.94389449992948,1.01458257129968
