"ORF","Variance","Range","Mean_Abs_Value","Pattern_Correlation","N_Timepoints","Variance_Percentile","Correlation_Percentile"
"virus_comp_15228_cycle_1_3",5.8119259326569,7.51811079577207,1.8016288164833,0.827102181507995,8,82.1,92
"virus_comp_1727_cycle_1_2",6.33253198913991,6.63619925786117,2.52011577744418,0.948179489170384,8,86.5,56.4
"virus_comp_99_cycle_1_2",10.6873321882161,9.05497992059296,2.66727731160763,0.927511019715333,8,98.2,69
"virus_comp_99_cycle_1_1",12.7261410227409,10.5658080483886,3.13308480681035,0.71512984683586,8,99.3,97.1
"virus_comp_17959_cycle_1_11",7.58955122915996,7.50685332878626,2.54038181294376,0.941603287212476,8,93.2,61
"virus_comp_17959_cycle_1_10",7.03874841750364,6.99394667608031,2.45681860134481,0.938955153587359,8,91.4,63.2
"virus_comp_315_cycle_1_1",10.4580688280164,8.14050748206841,3.12217055973007,0.906809451339628,8,98,79.1
"virus_comp_4028_cycle_1_1",9.03689956607178,9.4216341230016,2.13464569515294,0.813263901433221,8,97,93
"virus_comp_103_cycle_1_3",11.1794200737226,9.91918177217755,2.79301493870706,0.740104732429951,8,98.8,96.6
"virus_comp_15228_cycle_1_1",9.56169933316181,9.65142632147597,2.23775365937685,0.769857638584876,8,97.5,95.6
"virus_comp_17959_cycle_1_13",7.71555194010425,7.37831067058832,2.57191809934579,0.943668212497585,8,93.8,59.5
"virus_comp_17959_cycle_1_12",7.21602560270517,7.2811002822282,2.47965088319438,0.950349685193374,8,92.2,55.1
"virus_comp_1260_cycle_2_19",8.60833453820602,7.88791075751692,2.61428996127082,0.967251581530868,8,96.1,40.5
"virus_comp_18422_cycle_1_2",5.05757492053147,6.01245893552956,2.15517277363773,0.967803528710315,8,68.9,39.5
"virus_comp_12035_cycle_1_2",7.30347132640245,6.90651131814755,2.57474721990561,0.89304870173552,8,92.5,83.1
"virus_comp_104_cycle_1_1",11.3071891453399,10.4141109749717,2.61710017213076,0.638755957794008,8,98.9,98.4
"virus_comp_7129_cycle_1_1",8.9508187932349,9.61539618045381,2.30706306213829,0.646021044107451,8,96.8,98.3
"virus_comp_15228_cycle_1_2",11.1259683355186,9.80993661035987,2.6788622267985,0.637336703611928,8,98.6,98.5
"virus_comp_155_cycle_2_154",4.66042704546749,5.36798139715445,2.41830923251221,0.981135459054594,8,58.7,17.6
"virus_comp_14463_cycle_1_1",10.7893247646101,10.1796586340586,2.51097199574579,0.601920575322615,8,98.3,98.8
"edge_1633_5",3.33858900533009,4.82640008643133,1.81178749989847,0.969283192697036,8,14.7,37.7
"virus_comp_18196_cycle_1_6",7.00932920777,7.41565782143237,2.17057543625348,0.917499478328214,8,91.3,73.7
"virus_comp_317_cycle_1_3",5.15671907708317,6.7507378372546,2.06445254889166,0.864235913811637,8,71,88
"virus_comp_104_cycle_1_3",8.85651020314896,8.97092788353834,2.45451929717388,0.803930884268135,8,96.6,93.9
"virus_comp_2572_cycle_1_4",6.64536795588894,7.14380283506588,2.39538050804129,0.956479416869275,8,89.3,50.8
"edge_1633_13",4.06350856692432,5.44116763409973,1.85525364899923,0.956364754555881,8,33.8,51.1
"virus_comp_8200_cycle_1_2",14.8775984520489,10.9945501474654,3.29252056960009,0.521030900806502,8,99.8,99.8
"virus_comp_17959_cycle_1_1",6.2155916241845,6.67518471552647,2.37605772851289,0.965036581469161,8,85.9,42.6
"virus_comp_18200_cycle_1_4",4.07432397812084,4.9897222991796,1.93451713877805,0.964428968196866,8,34,43.2
"virus_comp_5552_cycle_1_3",11.1732277535435,10.7133386626627,2.60933198296707,0.674878821765787,8,98.7,98.1
"virus_comp_808_cycle_4_27",6.58298654990616,8.27809454544513,2.18682212365034,0.907191636174814,8,88.8,79
"virus_comp_2345_cycle_1_7",6.44525390823415,6.35072182496992,2.0420877881376,0.893110962417045,8,87.4,83
"virus_comp_18200_cycle_1_1",5.4801051126353,6.31162908611062,2.1704390126678,0.913271287906816,8,77.1,76
"virus_comp_155_cycle_2_117",5.04444131734056,5.85452198504254,2.43562202290592,0.989415278274782,8,68.5,5.8
"virus_comp_2223_cycle_1_10",7.59947487339754,7.32116848989704,2.25565416307105,0.856687024755125,8,93.3,89.1
