"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"virus_comp_2551_cycle_1_2",-7.14168339563161,0.581559371675573,-6.20122757848769,8.47487314786242e-09,2.20114699292206e-05,9.18403177971647
"virus_comp_18003_cycle_1_4",-7.12967606902384,0.375008813783929,-6.38328760688083,1.12619441950477e-08,2.20114699292206e-05,8.95602625648156
"virus_comp_6161_cycle_1_2",-7.36256693628189,0.343479737507373,-5.98635115049042,9.21720357411526e-08,0.000117378945518965,7.14991836156276
"virus_comp_2551_cycle_1_5",-6.76464419102133,0.426337203218916,-5.80909177229522,1.28330166126686e-07,0.000117378945518965,6.87235167060941
"virus_comp_2554_cycle_1_3",-7.04455379431415,0.324259999607704,-5.7622824239404,1.76516215991408e-07,0.000117378945518965,6.6103650487435
"virus_comp_2552_cycle_1_4",-7.76547813220258,0.320081028523366,-6.06615267574083,1.80167222592425e-07,0.000117378945518965,6.52994460989837
"edge_2194_14",-5.30072404393684,0.437825519764877,-5.4268816055059,3.86328182755791e-07,0.000215736695198913,5.87613595955418
"virus_comp_13_cycle_1_1",-5.29994172408706,0.353377915371991,-5.46821842195723,5.82250862389279e-07,0.000284502327634961,5.60289618339801
"virus_comp_2590_cycle_1_8",-5.57340961860016,0.613204958967177,-5.44264729269824,7.01756749808129e-07,0.000304796348333331,5.36118930350685
"virus_comp_2554_cycle_1_1",-6.94037359981063,0.700115986755074,-5.22731139479221,7.83656035585656e-07,0.000306331144310433,5.2943678213546
"edge_75_28",-5.7616591351199,0.386809539303201,-5.20788042025002,1.019436960008e-06,0.000362270825151933,5.09224292465315
"virus_comp_1152_cycle_1_10",-4.04993200246937,0.170241432865528,-5.40773994780371,1.24139873425638e-06,0.000404385637684016,4.97798358969113
"virus_comp_1135_cycle_1_2",-6.11024999288476,0.374028426050109,-5.33766681263821,1.88613015305923e-06,0.00051584281678508,4.55786982992159
"virus_comp_1133_cycle_1_2",-6.33005330488482,0.386509245752615,-5.21829589040234,2.05865940177769e-06,0.00051584281678508,4.47320592304219
"virus_comp_18044_cycle_1_5",-5.6974832243213,0.225010320911197,-5.69466541397768,2.06824656463943e-06,0.00051584281678508,4.52632563409682
"virus_comp_2552_cycle_1_5",-7.60541920893568,0.415703098329177,-5.16861428558663,2.11140574790516e-06,0.00051584281678508,4.46393011695363
"virus_comp_2554_cycle_1_2",-7.32017456471819,0.550167233705473,-5.05072775839492,2.34623704419484e-06,0.000516642725624903,4.36362991971088
"virus_comp_1830_cycle_1_4",-4.10226735751154,0.190145968727924,-5.22202676472288,2.38271173830273e-06,0.000516642725624903,4.42957644623768
"edge_72_24",-6.24601580662915,0.488013875143293,-4.97601112324548,2.5111823450686e-06,0.000516642725624903,4.29422769872134
"edge_1468_15",-3.84792009238326,0.211299571764595,-5.0349585238506,2.8703181037902e-06,0.000561003673385795,4.22461052258966
"edge_3739_4",-5.15662619336827,0.452371372870737,-4.90476644325054,3.69993932236107e-06,0.000685027657704346,3.99203467696523
"virus_comp_2551_cycle_1_4",-7.04354920052139,0.566978943932292,-4.92564023613633,3.94526631122902e-06,0.000685027657704346,3.90045991243582
"edge_3739_6",-4.8181981247936,0.438246336528381,-4.84122604164106,4.22707288896647e-06,0.000685027657704346,3.88467806942827
"edge_72_1",-6.64326863966678,0.613889685764879,-4.84054001758937,4.36438522323197e-06,0.000685027657704346,3.79948794069716
"virus_comp_2650_cycle_1_4",-7.51169268937161,0.541451202848157,-4.84300079032969,4.40867758356862e-06,0.000685027657704346,3.83071957807884
"virus_comp_2591_cycle_1_3",-4.56410645416373,0.525107719946,-5.09371046275617,4.70159029608642e-06,0.000685027657704346,3.75441406327456
"virus_comp_722_cycle_1_49",-5.24372890448807,0.485267631726971,-4.92668827721074,4.73158013763555e-06,0.000685027657704346,3.71150983038146
"virus_comp_18004_cycle_1_5",-7.59097326522861,0.467512548167509,-4.95362553924741,5.42377203539409e-06,0.000708990724685863,3.65480331364869
"virus_comp_9370_cycle_1_1",-5.95144095097491,0.263689823564645,-5.00390221212023,5.47359976317841e-06,0.000708990724685863,3.67355012697467
"edge_75_27",-5.12923217088308,0.370764902673133,-4.76353511753999,5.67497611016029e-06,0.000708990724685863,3.60909366803811
"virus_comp_155_cycle_2_154",-4.17465188801933,0.547789963254407,-4.94271738345716,5.79267696254177e-06,0.000708990724685863,3.62988486120212
"virus_comp_1430_cycle_1_14",-4.12943827169434,0.201780254435004,-4.90308588698304,5.8448255012352e-06,0.000708990724685863,3.63541846458996
"virus_comp_2638_cycle_1_7",-4.27892087087864,0.191216953942444,-5.06807211784989,6.02432680778205e-06,0.000708990724685863,3.61789279586006
"virus_comp_1135_cycle_1_3",-6.38299179752839,0.401442058923611,-4.97100901040891,6.16671390107939e-06,0.000708990724685863,3.53461856463647
"virus_comp_17772_cycle_1_5",-4.86307947919774,0.388125056078072,-4.70377138565475,6.6785789898457e-06,0.000745901864894482,3.47557823141371
"virus_comp_18362_cycle_1_3",-4.1375994953178,0.258806980952247,-4.87429622400494,6.95810088079643e-06,0.000747886686631134,3.45477759652009
"edge_49045_8",-5.21508329279789,0.418120510697291,-4.84182627951384,7.07899908041748e-06,0.000747886686631134,3.36348189372427
"edge_1631_21",-3.99911866644433,0.199599080857204,-4.81835538788136,7.4517520377076e-06,0.000748837008098812,3.4145018033307
"virus_comp_4094_cycle_1_3",-6.49004290218688,0.409876793957044,-4.79512124150974,7.47112901403266e-06,0.000748837008098812,3.36892832073156
"virus_comp_2742_cycle_1_9",-4.95176119804535,0.283204273357075,-4.84348332390946,7.98390766422123e-06,0.000776312760618693,3.32445725158923
"edge_1980_4",-3.77470493134106,0.331058576270273,-4.7394367307123,8.14244645315079e-06,0.000776312760618693,3.31503140099263
"virus_comp_17772_cycle_1_4",-4.79723581686831,0.383472096064167,-4.68063106182669,8.79056603625275e-06,0.000818150538945524,3.25035955595006
"virus_comp_447_cycle_1_6",-5.37733966524363,0.227887544720848,-5.17720904785544,9.12493798222304e-06,0.00082952052494209,3.26078523950845
"virus_comp_1133_cycle_1_3",-6.99061685823671,0.453349634048407,-4.90023685762003,9.624550287906e-06,0.000830768784956665,3.14553341934499
"virus_comp_18006_cycle_1_7",-6.02106584156445,0.301034813717969,-4.89600292883731,9.76764335468609e-06,0.000830768784956665,3.17547031915404
"virus_comp_1133_cycle_1_5",-6.24899821934568,0.391367693219539,-4.84317400920972,9.77625073113497e-06,0.000830768784956665,3.146108193164
