"ORF","Cluster","Transition_Timepoint","Early_Mean","Late_Mean","Transition_Magnitude"
"virus_comp_285_cycle_1_126","Late Responders",12,-4.66,4.85,9.51
"virus_comp_545_cycle_1_1","Late Responders",12,-1.78,3.23,5.01
"virus_comp_138_cycle_1_2","Late Responders",12,-2.52,3.19,5.71
"virus_comp_152_cycle_1_2","Late Responders",12,-2.25,2.98,5.23
"virus_comp_6059_cycle_1_5","Late Responders",12,-2.17,2.97,5.15
"virus_comp_152_cycle_1_6","Late Responders",12,-2.25,2.79,5.04
"virus_comp_167_cycle_1_1","Late Responders",12,-2.08,2.67,4.75
"virus_comp_36_cycle_2_20","Gradual Progressors",5,-4.88,1.15,6.03
"virus_comp_99_cycle_1_1","Late Responders",12,-7.88,-0.58,7.31
"virus_comp_103_cycle_1_3","Late Responders",12,-6.16,-0.76,5.4
"edge_187_4","Gradual Progressors",5,1.36,-3.49,-4.84
"edge_187_5","Gradual Progressors",5,1.15,-2.63,-3.78
"virus_comp_8882_cycle_1_3","Gradual Progressors",5,2.93,-2.06,-4.99
"edge_72_10","Gradual Progressors",5,2.49,-1.74,-4.23
"virus_comp_542_cycle_2_8","Gradual Progressors",5,2.51,-1.51,-4.02
"virus_comp_18003_cycle_1_4","Gradual Progressors",5,2.47,-1.41,-3.88
"virus_comp_2170_cycle_1_8","Gradual Progressors",5,2.22,-1.45,-3.67
"virus_comp_17848_cycle_1_4","Gradual Progressors",5,2.83,-1.01,-3.84
"edge_1782_30","Gradual Progressors",5,2.59,-1.2,-3.79
"edge_187_11","Gradual Progressors",5,2.62,-1.21,-3.83
"virus_comp_17849_cycle_1_13","Gradual Progressors",5,3.18,-2.54,-5.72
"virus_comp_1317_cycle_1_4","Gradual Progressors",5,2.89,-2.24,-5.13
"edge_187_8","Gradual Progressors",5,1.9,-2.16,-4.06
"edge_187_2","Gradual Progressors",5,1.89,-1.91,-3.8
"virus_comp_9222_cycle_1_1","Gradual Progressors",5,1.8,-1.89,-3.69
"virus_comp_17849_cycle_1_12","Gradual Progressors",5,1.88,-2.1,-3.98
"virus_comp_17849_cycle_1_5","Gradual Progressors",5,1.89,-1.75,-3.63
"edge_187_9","Gradual Progressors",5,2.45,-1.79,-4.24
"virus_comp_17849_cycle_1_6","Gradual Progressors",5,2.29,-1.98,-4.27
"virus_comp_17849_cycle_1_11","Gradual Progressors",5,2.32,-2.21,-4.54
"virus_comp_16826_cycle_1_2","Gradual Progressors",5,1.55,-2.61,-4.16
"virus_comp_6161_cycle_1_4","Gradual Progressors",5,1.89,-1.85,-3.74
"virus_comp_2552_cycle_1_4","Gradual Progressors",5,2.09,-1.84,-3.93
"virus_comp_522_cycle_1_12","Gradual Progressors",5,9.01,0.57,-8.43
"edge_48908_9","Gradual Progressors",5,7.96,0.6,-7.36
"edge_1709_38","Gradual Progressors",5,7.36,0.58,-6.78
"virus_comp_18120_cycle_1_6","Gradual Progressors",5,3.76,-1.47,-5.23
"virus_comp_2595_cycle_1_3","Gradual Progressors",5,4.1,-0.77,-4.87
"virus_comp_1562_cycle_1_11","Gradual Progressors",5,4.22,-1.27,-5.49
"edge_294_7","Gradual Progressors",5,3.74,-1.23,-4.97
"edge_294_8","Gradual Progressors",5,3.74,-1.14,-4.88
"virus_comp_1430_cycle_1_21","Gradual Progressors",5,3.12,-1.44,-4.56
"edge_16_14","Gradual Progressors",5,3.76,-0.94,-4.71
"virus_comp_542_cycle_2_100","Gradual Progressors",5,3.59,-0.79,-4.39
"virus_comp_18044_cycle_1_5","Gradual Progressors",5,3.35,-0.62,-3.97
"edge_16_5","Gradual Progressors",5,2.95,-0.2,-3.16
"virus_comp_1069_cycle_1_3","Gradual Progressors",5,3.5,-0.06,-3.56
"virus_comp_1660_cycle_1_12","Gradual Progressors",5,3.71,-0.5,-4.22
"virus_comp_1660_cycle_1_11","Gradual Progressors",5,3.42,-0.37,-3.79
"virus_comp_1317_cycle_1_1","Gradual Progressors",5,3.47,-0.68,-4.15
"virus_comp_1613_cycle_1_2","Gradual Progressors",5,2.84,-0.71,-3.55
"virus_comp_400_cycle_3_5","Gradual Progressors",5,3.25,-0.64,-3.89
"virus_comp_558_cycle_1_3","Gradual Progressors",5,3.24,-0.7,-3.94
"virus_comp_2590_cycle_1_8","Gradual Progressors",5,3.57,-0.51,-4.09
"virus_comp_18120_cycle_1_2","Gradual Progressors",5,3.71,-0.4,-4.11
"virus_comp_17800_cycle_1_69","Gradual Progressors",5,3.53,-0.52,-4.05
"virus_comp_17800_cycle_1_6","Gradual Progressors",5,3.42,-0.48,-3.9
"virus_comp_17800_cycle_1_110","Gradual Progressors",5,3.48,-0.39,-3.86
"virus_comp_17800_cycle_1_34","Gradual Progressors",5,3.51,-0.4,-3.91
"virus_comp_841_cycle_1_10","Gradual Progressors",5,3.57,-0.19,-3.75
"virus_comp_542_cycle_2_16","Gradual Progressors",5,3.93,-0.28,-4.21
"virus_comp_6161_cycle_1_1","Gradual Progressors",5,3.89,-0.18,-4.07
"virus_comp_2957_cycle_1_5","Gradual Progressors",5,3.44,0.04,-3.4
