"","T0-72","T0-66","T0-60","T0-54","T0-48","T0-42","T0-36","T0-30","T0-24","T0-18","T0-12","T0-6","T0"
"virus_comp_17813_cycle_1_1",7.84898167173007,7.68466845963191,7.49920661235021,7.28633653289559,5.12725112600833,-4.39825955415938,-4.53591205792208,-6.14758710712288,-5.55426007509898,-7.81290250956553,-7.61144901075596,-7.75642459421504,-7.71787688969707
"virus_comp_2342_cycle_1_4",5.73509847059616,5.45477152580022,5.10650966284795,4.6464853737851,3.51963613663787,2.46997095586257,1.47200176626398,-2.83997378270346,-4.05437667482488,-5.57770739580139,-5.61741189915633,-5.62497246941658,-5.83634411178673
"virus_comp_315_cycle_1_1",9.19526159323651,8.54629662065575,7.33525677405394,-5.72451264039989,9.17034585550332,9.29816449441356,6.44257200166983,-3.79020272947631,-8.81270219596028,-9.11716319823506,-9.55021882981759,-9.9887898173919,-10.3057583921842
"virus_comp_17959_cycle_1_11",9.77403522925481,9.49225791499278,9.14175083179116,8.67778643386899,6.88487524350464,3.60041439534101,0.94981316071826,-7.07163022158301,-8.09620305819661,-9.59936465138036,-9.6614895525652,-9.52772413310228,-9.81650377107307
"virus_comp_17959_cycle_1_10",10.011559727957,9.7270185056997,9.37221682498158,8.90066856611127,6.98129311006698,0.9404048885164,-3.58419754589946,-7.42469471201374,-8.39668254531898,-9.76495582532533,-9.87118968344478,-9.68837147565399,-10.0374558418667
"virus_comp_392_cycle_1_1",11.4520428060307,11.3088956799793,11.1499647340799,10.9713328706616,7.99698086771558,-8.86174396432576,-8.82098652574963,-10.0747541234479,-9.34819162072286,-11.2249578454475,-11.0580928927288,-11.0605052168568,-11.1520648141653
"virus_comp_17959_cycle_1_12",8.37404611268673,8.0808327183501,7.71241839259007,7.21641188883338,5.73185824490866,3.99906477080016,3.0397665245505,-5.46395464116489,-6.69238623010856,-8.21831964177508,-8.29170437632631,-8.18996240913327,-8.45874271533046
"virus_comp_593_cycle_1_28",2.11030681449964,1.78261431699856,1.3579180002314,0.753441675857074,1.08661691061891,0.896710799300804,-2.30403268222841,-2.6860980179612,-2.78915323553914,-3.04663779054339,-2.96484105197236,-2.46017551264077,-3.10045982408007
"virus_comp_2265_cycle_1_9",10.8107325654163,10.465186946846,10.0099068707439,9.34092652373631,11.0591360682542,11.2951569533818,10.5156810314212,10.38992372786,9.25874812513019,-8.13285489122282,-8.83614282720973,-9.255632008353,-10.064859650135
"virus_comp_1727_cycle_1_2",-4.26546737268941,-4.76703475485616,-5.13849439145572,-5.43362961265015,1.64837739300353,3.89453242862728,-2.92227269626055,-3.07353379500192,-4.98304376517779,-4.69968016192803,-5.380142432219,-5.62188684933838,-5.88540855668834
