"contig_id","term","estimate","std.error","statistic","p.value","p.adj","conf.low","conf.high","OR","source"
"edge_16","TP (CELIAC): (t0-12) vs t0",-38.0070769625456,NA,NA,NA,NA,NA,NA,3.11699569096224e-17,"model_or_emmeans"
"edge_16","TP (CELIAC): (t0-18) vs t0",72.6895944427599,NA,NA,NA,NA,NA,NA,3.70416017612996e+31,"model_or_emmeans"
"edge_16","TP (CELIAC): (t0-24) vs t0",-43.4844839461993,NA,NA,NA,NA,NA,NA,1.30295247074285e-19,"model_or_emmeans"
"edge_16","TP (CELIAC): (t0-30) vs t0",1.33946848584188,NA,NA,NA,NA,NA,NA,3.81701416903105,"model_or_emmeans"
"edge_16","TP (CELIAC): (t0-36) vs t0",18.5612385452067,NA,NA,NA,NA,NA,NA,115091560.200768,"model_or_emmeans"
"edge_16","TP (CELIAC): (t0-6) vs t0",-9.55450514505675,NA,NA,NA,NA,NA,NA,7.08812125269376e-05,"model_or_emmeans"
"edge_16","TP (CELIAC): (t0-over42) vs t0",23.3072013751113,NA,NA,NA,NA,NA,NA,13249178336.4356,"model_or_emmeans"
"edge_1732","TP (CELIAC): (t0-12) vs t0",-294.14173407758,NA,NA,NA,NA,NA,NA,1.80246978220707e-128,"model_or_emmeans"
"edge_1732","TP (CELIAC): (t0-18) vs t0",-25.3899962593133,NA,NA,NA,NA,NA,NA,9.40296303989107e-12,"model_or_emmeans"
"edge_1732","TP (CELIAC): (t0-24) vs t0",-44.3209333829866,NA,NA,NA,NA,NA,NA,5.64499028661533e-20,"model_or_emmeans"
"edge_1732","TP (CELIAC): (t0-30) vs t0",-138.075724182328,NA,NA,NA,NA,NA,NA,1.0826171506135e-60,"model_or_emmeans"
"edge_1732","TP (CELIAC): (t0-36) vs t0",-14.6493021370578,NA,NA,NA,NA,NA,NA,4.34399101344131e-07,"model_or_emmeans"
"edge_1732","TP (CELIAC): (t0-6) vs t0",-299.996648046032,NA,NA,NA,NA,NA,NA,5.16548570646628e-131,"model_or_emmeans"
"edge_1732","TP (CELIAC): (t0-over42) vs t0",-71.0932396624575,NA,NA,NA,NA,NA,NA,1.33228860671724e-31,"model_or_emmeans"
"edge_1847","TP (CELIAC): (t0-12) vs t0",0.962263889244362,NA,NA,NA,NA,NA,NA,2.61761576275844,"model_or_emmeans"
"edge_1847","TP (CELIAC): (t0-18) vs t0",-21.1166688198432,NA,NA,NA,NA,NA,NA,6.74756777349393e-10,"model_or_emmeans"
"edge_1847","TP (CELIAC): (t0-24) vs t0",-0.554539894150092,NA,NA,NA,NA,NA,NA,0.574336455976203,"model_or_emmeans"
"edge_1847","TP (CELIAC): (t0-30) vs t0",0.777332276572133,NA,NA,NA,NA,NA,NA,2.17566045642467,"model_or_emmeans"
"edge_1847","TP (CELIAC): (t0-36) vs t0",0.874551650147782,NA,NA,NA,NA,NA,NA,2.39779999965559,"model_or_emmeans"
"edge_1847","TP (CELIAC): (t0-6) vs t0",-60.9044709465961,NA,NA,NA,NA,NA,NA,3.54424997245242e-27,"model_or_emmeans"
"edge_1847","TP (CELIAC): (t0-over42) vs t0",1.26804758815527,NA,NA,NA,NA,NA,NA,3.55390709404904,"model_or_emmeans"
"edge_187","TP (CELIAC): (t0-12) vs t0",1.26492427783303,NA,NA,NA,NA,NA,NA,3.54282445560675,"model_or_emmeans"
"edge_187","TP (CELIAC): (t0-18) vs t0",18.5019975225102,NA,NA,NA,NA,NA,NA,108471445.642883,"model_or_emmeans"
"edge_187","TP (CELIAC): (t0-24) vs t0",-80.3445598667642,NA,NA,NA,NA,NA,NA,1.27879520428379e-35,"model_or_emmeans"
"edge_187","TP (CELIAC): (t0-30) vs t0",-51.6249681219095,NA,NA,NA,NA,NA,NA,3.79805470892594e-23,"model_or_emmeans"
"edge_187","TP (CELIAC): (t0-36) vs t0",-17.0765290819713,NA,NA,NA,NA,NA,NA,3.83493184177144e-08,"model_or_emmeans"
"edge_187","TP (CELIAC): (t0-6) vs t0",-41.0375194007125,NA,NA,NA,NA,NA,NA,1.50533019556111e-18,"model_or_emmeans"
"edge_187","TP (CELIAC): (t0-over42) vs t0",14.4359537807638,NA,NA,NA,NA,NA,NA,1859752.14375406,"model_or_emmeans"
"edge_209","TP (CELIAC): (t0-12) vs t0",-37.1655444819726,NA,NA,NA,NA,NA,NA,7.23117903984876e-17,"model_or_emmeans"
"edge_209","TP (CELIAC): (t0-18) vs t0",68.4743714212792,NA,NA,NA,NA,NA,NA,5.47068438366844e+29,"model_or_emmeans"
"edge_209","TP (CELIAC): (t0-24) vs t0",-37.5165248347046,NA,NA,NA,NA,NA,NA,5.0907325832795e-17,"model_or_emmeans"
"edge_209","TP (CELIAC): (t0-30) vs t0",12.190835603337,NA,NA,NA,NA,NA,NA,196975.690836485,"model_or_emmeans"
"edge_209","TP (CELIAC): (t0-36) vs t0",18.3256236650951,NA,NA,NA,NA,NA,NA,90932102.9981666,"model_or_emmeans"
"edge_209","TP (CELIAC): (t0-6) vs t0",-19.3852806629336,NA,NA,NA,NA,NA,NA,3.81135654381092e-09,"model_or_emmeans"
"edge_209","TP (CELIAC): (t0-over42) vs t0",58.1207525342792,NA,NA,NA,NA,NA,NA,1.74390213633955e+25,"model_or_emmeans"
"edge_2199","TP (CELIAC): (t0-12) vs t0",-249.372128414171,NA,NA,NA,NA,NA,NA,5.00104415774239e-109,"model_or_emmeans"
"edge_2199","TP (CELIAC): (t0-18) vs t0",-13.487148193728,NA,NA,NA,NA,NA,NA,1.38869209347728e-06,"model_or_emmeans"
"edge_2199","TP (CELIAC): (t0-24) vs t0",1.69074974319247,NA,NA,NA,NA,NA,NA,5.42354544746264,"model_or_emmeans"
"edge_2199","TP (CELIAC): (t0-30) vs t0",-162.749433697612,NA,NA,NA,NA,NA,NA,2.08362237397652e-71,"model_or_emmeans"
"edge_2199","TP (CELIAC): (t0-36) vs t0",-168.386527369934,NA,NA,NA,NA,NA,NA,7.42438246568215e-74,"model_or_emmeans"
"edge_2199","TP (CELIAC): (t0-6) vs t0",-18.5803876070812,NA,NA,NA,NA,NA,NA,8.52393620345871e-09,"model_or_emmeans"
"edge_2199","TP (CELIAC): (t0-over42) vs t0",-194.935811414198,NA,NA,NA,NA,NA,NA,2.19004368319871e-85,"model_or_emmeans"
"edge_2654","TP (CELIAC): (t0-12) vs t0",-30.7552473038442,NA,NA,NA,NA,NA,NA,4.3970945711381e-14,"model_or_emmeans"
"edge_2654","TP (CELIAC): (t0-18) vs t0",-22.7145132433882,NA,NA,NA,NA,NA,NA,1.36525016997654e-10,"model_or_emmeans"
"edge_2654","TP (CELIAC): (t0-24) vs t0",-28.1026413646279,NA,NA,NA,NA,NA,NA,6.23990429107344e-13,"model_or_emmeans"
"edge_2654","TP (CELIAC): (t0-30) vs t0",-19.345019651099,NA,NA,NA,NA,NA,NA,3.9679364983217e-09,"model_or_emmeans"
"edge_2654","TP (CELIAC): (t0-36) vs t0",-2.58204811866262,NA,NA,NA,NA,NA,NA,0.0756189686906387,"model_or_emmeans"
"edge_2654","TP (CELIAC): (t0-6) vs t0",-33.7729321801383,NA,NA,NA,NA,NA,NA,2.1508093534602e-15,"model_or_emmeans"
"edge_2654","TP (CELIAC): (t0-over42) vs t0",42.2727066654474,NA,NA,NA,NA,NA,NA,2284563531762387456,"model_or_emmeans"
"edge_2658","TP (CELIAC): (t0-12) vs t0",33.037168827476,NA,NA,NA,NA,NA,NA,222771751529488,"model_or_emmeans"
"edge_2658","TP (CELIAC): (t0-18) vs t0",-47.006373485824,NA,NA,NA,NA,NA,NA,3.8493852762735e-21,"model_or_emmeans"
"edge_2658","TP (CELIAC): (t0-24) vs t0",-23.6686975101321,NA,NA,NA,NA,NA,NA,5.25793578178134e-11,"model_or_emmeans"
"edge_2658","TP (CELIAC): (t0-30) vs t0",32.5550657169839,NA,NA,NA,NA,NA,NA,137557856211689,"model_or_emmeans"
"edge_2658","TP (CELIAC): (t0-36) vs t0",-22.4313872911186,NA,NA,NA,NA,NA,NA,1.81205876628933e-10,"model_or_emmeans"
"edge_2658","TP (CELIAC): (t0-6) vs t0",-41.368663509574,NA,NA,NA,NA,NA,NA,1.08098013752281e-18,"model_or_emmeans"
"edge_2658","TP (CELIAC): (t0-over42) vs t0",38.6495754279394,NA,NA,NA,NA,NA,NA,60995435470965552,"model_or_emmeans"
"edge_329","TP (CELIAC): (t0-12) vs t0",-745.720905298527,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_329","TP (CELIAC): (t0-18) vs t0",153.61023560926,NA,NA,NA,NA,NA,NA,5.15320819729369e+66,"model_or_emmeans"
"edge_329","TP (CELIAC): (t0-24) vs t0",-773.117613464041,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_329","TP (CELIAC): (t0-30) vs t0",-16.0525358170875,NA,NA,NA,NA,NA,NA,1.06775662341406e-07,"model_or_emmeans"
"edge_329","TP (CELIAC): (t0-36) vs t0",-336.046834775443,NA,NA,NA,NA,NA,NA,1.13949912484623e-146,"model_or_emmeans"
"edge_329","TP (CELIAC): (t0-6) vs t0",156.248748023063,NA,NA,NA,NA,NA,NA,7.21056125664317e+67,"model_or_emmeans"
