"orf_id","gene","timepoint","estimate","std.error","p.value","conf.low","conf.high","model","p.adj","n_tests_gene"
"edge_1291_133","edge_1291_133","t0-6",22.6127651386942,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1291_133","edge_1291_133","t0-12",21.4033835577179,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1291_133","edge_1291_133","t0-18",24.1536647864703,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1291_133","edge_1291_133","t0-24",-20.34627742543,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1291_133","edge_1291_133","t0-30",-12.6851499969483,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1291_133","edge_1291_133","t0-36",-12.5622775761255,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1291_133","edge_1291_133","t0-over42",22.518342747004,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1329_59","edge_1329_59","t0-6",23.2691958981863,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1329_59","edge_1329_59","t0-12",-0.34754592682153,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1329_59","edge_1329_59","t0-18",-14.7667661973137,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1329_59","edge_1329_59","t0-24",23.9846967790892,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1329_59","edge_1329_59","t0-30",-19.9715484895939,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1329_59","edge_1329_59","t0-36",23.6241071554574,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1329_59","edge_1329_59","t0-over42",-93.7405431495471,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_12","edge_1468_12","t0-6",-7.57594577038732,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_12","edge_1468_12","t0-12",-24.3306243074928,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_12","edge_1468_12","t0-18",67.4099836620875,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_12","edge_1468_12","t0-24",25.9295955612417,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_12","edge_1468_12","t0-30",-35.9435951663064,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_12","edge_1468_12","t0-36",29.0591954851044,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_12","edge_1468_12","t0-over42",-12.7795356338546,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_13","edge_1468_13","t0-6",9.23178688637852,NA,NA,NA,NA,"abundance_nbinom",NA,7
