"orf_id","gene","timepoint","estimate","std.error","p.value","conf.low","conf.high","model","p.adj","n_tests_gene"
"edge_1494_7","edge_1494_7","t0-6",50.9041257291394,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1494_7","edge_1494_7","t0-12",-13.9137226022149,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1494_7","edge_1494_7","t0-18",-27.3484218796398,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1494_7","edge_1494_7","t0-24",13.9684222759026,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1494_7","edge_1494_7","t0-30",-49.3904097020287,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1494_7","edge_1494_7","t0-36",-49.3904097020287,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1494_7","edge_1494_7","t0-over42",0.120098292166585,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_1","edge_1496_1","t0-6",-8.78913648715363,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_1","edge_1496_1","t0-12",33.3940204242935,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_1","edge_1496_1","t0-18",-67.9559958685684,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_1","edge_1496_1","t0-24",-72.1726042209846,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_1","edge_1496_1","t0-30",-24.8153171607149,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_1","edge_1496_1","t0-36",-24.8153171607149,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_1","edge_1496_1","t0-over42",-28.1880754636245,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_11","edge_1496_11","t0-6",60.5340672626995,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_11","edge_1496_11","t0-12",-219.708056594008,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_11","edge_1496_11","t0-18",-866.300839393001,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_11","edge_1496_11","t0-24",-850.29423409333,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_11","edge_1496_11","t0-30",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_11","edge_1496_11","t0-36",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_11","edge_1496_11","t0-over42",-546.219884802544,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_14","edge_1496_14","t0-6",202.877712756845,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_14","edge_1496_14","t0-12",-32.4975931605376,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_14","edge_1496_14","t0-18",-41.5762867007514,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_14","edge_1496_14","t0-24",-57.0058704321889,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_14","edge_1496_14","t0-30",-54.9517008381956,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_14","edge_1496_14","t0-36",-54.9517008381956,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_14","edge_1496_14","t0-over42",-57.6310687306083,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_2","edge_1496_2","t0-6",60.5340672626995,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_2","edge_1496_2","t0-12",-219.708056594008,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_2","edge_1496_2","t0-18",-866.300839393001,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_2","edge_1496_2","t0-24",-850.29423409333,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_2","edge_1496_2","t0-30",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_2","edge_1496_2","t0-36",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_2","edge_1496_2","t0-over42",-546.219884802544,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_21","edge_1496_21","t0-6",60.5340672626995,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_21","edge_1496_21","t0-12",-219.708056594008,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_21","edge_1496_21","t0-18",-866.300839393001,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_21","edge_1496_21","t0-24",-850.29423409333,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_21","edge_1496_21","t0-30",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_21","edge_1496_21","t0-36",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_21","edge_1496_21","t0-over42",-546.219884802544,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_3","edge_1496_3","t0-6",60.5340672626995,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_3","edge_1496_3","t0-12",-219.708056594008,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_3","edge_1496_3","t0-18",-866.300839393001,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_3","edge_1496_3","t0-24",-850.29423409333,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_3","edge_1496_3","t0-30",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_3","edge_1496_3","t0-36",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_3","edge_1496_3","t0-over42",-546.219884802544,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_4","edge_1496_4","t0-6",60.5340672626995,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_4","edge_1496_4","t0-12",-219.708056594008,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_4","edge_1496_4","t0-18",-866.300839393001,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_4","edge_1496_4","t0-24",-850.29423409333,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_4","edge_1496_4","t0-30",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_4","edge_1496_4","t0-36",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_4","edge_1496_4","t0-over42",-546.219884802544,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_5","edge_1496_5","t0-6",60.5340672626995,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_5","edge_1496_5","t0-12",-219.708056594008,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_5","edge_1496_5","t0-18",-866.300839393001,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_5","edge_1496_5","t0-24",-850.29423409333,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_5","edge_1496_5","t0-30",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_5","edge_1496_5","t0-36",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_5","edge_1496_5","t0-over42",-546.219884802544,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_6","edge_1496_6","t0-6",18.5155476375164,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_6","edge_1496_6","t0-12",7.7385685077609,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_6","edge_1496_6","t0-18",-24.1089663414104,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_6","edge_1496_6","t0-24",-28.6277110219402,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_6","edge_1496_6","t0-30",-14.0063306498306,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_6","edge_1496_6","t0-36",-14.0063306498306,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1496_6","edge_1496_6","t0-over42",-17.9150097628422,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_10","edge_1497_10","t0-6",60.5340672626995,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_10","edge_1497_10","t0-12",-219.708056594008,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_10","edge_1497_10","t0-18",-866.300839393001,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_10","edge_1497_10","t0-24",-850.29423409333,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_10","edge_1497_10","t0-30",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_10","edge_1497_10","t0-36",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_10","edge_1497_10","t0-over42",-546.219884802544,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_2","edge_1497_2","t0-6",60.5340672626995,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_2","edge_1497_2","t0-12",-219.708056594008,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_2","edge_1497_2","t0-18",-866.300839393001,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_2","edge_1497_2","t0-24",-850.29423409333,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_2","edge_1497_2","t0-30",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_2","edge_1497_2","t0-36",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
