"gene","timepoint","estimate","std.error","p.value","conf.low","conf.high","model"
"edge_1291_133","t0-6",34.2696455006264,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1291_133","t0-12",22.6732151648698,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1291_133","t0-18",20.9841971811091,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1291_133","t0-24",-5.45346153291315,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1291_133","t0-30",-2.62466229407075,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1291_133","t0-36",-5.25300390730771,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1291_133","t0-over42",18.7166909196845,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1329_59","t0-6",33.7372075197507,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1329_59","t0-12",-0.304884806967825,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1329_59","t0-18",-7.21384912676186,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1329_59","t0-24",21.1596948121563,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1329_59","t0-30",-6.89450142866125,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1329_59","t0-36",21.2462671091724,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1329_59","t0-over42",-37.0623000302184,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_12","t0-6",-1.78646803944266,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_12","t0-12",-23.4992520994902,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_12","t0-18",66.0030455989003,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_12","t0-24",20.5595217164804,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_12","t0-30",-23.8884140072086,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_12","t0-36",20.4963461980166,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_12","t0-over42",-1.55505022598274,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_13","t0-6",-9.24038937708845,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_13","t0-12",-6.74636508965678,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_13","t0-18",14.4510575121719,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_13","t0-24",6.73241179188524,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_13","t0-30",-8.71413630002452,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_13","t0-36",-16.9514143152451,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_13","t0-over42",11.445546178145,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_14","t0-6",-17.1666698361527,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_14","t0-12",-19.3198329584369,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_14","t0-18",22.3104833531926,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_14","t0-24",22.3050014275428,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_14","t0-30",-10.7895653080002,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_14","t0-36",20.8372928704178,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_14","t0-over42",-0.869746566499976,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_16","t0-6",-24.9028264338724,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_16","t0-12",-0.889387738228034,NA,NA,NA,NA,"PA_glmmTMB_logit"
