"contig_id","gene","timepoint","estimate","std.error","p.value","conf.low","conf.high","model","p.adj","n_tests_gene"
"edge_187","edge_187","t0-6",-50.7397188248386,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_187","edge_187","t0-12",82.8403530849577,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_187","edge_187","t0-18",-7.85639833159235,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_187","edge_187","t0-24",-33.1699314350248,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_187","edge_187","t0-30",-20.0505560688634,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_187","edge_187","t0-36",-28.069474322882,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_1980","edge_1980","t0-6",-83.0553723015792,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_1980","edge_1980","t0-12",-3.84073722435813,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_1980","edge_1980","t0-18",-1.12388117777917,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_1980","edge_1980","t0-24",-0.238067962843991,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_1980","edge_1980","t0-30",-3.46355227950458,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_1980","edge_1980","t0-36",-3.43998114594244,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_1986","edge_1986","t0-6",-356.741113135727,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_1986","edge_1986","t0-12",-12.0912163623571,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_1986","edge_1986","t0-18",-1.20259021874741,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_1986","edge_1986","t0-24",-1.46162962932937,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_1986","edge_1986","t0-30",-11.9064459338646,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_1986","edge_1986","t0-36",-5.53358878135045,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_2104","edge_2104","t0-6",1.39847563283796,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_2104","edge_2104","t0-12",-73.7906543074051,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_2104","edge_2104","t0-18",-49.460331272463,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_2104","edge_2104","t0-24",0.138898497423454,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_2104","edge_2104","t0-30",175.244371472024,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_2104","edge_2104","t0-36",-0.777440855733474,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_2381","edge_2381","t0-6",-4.89232585989704,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_2381","edge_2381","t0-12",-5.01911621981475,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_2381","edge_2381","t0-18",-3.06604826050273,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_2381","edge_2381","t0-24",-3.0404225599604,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_2381","edge_2381","t0-30",-3.4939332789147,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_2381","edge_2381","t0-36",-2.96180712093644,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_263","edge_263","t0-6",-96.5542824869546,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_263","edge_263","t0-12",-85.835822370423,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_263","edge_263","t0-18",-9.77114586533891,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_263","edge_263","t0-24",0.753206370899733,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_263","edge_263","t0-30",39.1719346043305,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_263","edge_263","t0-36",-0.867350609673965,NA,NA,NA,NA,"abundance_nbinom",NA,6
