"effect","component","term","estimate","std.error","statistic","p.value","gene"
"fixed","cond","(Intercept)",-31.9807692189574,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC",-38.5305650087403,NA,NA,NA,"edge_16"
"fixed","cond","onset_timeline_combinedt0-6",-4.54301938136126,NA,NA,NA,"edge_16"
"fixed","cond","onset_timeline_combinedt0-12",15.3315528063276,NA,NA,NA,"edge_16"
"fixed","cond","onset_timeline_combinedt0-18",-9.93414933475027,NA,NA,NA,"edge_16"
"fixed","cond","onset_timeline_combinedt0-24",3.59919256780328,NA,NA,NA,"edge_16"
"fixed","cond","onset_timeline_combinedt0-30",35.3492925712955,NA,NA,NA,"edge_16"
"fixed","cond","onset_timeline_combinedt0-36",35.8435869416977,NA,NA,NA,"edge_16"
"fixed","cond","onset_timeline_combinedt0-over42",34.8485930266173,NA,NA,NA,"edge_16"
"fixed","cond","SexMale",-93.4592750722122,NA,NA,NA,"edge_16"
"fixed","cond","Age.at.Gluten.Introduction..months.",-1.08651939574444,NA,NA,NA,"edge_16"
"fixed","cond","HLA.CategoryHigh Risk",1.85896415135581,NA,NA,NA,"edge_16"
"fixed","cond","HLA.CategoryLow/No Risk",-28.9432180667063,NA,NA,NA,"edge_16"
"fixed","cond","feeding_first_yearFormula",-1.40935519714246,NA,NA,NA,"edge_16"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",4.35993551410402,NA,NA,NA,"edge_16"
"fixed","cond","Delivery.ModeC-Section",36.4544591325515,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-4.10513574257572,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",15.0861718692449,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",85.2325294928918,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",9.84123950047737,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-31.199960877033,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-31.6695631280845,NA,NA,NA,"edge_16"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-42.1949547856984,NA,NA,NA,"edge_16"
