"effect","component","term","estimate","std.error","statistic","p.value","gene"
"fixed","cond","(Intercept)",-23.6668179691234,10.0713085815197,-2.34992481637896,0.0187772033988597,"edge_187"
"fixed","cond","Dx.StatusCELIAC",-1.45422553013486,8.68090285062292,-0.167520078862592,0.866960850111104,"edge_187"
"fixed","cond","onset_timeline_combinedt0-6",9.09333269714802,6.42669576988693,1.41493125281516,0.157088653617667,"edge_187"
"fixed","cond","onset_timeline_combinedt0-12",-20.1844980738063,30850.9829499166,-0.000654257859679016,0.99947797779222,"edge_187"
"fixed","cond","onset_timeline_combinedt0-18",-22.9944877236909,152362.844500045,-0.00015091925987037,0.999879583853079,"edge_187"
"fixed","cond","onset_timeline_combinedt0-24",9.43926055577101,8.44265101054897,1.11804462176357,0.263547936196195,"edge_187"
"fixed","cond","onset_timeline_combinedt0-30",9.94316501997061,7.79156253407549,1.27614518608884,0.201904200954396,"edge_187"
"fixed","cond","onset_timeline_combinedt0-36",9.70562936253385,7.67063569369489,1.26529661296673,0.205765020279946,"edge_187"
"fixed","cond","onset_timeline_combinedt0-over42",9.21401665931233,8.08745484434882,1.13929744729897,0.254579112744835,"edge_187"
"fixed","cond","SexMale",0.459778241205399,4.29643563634474,0.107013878508038,0.914777969525473,"edge_187"
"fixed","cond","Age.at.Gluten.Introduction..months.",0.205955297274066,0.555219532251076,0.370943897522919,0.710679318427499,"edge_187"
"fixed","cond","HLA.CategoryHigh Risk",1.33275513566997,3.51470480555115,0.379194045987875,0.70454377262583,"edge_187"
"fixed","cond","HLA.CategoryLow/No Risk",-2.34217487862975,6.89122755275059,-0.339877744669001,0.733948597191921,"edge_187"
"fixed","cond","feeding_first_yearFormula",2.19997589748283,4.68636552019631,0.469441806876103,0.638753871302351,"edge_187"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",-0.203436616686155,3.74712082246143,-0.0542914483746273,0.956702962714767,"edge_187"
"fixed","cond","Delivery.ModeC-Section",2.77698292083315,4.94859291636986,0.561166167386074,0.57468426460024,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-38.4756522798581,39659.5409110756,-0.000970148705607257,0.999225933447537,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",26.3399808126171,30850.9831995788,0.000853780919791778,0.999318781468552,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",37.2049291988615,152362.844574234,0.000244186365139268,0.999805167471233,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-22.3204466701951,3174.45205252966,-0.00703127541410125,0.994389900130507,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-22.0913943264984,2204.98635244601,-0.0100188349474328,0.99200626000978,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-22.6245334505669,3234.8803231501,-0.00699393213673366,0.994419695022351,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",5.89006917407953,9.47487702191536,0.621651253146169,0.534171211630375,"edge_187"
"fixed","cond","(Intercept)",-55.8844097741395,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC",35.8364463182289,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-6",45.233201538262,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-12",-26.5819838959568,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-18",-37.2959642615663,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-24",43.7411557080203,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-30",-38.5221515262945,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-36",45.7038504417829,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-over42",46.0495764435561,NA,NA,NA,"edge_1980"
"fixed","cond","SexMale",9.14566503770405,NA,NA,NA,"edge_1980"
"fixed","cond","Age.at.Gluten.Introduction..months.",0.044061241436718,NA,NA,NA,"edge_1980"
"fixed","cond","HLA.CategoryHigh Risk",-8.3360537061359,NA,NA,NA,"edge_1980"
"fixed","cond","HLA.CategoryLow/No Risk",-0.817567851055554,NA,NA,NA,"edge_1980"
"fixed","cond","feeding_first_yearFormula",-0.560922074025777,NA,NA,NA,"edge_1980"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",-0.338462082294188,NA,NA,NA,"edge_1980"
"fixed","cond","Delivery.ModeC-Section",1.02416458334221,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-44.8628843563054,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",36.4314469404474,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-2.9382515146593,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-58.6143947837853,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-4.42486224656758,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-60.7111041587366,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-76.3092098400016,NA,NA,NA,"edge_1980"
"fixed","cond","(Intercept)",-16.4444248245263,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC",-25.9351644172323,NA,NA,NA,"edge_209"
"fixed","cond","onset_timeline_combinedt0-6",9.01227843777931,NA,NA,NA,"edge_209"
"fixed","cond","onset_timeline_combinedt0-12",-16.4167636118559,NA,NA,NA,"edge_209"
"fixed","cond","onset_timeline_combinedt0-18",-16.5484933574197,NA,NA,NA,"edge_209"
"fixed","cond","onset_timeline_combinedt0-24",-18.5479642032516,NA,NA,NA,"edge_209"
"fixed","cond","onset_timeline_combinedt0-30",8.96459404569339,NA,NA,NA,"edge_209"
"fixed","cond","onset_timeline_combinedt0-36",7.58659462617626,NA,NA,NA,"edge_209"
"fixed","cond","onset_timeline_combinedt0-over42",6.07670666532433,NA,NA,NA,"edge_209"
"fixed","cond","SexMale",3.52145779401613,NA,NA,NA,"edge_209"
"fixed","cond","Age.at.Gluten.Introduction..months.",-0.420555954752047,NA,NA,NA,"edge_209"
"fixed","cond","HLA.CategoryHigh Risk",1.88245729299639,NA,NA,NA,"edge_209"
"fixed","cond","HLA.CategoryLow/No Risk",6.91235842385142,NA,NA,NA,"edge_209"
"fixed","cond","feeding_first_yearFormula",-24.1312112739866,NA,NA,NA,"edge_209"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",-2.62965604061249,NA,NA,NA,"edge_209"
"fixed","cond","Delivery.ModeC-Section",2.43748149157504,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-14.0050050128167,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",42.7548725636137,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",53.42862312669,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-13.0419837669579,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-16.0016350525953,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-14.2209428750667,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",29.4989604068967,NA,NA,NA,"edge_209"
"fixed","cond","(Intercept)",-13.5033644468381,NA,NA,NA,"edge_2658"
"fixed","cond","Dx.StatusCELIAC",-26.0839396891505,NA,NA,NA,"edge_2658"
"fixed","cond","onset_timeline_combinedt0-6",-43.4206483068681,NA,NA,NA,"edge_2658"
"fixed","cond","onset_timeline_combinedt0-12",-32.1168905099739,NA,NA,NA,"edge_2658"
"fixed","cond","onset_timeline_combinedt0-18",-26.1629457215393,NA,NA,NA,"edge_2658"
"fixed","cond","onset_timeline_combinedt0-24",1.61433806539879,NA,NA,NA,"edge_2658"
"fixed","cond","onset_timeline_combinedt0-30",2.38155241815946,NA,NA,NA,"edge_2658"
