"contig_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_187","fixed","cond",NA,"(Intercept)",-5.45278860364597,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Dx.StatusCELIAC",0.715791146745033,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"onset_timeline_combinedt0-6",2.10052909831927,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"onset_timeline_combinedt0-12",-19.6195235578564,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"onset_timeline_combinedt0-18",-19.5313027486831,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"onset_timeline_combinedt0-24",1.45177090402012,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"onset_timeline_combinedt0-30",2.2891486517326,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"onset_timeline_combinedt0-36",1.89229542480355,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"onset_timeline_combinedt0-over42",0.807163131121219,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"SexMale",-1.06235952196281,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.0174468907734819,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"HLA.CategoryHigh Risk",0.627274329087576,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"HLA.CategoryLow/No Risk",-0.795760795228339,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"feeding_first_yearFormula",1.2071697021601,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",0.0536773588920773,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Delivery.ModeC-Section",0.644102512284043,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-35.7413897290591,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",20.51669646913,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",22.085363245648,NA,NA,NA,NA,NA
