"contig_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_187","fixed","cond",NA,"(Intercept)",-4.84826659274933,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Dx.StatusCELIAC",0.634378634397478,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"onset_timeline_combinedt0-6",1.82712888076869,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"onset_timeline_combinedt0-12",-19.4729773243234,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"onset_timeline_combinedt0-18",-19.0607896247058,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"onset_timeline_combinedt0-24",1.12551907738224,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"onset_timeline_combinedt0-30",1.97485571456467,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"onset_timeline_combinedt0-36",1.64221081087099,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"onset_timeline_combinedt0-over42",0.526278720422277,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"SexMale",-0.996950297619474,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.0129973574609651,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"HLA.CategoryHigh Risk",0.454842160260425,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"HLA.CategoryLow/No Risk",-0.708928717292197,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"feeding_first_yearFormula",1.02224633432775,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.00913837259078753,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Delivery.ModeC-Section",0.486491496919242,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-34.3619748454497,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",20.1655204915415,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",21.1466665466731,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-22.8041489837626,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-25.5105054719138,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-23.6231903310495,NA,NA,NA,NA,NA
"edge_187","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",1.41929470849059,NA,NA,NA,NA,NA
"edge_187","ran_pars","cond","patientID","sd__(Intercept)",1.70702560296498,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"(Intercept)",-57.2165651897325,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"Dx.StatusCELIAC",45.7229981645307,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"onset_timeline_combinedt0-6",48.3531355810487,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"onset_timeline_combinedt0-12",-39.813668405342,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"onset_timeline_combinedt0-18",-15.6094506961504,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"onset_timeline_combinedt0-24",51.0217718944472,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"onset_timeline_combinedt0-30",-16.5095085309731,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"onset_timeline_combinedt0-36",49.4802664175558,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"onset_timeline_combinedt0-over42",49.1543917230006,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"SexMale",3.9847734604827,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.0224906104858928,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"HLA.CategoryHigh Risk",-3.27347068062072,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"HLA.CategoryLow/No Risk",-1.10275299305217,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"feeding_first_yearFormula",-0.0733813813909299,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.689999183923812,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"Delivery.ModeC-Section",0.833895424702379,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-47.2101130333,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",43.9682951440811,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",0.198344873015554,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-80.5462036077117,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-3.94343427810339,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-82.6578831702657,NA,NA,NA,NA,NA
"edge_1980","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-78.9723749783595,NA,NA,NA,NA,NA
"edge_1980","ran_pars","cond","patientID","sd__(Intercept)",8.16769145719878,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"(Intercept)",-2.79893869748122,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"Dx.StatusCELIAC",-18.2360953087275,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"onset_timeline_combinedt0-6",2.254555689792,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"onset_timeline_combinedt0-12",-41.787190223012,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"onset_timeline_combinedt0-18",-53.8210287097435,NA,NA,NA,NA,NA
