Contig,US,Italy,filtered
contig_30686,NO,YES,NO
contig_14733,NO,YES,NO
contig_42538,YES,NO,NO
contig_7638,YES,NO,NO
contig_39636,YES,NO,NO
contig_8637,YES,NO,NO
contig_10228,NO,NO,YES
contig_9781,YES,YES,NO
contig_7962,NO,YES,NO
contig_23715,YES,YES,NO
contig_36641,YES,NO,NO
contig_13000,NO,YES,NO
contig_41090,NO,YES,NO
contig_25647,NO,YES,NO
contig_6273,YES,NO,NO
contig_30674,NO,YES,NO
contig_34347,YES,NO,NO
contig_21558,YES,NO,NO
contig_6488,NO,YES,NO
contig_33822,YES,NO,NO
contig_10424,NO,YES,NO
contig_41802,NO,YES,NO
contig_7169,NO,YES,NO
contig_22197,YES,NO,NO
contig_25919,YES,NO,NO
contig_8612,NO,YES,NO
contig_21645,NO,YES,NO
contig_26562,YES,NO,NO
contig_46055,YES,YES,NO
contig_15372,NO,YES,NO
contig_38908,NO,YES,NO
contig_47848,NO,YES,NO
contig_49946,YES,YES,NO
contig_14012,YES,NO,NO
contig_22018,NO,NO,YES
contig_9359,NO,YES,NO
contig_25612,YES,NO,NO
contig_11020,YES,NO,NO
contig_7799,YES,NO,NO
contig_33967,YES,NO,NO
contig_49814,YES,YES,NO
contig_40383,YES,NO,NO
contig_40400,YES,NO,NO
contig_49639,YES,NO,NO
contig_8416,YES,NO,NO
contig_20459,NO,YES,NO
contig_11215,YES,YES,NO
contig_35851,YES,NO,NO
contig_36742,YES,NO,NO
contig_45997,YES,YES,NO
contig_13393,YES,YES,NO
contig_14584,YES,NO,NO
contig_8872,NO,YES,NO
contig_9163,NO,YES,NO
contig_9685,NO,YES,NO
contig_46929,YES,NO,NO
contig_26624,YES,NO,NO
contig_43766,YES,NO,NO
contig_9281,NO,YES,NO
contig_11113,YES,YES,NO
contig_9335,YES,NO,NO
contig_5833,YES,NO,NO
contig_685,YES,YES,NO
contig_28092,YES,NO,NO
contig_26972,NO,YES,NO
contig_10357,YES,NO,NO
contig_27323,NO,YES,NO
contig_8313,NO,YES,NO
contig_36473,YES,NO,NO
contig_30210,NO,YES,NO
contig_17146,YES,NO,NO
contig_23561,NO,YES,NO
contig_7355,NO,NO,YES
contig_8111,NO,YES,NO
contig_8203,YES,NO,NO
contig_35169,YES,NO,NO
contig_16851,NO,YES,NO
contig_6571,YES,NO,NO
contig_22898,YES,NO,NO
contig_10173,YES,NO,NO
contig_32356,NO,YES,NO
contig_14117,NO,YES,NO
contig_6711,YES,NO,NO
contig_17385,NO,YES,NO
contig_40927,NO,YES,NO
contig_7778,YES,NO,NO
contig_25715,YES,NO,NO
contig_29277,YES,NO,NO
contig_35520,NO,YES,NO
contig_38987,YES,NO,NO
contig_9065,YES,NO,NO
contig_11182,YES,NO,NO
contig_17660,NO,YES,NO
contig_18632,YES,NO,NO
contig_7587,YES,NO,NO
contig_42090,YES,NO,NO
contig_46346,YES,YES,NO
contig_33693,YES,YES,NO
contig_8484,YES,YES,NO
contig_8505,NO,YES,NO
contig_12655,NO,YES,NO
contig_30042,NO,YES,NO
contig_7798,YES,YES,NO
contig_12607,NO,YES,NO
contig_7294,YES,NO,NO
contig_42211,YES,NO,NO
contig_11040,NO,YES,NO
contig_13635,YES,NO,NO
contig_6399,NO,YES,NO
contig_7262,NO,NO,YES
contig_8253,YES,NO,NO
contig_12364,YES,NO,NO
contig_686,YES,YES,NO
contig_8312,YES,NO,NO
contig_6829,YES,NO,NO
contig_30191,NO,YES,NO
contig_20764,NO,YES,NO
contig_38226,YES,NO,NO
contig_17021,YES,NO,NO
contig_10247,YES,NO,NO
contig_10528,NO,YES,NO
contig_14516,YES,NO,NO
contig_35806,NO,YES,NO
contig_13875,YES,YES,NO
contig_44065,YES,YES,NO
contig_7525,YES,NO,NO
contig_7210,YES,NO,NO
contig_40324,NO,YES,NO
contig_45257,YES,NO,NO
contig_25052,YES,NO,NO
contig_14022,NO,YES,NO
contig_19233,YES,NO,NO
contig_33077,YES,NO,NO
contig_7521,YES,YES,NO
contig_7219,NO,YES,NO
contig_11970,YES,NO,NO
contig_32845,YES,NO,NO
contig_11420,NO,YES,NO
contig_7949,YES,NO,NO
contig_11066,NO,YES,NO
contig_35170,YES,NO,NO
contig_24801,YES,NO,NO
contig_13532,YES,NO,NO
contig_9099,NO,YES,NO
contig_6926,NO,YES,NO
contig_15297,NO,YES,NO
contig_7325,YES,NO,NO
contig_7956,YES,NO,NO
contig_9565,NO,YES,NO
contig_8930,NO,YES,NO
contig_12325,NO,NO,YES
