DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Disease Status
COLOR	#ff0000

LEGEND_TITLE	Disease Status
LEGEND_SHAPES	1	1	1
LEGEND_COLORS	#e41a1c	#377eb8	#984ea3
LEGEND_LABELS	CELIAC	CONTROL	Both

DATA
contig_10173	#e41a1c	CELIAC
contig_10247	#377eb8	CONTROL
contig_10357	#e41a1c	CELIAC
contig_11020	#e41a1c	CELIAC
contig_11113	#e41a1c	CELIAC
contig_11182	#377eb8	CONTROL
contig_11215	#984ea3	Both
contig_11970	#e41a1c	CELIAC
contig_12364	#377eb8	CONTROL
contig_13393	#e41a1c	CELIAC
contig_13532	#e41a1c	CELIAC
contig_13635	#e41a1c	CELIAC
contig_13875	#984ea3	Both
contig_14012	#e41a1c	CELIAC
contig_14516	#e41a1c	CELIAC
contig_14584	#e41a1c	CELIAC
contig_17021	#377eb8	CONTROL
contig_17146	#e41a1c	CELIAC
contig_18632	#e41a1c	CELIAC
contig_19233	#e41a1c	CELIAC
contig_21558	#e41a1c	CELIAC
contig_22197	#377eb8	CONTROL
contig_22898	#e41a1c	CELIAC
contig_23715	#984ea3	Both
contig_24801	#e41a1c	CELIAC
contig_25052	#e41a1c	CELIAC
contig_25612	#e41a1c	CELIAC
contig_25715	#e41a1c	CELIAC
contig_25919	#984ea3	Both
contig_26562	#e41a1c	CELIAC
contig_26624	#e41a1c	CELIAC
contig_28092	#e41a1c	CELIAC
contig_29277	#e41a1c	CELIAC
contig_32845	#e41a1c	CELIAC
contig_33077	#e41a1c	CELIAC
contig_33693	#984ea3	Both
contig_33822	#e41a1c	CELIAC
contig_33967	#e41a1c	CELIAC
contig_34347	#e41a1c	CELIAC
contig_35169	#984ea3	Both
contig_35170	#377eb8	CONTROL
contig_35851	#377eb8	CONTROL
contig_36473	#e41a1c	CELIAC
contig_36641	#e41a1c	CELIAC
contig_36742	#e41a1c	CELIAC
contig_38226	#377eb8	CONTROL
contig_38987	#e41a1c	CELIAC
contig_39636	#377eb8	CONTROL
contig_40383	#e41a1c	CELIAC
contig_40400	#e41a1c	CELIAC
contig_42090	#377eb8	CONTROL
contig_42211	#377eb8	CONTROL
contig_42538	#e41a1c	CELIAC
contig_43766	#e41a1c	CELIAC
contig_44065	#984ea3	Both
contig_45257	#e41a1c	CELIAC
contig_45997	#e41a1c	CELIAC
contig_46055	#e41a1c	CELIAC
contig_46346	#984ea3	Both
contig_46929	#e41a1c	CELIAC
contig_49639	#e41a1c	CELIAC
contig_49814	#e41a1c	CELIAC
contig_49946	#984ea3	Both
contig_5833	#e41a1c	CELIAC
contig_6273	#e41a1c	CELIAC
contig_6571	#e41a1c	CELIAC
contig_6711	#e41a1c	CELIAC
contig_6829	#e41a1c	CELIAC
contig_685	#984ea3	Both
contig_686	#984ea3	Both
contig_7210	#e41a1c	CELIAC
contig_7294	#e41a1c	CELIAC
contig_7325	#377eb8	CONTROL
contig_7521	#e41a1c	CELIAC
contig_7525	#377eb8	CONTROL
contig_7587	#e41a1c	CELIAC
contig_7638	#e41a1c	CELIAC
contig_7778	#377eb8	CONTROL
contig_7798	#377eb8	CONTROL
contig_7799	#e41a1c	CELIAC
contig_7949	#377eb8	CONTROL
contig_7956	#e41a1c	CELIAC
contig_8203	#e41a1c	CELIAC
contig_8253	#377eb8	CONTROL
contig_8312	#377eb8	CONTROL
contig_8416	#e41a1c	CELIAC
contig_8484	#e41a1c	CELIAC
contig_8637	#e41a1c	CELIAC
contig_9065	#377eb8	CONTROL
contig_9335	#377eb8	CONTROL
contig_9781	#984ea3	Both
contig_10424	#377eb8	CONTROL
contig_10528	#e41a1c	CELIAC
contig_11040	#984ea3	Both
contig_11066	#377eb8	CONTROL
contig_11420	#377eb8	CONTROL
contig_12607	#e41a1c	CELIAC
contig_12655	#377eb8	CONTROL
contig_13000	#377eb8	CONTROL
contig_14022	#377eb8	CONTROL
contig_14117	#984ea3	Both
contig_14733	#377eb8	CONTROL
contig_15297	#377eb8	CONTROL
contig_15372	#377eb8	CONTROL
contig_16851	#377eb8	CONTROL
contig_17385	#377eb8	CONTROL
contig_17660	#377eb8	CONTROL
contig_20459	#e41a1c	CELIAC
contig_20764	#377eb8	CONTROL
contig_21645	#377eb8	CONTROL
contig_23561	#377eb8	CONTROL
contig_25647	#377eb8	CONTROL
contig_26972	#e41a1c	CELIAC
contig_27323	#984ea3	Both
contig_30042	#377eb8	CONTROL
contig_30191	#377eb8	CONTROL
contig_30210	#e41a1c	CELIAC
contig_30674	#e41a1c	CELIAC
contig_30686	#984ea3	Both
contig_32356	#377eb8	CONTROL
contig_35520	#e41a1c	CELIAC
contig_35806	#377eb8	CONTROL
contig_38908	#e41a1c	CELIAC
contig_40324	#377eb8	CONTROL
contig_40927	#e41a1c	CELIAC
contig_41090	#377eb8	CONTROL
contig_41802	#377eb8	CONTROL
contig_47848	#377eb8	CONTROL
contig_6399	#377eb8	CONTROL
contig_6488	#377eb8	CONTROL
contig_6926	#e41a1c	CELIAC
contig_7169	#377eb8	CONTROL
contig_7219	#377eb8	CONTROL
contig_7962	#377eb8	CONTROL
contig_8111	#377eb8	CONTROL
contig_8313	#984ea3	Both
contig_8505	#e41a1c	CELIAC
contig_8612	#e41a1c	CELIAC
contig_8872	#e41a1c	CELIAC
contig_8930	#e41a1c	CELIAC
contig_9099	#e41a1c	CELIAC
contig_9163	#377eb8	CONTROL
contig_9281	#377eb8	CONTROL
contig_9359	#984ea3	Both
contig_9565	#e41a1c	CELIAC
contig_9685	#377eb8	CONTROL
