DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Cohort
COLOR	#ff7f00

LEGEND_TITLE	Cohort
LEGEND_SHAPES	1	1
LEGEND_COLORS	#ff7f00	#4daf4a
LEGEND_LABELS	USA	Italy

DATA
contig_10173	#ff7f00	USA
contig_10247	#ff7f00	USA
contig_10357	#ff7f00	USA
contig_11020	#ff7f00	USA
contig_11113	#ff7f00	USA
contig_11182	#ff7f00	USA
contig_11215	#ff7f00	USA
contig_11970	#ff7f00	USA
contig_12364	#ff7f00	USA
contig_13393	#ff7f00	USA
contig_13532	#ff7f00	USA
contig_13635	#ff7f00	USA
contig_13875	#ff7f00	USA
contig_14012	#ff7f00	USA
contig_14516	#ff7f00	USA
contig_14584	#ff7f00	USA
contig_17021	#ff7f00	USA
contig_17146	#ff7f00	USA
contig_18632	#ff7f00	USA
contig_19233	#ff7f00	USA
contig_21558	#ff7f00	USA
contig_22197	#ff7f00	USA
contig_22898	#ff7f00	USA
contig_23715	#ff7f00	USA
contig_24801	#ff7f00	USA
contig_25052	#ff7f00	USA
contig_25612	#ff7f00	USA
contig_25715	#ff7f00	USA
contig_25919	#ff7f00	USA
contig_26562	#ff7f00	USA
contig_26624	#ff7f00	USA
contig_28092	#ff7f00	USA
contig_29277	#ff7f00	USA
contig_32845	#ff7f00	USA
contig_33077	#ff7f00	USA
contig_33693	#ff7f00	USA
contig_33822	#ff7f00	USA
contig_33967	#ff7f00	USA
contig_34347	#ff7f00	USA
contig_35169	#ff7f00	USA
contig_35170	#ff7f00	USA
contig_35851	#ff7f00	USA
contig_36473	#ff7f00	USA
contig_36641	#ff7f00	USA
contig_36742	#ff7f00	USA
contig_38226	#ff7f00	USA
contig_38987	#ff7f00	USA
contig_39636	#ff7f00	USA
contig_40383	#ff7f00	USA
contig_40400	#ff7f00	USA
contig_42090	#ff7f00	USA
contig_42211	#ff7f00	USA
contig_42538	#ff7f00	USA
contig_43766	#ff7f00	USA
contig_44065	#ff7f00	USA
contig_45257	#ff7f00	USA
contig_45997	#ff7f00	USA
contig_46055	#ff7f00	USA
contig_46346	#ff7f00	USA
contig_46929	#ff7f00	USA
contig_49639	#ff7f00	USA
contig_49814	#ff7f00	USA
contig_49946	#ff7f00	USA
contig_5833	#ff7f00	USA
contig_6273	#ff7f00	USA
contig_6571	#ff7f00	USA
contig_6711	#ff7f00	USA
contig_6829	#ff7f00	USA
contig_685	#ff7f00	USA
contig_686	#ff7f00	USA
contig_7210	#ff7f00	USA
contig_7294	#ff7f00	USA
contig_7325	#ff7f00	USA
contig_7521	#ff7f00	USA
contig_7525	#ff7f00	USA
contig_7587	#ff7f00	USA
contig_7638	#ff7f00	USA
contig_7778	#ff7f00	USA
contig_7798	#ff7f00	USA
contig_7799	#ff7f00	USA
contig_7949	#ff7f00	USA
contig_7956	#ff7f00	USA
contig_8203	#ff7f00	USA
contig_8253	#ff7f00	USA
contig_8312	#ff7f00	USA
contig_8416	#ff7f00	USA
contig_8484	#ff7f00	USA
contig_8637	#ff7f00	USA
contig_9065	#ff7f00	USA
contig_9335	#ff7f00	USA
contig_9781	#ff7f00	USA
contig_10424	#4daf4a	Italy
contig_10528	#4daf4a	Italy
contig_11040	#4daf4a	Italy
contig_11066	#4daf4a	Italy
contig_11420	#4daf4a	Italy
contig_12607	#4daf4a	Italy
contig_12655	#4daf4a	Italy
contig_13000	#4daf4a	Italy
contig_14022	#4daf4a	Italy
contig_14117	#4daf4a	Italy
contig_14733	#4daf4a	Italy
contig_15297	#4daf4a	Italy
contig_15372	#4daf4a	Italy
contig_16851	#4daf4a	Italy
contig_17385	#4daf4a	Italy
contig_17660	#4daf4a	Italy
contig_20459	#4daf4a	Italy
contig_20764	#4daf4a	Italy
contig_21645	#4daf4a	Italy
contig_23561	#4daf4a	Italy
contig_25647	#4daf4a	Italy
contig_26972	#4daf4a	Italy
contig_27323	#4daf4a	Italy
contig_30042	#4daf4a	Italy
contig_30191	#4daf4a	Italy
contig_30210	#4daf4a	Italy
contig_30674	#4daf4a	Italy
contig_30686	#4daf4a	Italy
contig_32356	#4daf4a	Italy
contig_35520	#4daf4a	Italy
contig_35806	#4daf4a	Italy
contig_38908	#4daf4a	Italy
contig_40324	#4daf4a	Italy
contig_40927	#4daf4a	Italy
contig_41090	#4daf4a	Italy
contig_41802	#4daf4a	Italy
contig_47848	#4daf4a	Italy
contig_6399	#4daf4a	Italy
contig_6488	#4daf4a	Italy
contig_6926	#4daf4a	Italy
contig_7169	#4daf4a	Italy
contig_7219	#4daf4a	Italy
contig_7962	#4daf4a	Italy
contig_8111	#4daf4a	Italy
contig_8313	#4daf4a	Italy
contig_8505	#4daf4a	Italy
contig_8612	#4daf4a	Italy
contig_8872	#4daf4a	Italy
contig_8930	#4daf4a	Italy
contig_9099	#4daf4a	Italy
contig_9163	#4daf4a	Italy
contig_9281	#4daf4a	Italy
contig_9359	#4daf4a	Italy
contig_9565	#4daf4a	Italy
contig_9685	#4daf4a	Italy
