"","Contig","Present_CELIAC","Absent_CELIAC","Present_CONTROL","Absent_CONTROL","OddsRatio","P_value","FDR"
"2","contig_2664",1,46,0,63,Inf,0.427272727272728,1
"7","contig_2450",1,46,0,63,Inf,0.427272727272728,1
"8","contig_2464",1,46,0,63,Inf,0.427272727272728,1
"4","contig_2453",0,47,2,61,0,0.506088407005839,1
"1","contig_48716",1,46,2,61,0.665428629892258,1,1
"13","contig_48956",1,46,2,61,0.665428629892258,1,1
"3","contig_2451",0,47,1,62,0,1,1
"5","contig_48715",0,47,1,62,0,1,1
"11","contig_8600",0,47,1,62,0,1,1
"6","contig_13045",1,46,1,62,1.34410531913893,1,1
"9","contig_2452",1,46,1,62,1.34410531913893,1,1
"10","contig_5040",1,46,1,62,1.34410531913893,1,1
"12","contig_7385",1,46,1,62,1.34410531913893,1,1
