"","Contig","Present_CELIAC","Absent_CELIAC","Present_CONTROL","Absent_CONTROL","OddsRatio","P_value","FDR"
"14","contig_8612",2,45,0,63,Inf,0.180316930775647,1
"18","contig_38908",2,45,0,63,Inf,0.180316930775647,1
"33","contig_26972",2,45,0,63,Inf,0.180316930775647,1
"9","contig_30674",1,46,0,63,Inf,0.427272727272728,1
"16","contig_46055",1,46,0,63,Inf,0.427272727272728,1
"22","contig_49814",1,46,0,63,Inf,0.427272727272728,1
"23","contig_20459",1,46,0,63,Inf,0.427272727272728,1
"25","contig_45997",1,46,0,63,Inf,0.427272727272728,1
"26","contig_13393",1,46,0,63,Inf,0.427272727272728,1
"27","contig_8872",1,46,0,63,Inf,0.427272727272728,1
"31","contig_11113",1,46,0,63,Inf,0.427272727272728,1
"36","contig_30210",1,46,0,63,Inf,0.427272727272728,1
"43","contig_40927",1,46,0,63,Inf,0.427272727272728,1
"44","contig_35520",1,46,0,63,Inf,0.427272727272728,1
"46","contig_46346",1,46,0,63,Inf,0.427272727272728,1
"48","contig_8484",1,46,0,63,Inf,0.427272727272728,1
"49","contig_8505",1,46,0,63,Inf,0.427272727272728,1
"53","contig_12607",1,46,0,63,Inf,0.427272727272728,1
"59","contig_10528",1,46,0,63,Inf,0.427272727272728,1
"65","contig_7521",1,46,0,63,Inf,0.427272727272728,1
"69","contig_9099",1,46,0,63,Inf,0.427272727272728,1
"70","contig_6926",1,46,0,63,Inf,0.427272727272728,1
"72","contig_9565",1,46,0,63,Inf,0.427272727272728,1
"73","contig_8930",1,46,0,63,Inf,0.427272727272728,1
"19","contig_47848",0,47,2,61,0,0.506088407005839,1
"45","contig_17660",0,47,2,61,0,0.506088407005839,1
"41","contig_14117",2,45,1,62,2.73035543807517,0.574687239366138,1
"21","contig_9359",1,46,2,61,0.665428629892258,1,1
"2","contig_14733",0,47,1,62,0,1,1
"3","contig_9781",0,47,1,62,0,1,1
"4","contig_7962",0,47,1,62,0,1,1
"5","contig_23715",0,47,1,62,0,1,1
"6","contig_13000",0,47,1,62,0,1,1
"7","contig_41090",0,47,1,62,0,1,1
"8","contig_25647",0,47,1,62,0,1,1
"10","contig_6488",0,47,1,62,0,1,1
"11","contig_10424",0,47,1,62,0,1,1
"12","contig_41802",0,47,1,62,0,1,1
"13","contig_7169",0,47,1,62,0,1,1
"15","contig_21645",0,47,1,62,0,1,1
"17","contig_15372",0,47,1,62,0,1,1
"20","contig_49946",0,47,1,62,0,1,1
"24","contig_11215",0,47,1,62,0,1,1
"28","contig_9163",0,47,1,62,0,1,1
"29","contig_9685",0,47,1,62,0,1,1
"30","contig_9281",0,47,1,62,0,1,1
"32","contig_685",0,47,1,62,0,1,1
"37","contig_23561",0,47,1,62,0,1,1
"38","contig_8111",0,47,1,62,0,1,1
"39","contig_16851",0,47,1,62,0,1,1
"40","contig_32356",0,47,1,62,0,1,1
"42","contig_17385",0,47,1,62,0,1,1
"50","contig_12655",0,47,1,62,0,1,1
"51","contig_30042",0,47,1,62,0,1,1
"52","contig_7798",0,47,1,62,0,1,1
"55","contig_6399",0,47,1,62,0,1,1
"56","contig_686",0,47,1,62,0,1,1
"57","contig_30191",0,47,1,62,0,1,1
"58","contig_20764",0,47,1,62,0,1,1
"60","contig_35806",0,47,1,62,0,1,1
"61","contig_13875",0,47,1,62,0,1,1
"62","contig_44065",0,47,1,62,0,1,1
"63","contig_40324",0,47,1,62,0,1,1
"64","contig_14022",0,47,1,62,0,1,1
"66","contig_7219",0,47,1,62,0,1,1
"67","contig_11420",0,47,1,62,0,1,1
"68","contig_11066",0,47,1,62,0,1,1
"71","contig_15297",0,47,1,62,0,1,1
"1","contig_30686",1,46,1,62,1.34410531913893,1,1
"34","contig_27323",1,46,1,62,1.34410531913893,1,1
"35","contig_8313",1,46,1,62,1.34410531913893,1,1
"47","contig_33693",1,46,1,62,1.34410531913893,1,1
"54","contig_11040",1,46,1,62,1.34410531913893,1,1
