"","Contig","Present_CELIAC","Absent_CELIAC","Present_CONTROL","Absent_CONTROL","OddsRatio","P_value","FDR"
"11","contig_3229",0,96,2,95,0,0.497409326424869,1
"14","contig_3303",0,96,2,95,0,0.497409326424869,1
"17","contig_3302",0,96,2,95,0,0.497409326424869,1
"1","contig_3146",1,95,0,97,Inf,0.49740932642487,1
"2","contig_3176",1,95,0,97,Inf,0.49740932642487,1
"3","contig_292",1,95,0,97,Inf,0.49740932642487,1
"5","contig_9975",1,95,0,97,Inf,0.49740932642487,1
"9","contig_27255",1,95,0,97,Inf,0.49740932642487,1
"12","contig_9150",1,95,0,97,Inf,0.49740932642487,1
"19","contig_49002",1,95,0,97,Inf,0.49740932642487,1
"4","contig_33655",1,95,1,96,1.01047235362807,1,1
"6","contig_4215",0,96,1,96,0,1,1
"7","contig_3279",0,96,1,96,0,1,1
"8","contig_49016",0,96,1,96,0,1,1
"10","contig_43881",0,96,1,96,0,1,1
"13","contig_3263",1,95,1,96,1.01047235362807,1,1
"15","contig_3225",0,96,1,96,0,1,1
"16","contig_3292",0,96,1,96,0,1,1
"18","contig_18302",1,95,1,96,1.01047235362807,1,1
"20","contig_30058",0,96,1,96,0,1,1
"21","contig_3069",0,96,1,96,0,1,1
"22","contig_11106",1,95,1,96,1.01047235362807,1,1
"23","contig_10594",0,96,1,96,0,1,1
"24","contig_48979",1,95,1,96,1.01047235362807,1,1
