"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-0.0147038354391231,0.290191880281896,-0.0506693551344016,0.959588996329511
"2","CountryUSA",0.404513102320768,0.559269037915845,0.723288926968342,0.469502394314247
"3","SexMale",0.717396223237801,0.330251809288054,2.1722703799393,0.0298352748215413
"4","Delivery.ModeVaginal",-1.21041787251547,0.581528774336177,-2.08144106694837,0.0373935530513669
"5","HLA.CategoryLow/No Risk",-0.372142878119044,0.42477542760688,-0.876093234054615,0.380979350660579
"6","HLA.CategoryStandard Risk",-0.513489125159056,0.294492518664339,-1.74364064488962,0.0812217712573246
"7","feeding_first_yearBreastmilk_and_formula",-0.175705965438787,0.327362958287221,-0.536731358850402,0.591453191582355
"8","feeding_first_yearFormula",-0.0817734927871551,0.340311692710612,-0.240289988674271,0.810105455573729
"9","Age.at.Gluten.Introduction..months.11",19.6657308465034,2326.7194150989,0.00845212822778958,0.99325625767499
"10","Age.at.Gluten.Introduction..months.15",-0.413568084695068,3725.98979417303,-0.000110995495838941,0.999911438407733
"11","Age.at.Gluten.Introduction..months.36",19.5313126131737,2326.71940273287,0.00839435670250271,0.993302351047849
"12","Age.at.Gluten.Introduction..months.4",19.7431431162484,2326.71947082701,0.00848539901943183,0.993229712375945
"13","Age.at.Gluten.Introduction..months.5",19.9875957414647,2326.71945776729,0.00859046228144954,0.993145887076644
"14","Age.at.Gluten.Introduction..months.6",19.3161912598149,2326.7193806792,0.00830189984241943,0.993376118378511
"15","Age.at.Gluten.Introduction..months.7",18.4560952202861,2326.71937576878,0.00793223944945572,0.99367105498074
"16","Age.at.Gluten.Introduction..months.8",18.6471503461673,2326.71940137046,0.00801435288465979,0.993605540021114
"17","Age.at.Gluten.Introduction..months.9",20.1526346241514,2326.71938655591,0.00866139455432229,0.993089293416779
"18","Age.at.Solid.Introduction..months.4",0.380068310875458,33771.146441438,1.12542318198918e-05,0.999991020422187
"19","Age.at.Solid.Introduction..months.5",0.406357106513228,33771.1464394118,1.20326713587371e-05,0.999990399317298
"20","Age.at.Solid.Introduction..months.6",0.622388252622705,33771.1464402913,1.8429586147545e-05,0.999985295317752
"21","Age.at.Solid.Introduction..months.7",0.115390762723626,33771.1464398149,3.41684469993546e-06,0.999997273752367
"22","Age.at.Solid.Introduction..months.8",21.0073154667445,33690.9055356747,0.000623530746138605,0.999502494476708
