"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.146584414023712,0.524280513319362,0.279591574166369,0.779790872236895
"2","CountryUSA",-0.723411357879453,0.309824016920349,-2.33491052459445,0.01954809543449
"3","SexMale",0.411023188154777,0.265027397307772,1.55087056028951,0.120932706801678
"4","Delivery.ModeVaginal",-0.225228191203752,0.326182641175046,-0.690497171745211,0.4898815879116
"5","HLA.CategoryLow/No Risk",-0.719105608853843,0.346151656986552,-2.07742934156106,0.0377619504307915
"6","HLA.CategoryStandard Risk",-1.01481755622354,0.262452240910055,-3.86667514327427,0.000110329236845577
"7","feeding_first_yearBreastmilk_and_formula",-0.278625352284912,0.259557396864334,-1.07346334818785,0.283063274929572
"8","feeding_first_yearFormula",-0.0654675384010528,0.308741555264587,-0.212046409965604,0.832070827558895
"9","feeding_first_yearUnknown",0.624261988368875,0.693387817747653,0.900307118744427,0.367956833746193
"10","Age.at.Gluten.Introduction..months.11",2.23643643331772,0.61249874705973,3.65133225831664,0.000260883468484549
"11","Age.at.Gluten.Introduction..months.12",-16.0749116230472,10976.2880444294,-0.00146451255269357,0.998831488462807
"12","Age.at.Gluten.Introduction..months.15",-15.4693415243481,1664.15675448902,-0.00929560360381914,0.992583288212166
"13","Age.at.Gluten.Introduction..months.36",2.32754365343866,0.66453179371405,3.50253167035105,0.000460858991921483
"14","Age.at.Gluten.Introduction..months.4",2.49674164024162,0.703572268482118,3.54866408482539,0.000387190676857589
"15","Age.at.Gluten.Introduction..months.5",3.14988722056705,0.663065423605517,4.75049234725446,2.02921974372934e-06
"16","Age.at.Gluten.Introduction..months.6",1.85239731343262,0.496269305449176,3.73264534617148,0.000189479294475474
"17","Age.at.Gluten.Introduction..months.7",1.10593920566766,0.506055411712649,2.18541128119709,0.0288587044569175
"18","Age.at.Gluten.Introduction..months.8",1.26876970218354,0.549046501451526,2.31086018912655,0.0208405786464062
"19","Age.at.Gluten.Introduction..months.9",2.87710888325318,0.537107850896412,5.35666883001504,8.47702893703402e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.0633696280553,0.843854350986928,2.44517270740156,0.0144782791754276
