"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",-0.319834013927852,0.726269577703905,0.300124412476146,-1.06567143701871,0.28657219379302,0.403303034376278,1.30786890883168
"CountryUSA","CountryUSA",-0.702498339777676,0.495346213452781,0.308546226368418,-2.27680094501905,0.022798115074473,0.270566375227995,0.906867569834749
"SexMale","SexMale",0.395555194191215,1.48520854121732,0.265996635439586,1.48706841173957,0.136996743393099,0.88180121228104,2.50152118208003
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.222705050632278,0.800350877469928,0.325514560503876,-0.684163099455656,0.493872180621631,0.422865183585878,1.5148126446234
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.737516909423464,0.478300104686691,0.345620130137402,-2.13389454234122,0.0328514143418636,0.2429450684822,0.941657270808363
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.03148127905205,0.356478525113828,0.261833013991373,-3.93946226768041,8.16644441500404e-05,0.213383437319184,0.595533282544537
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.274244167822226,0.760146449296763,0.260610783641818,-1.05231320051263,0.292655877261477,0.456105143706575,1.2668627669549
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0771721337807302,0.925730490401743,0.306666034089576,-0.25164878141734,0.801312549551653,0.507516266746183,1.6885703907655
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.59882978384171,1.81998777465153,0.695570670373119,0.860918680657546,0.389282832265702,0.465583566366698,7.11441670016375
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.17345458567229,8.78859260492538,0.613887463864629,3.54047722686771,0.000399404102803669,2.63862319991188,29.2725994290995
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.2166676952727,9.06130408718558e-08,10984.1727173765,-0.00147636677904916,0.998822030168843,0,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.6061310132871,1.66856610471313e-07,1662.39062142535,-0.00938776411040283,0.992509757975327,0,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.36266299691869,10.6191927100191,0.662267539789517,3.56753555771373,0.000360354491384083,2.89980203480295,38.8879145745497
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.49906623919346,12.1711237346789,0.701447362236715,3.56272811579853,0.000367020743581077,3.07792193288249,48.1286582945055
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.07024438969884,21.5471679374714,0.66852457432987,4.59256773436707,4.37825337612806e-06,5.81220665238097,79.8802372134176
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.77223007525545,5.88396041561884,0.498547395903407,3.55478754842161,0.000378284617978545,2.21465167700209,15.6327022132143
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.02305902309199,2.78169101928107,0.510185723262114,2.00526783962236,0.0449344210185771,1.02338256415819,7.56100914530813
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.15581374312795,3.1766073084407,0.556276926817203,2.07776682333574,0.0377308409296685,1.0677258375139,9.45077250873168
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.76504914408784,15.8798203707253,0.542187679564038,5.0998007669801,3.4001118419585e-07,5.48699539752908,45.9575189583831
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",1.99049615917008,7.31916433206553,0.846226321837808,2.35220307830556,0.0186625828723525,1.39364559722255,38.4388732878303
