"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.250103500703476,1.28415832109938,0.330164139997283,0.757512613894212,0.448742811719166,0.672329774694652,2.45275853564231
"CountryUSA","CountryUSA",-0.722488352593047,0.485542550432823,0.308545468934466,-2.34159443367648,0.0192015676774286,0.265211844460561,0.888917946935314
"SexMale","SexMale",0.383435024618198,1.46731620992036,0.265012396201953,1.44685693995235,0.147936995339496,0.872860327462617,2.46662242761543
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.202399256722778,0.816768762415331,0.326371275718624,-0.62015033730258,0.535158814293558,0.430815565507481,1.54848446683129
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.709031604275208,0.492120534203912,0.34579421182477,-2.05044381898014,0.0403211408611914,0.249879667870368,0.96919698288851
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.01096189706674,0.36386880684548,0.261703502259804,-3.86300484455543,0.00011200078579862,0.217862459261978,0.607725209031733
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.25895371120428,0.771858750628836,0.261372428372249,-0.990746089084331,0.321809579755297,0.462441943551241,1.28830427090421
"feeding_first_yearFormula","feeding_first_yearFormula",-0.086231839300388,0.917381521473737,0.307599893194037,-0.280337676339804,0.779218447603054,0.502019381430167,1.67640710114404
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.542052216770737,1.71953209628116,0.69705489545284,0.777632034875237,0.436785969943795,0.438607530578483,6.7413129597692
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.20579921698037,9.07750356449909,0.614471380584538,3.58975094150362,0.000330994058337459,2.72224645361845,30.2695117313735
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.105733048911,1.01243933489184e-07,11023.9002648333,-0.00146098319669028,0.998834304478459,0,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.5151134518732,1.82756083198756e-07,1664.18252114527,-0.00932296383043125,0.99256145885569,0,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.2751821058395,9.72969068472925,0.66402616179031,3.42634407612085,0.000611764888777723,2.64776197102504,35.7535465258828
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.47465330043972,11.8775884444794,0.702748337342494,3.52139331954571,0.000429285359387942,2.99604135526598,47.0878370915901
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.11728401509456,22.584955868682,0.664083062696108,4.69411763407836,2.6775992925715e-06,6.14540795827126,83.0018503334322
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.82373912376664,6.19497899084251,0.4966219503694,3.67228859378869,0.000240387992297379,2.34053137543804,16.3970306485627
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.08012818903525,2.94505705089145,0.507561230193191,2.12807465342482,0.0333308944556644,1.08907254501532,7.96398832447236
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.23644532351447,3.4433516830813,0.551122385380415,2.2435040860498,0.0248643266659702,1.1691363304223,10.141392842609
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.84559797235753,17.2118478015177,0.536570542578783,5.30330636244296,1.13723826444351e-07,6.0130916489237,49.2671194851382
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.09313720331903,8.11031901467897,0.840306218338177,2.49092194921335,0.0127412105971751,1.5623127874082,42.1025002483558
