"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.0660498454654956,0.229918632764938,0.28727487055398,0.773901862474547
"2","CountryUSA",-0.717752105852559,0.311007834284083,-2.30782644914643,0.0210087912169465
"3","SexMale",0.397904357070341,0.265027052090454,1.50137261057613,0.133259213983244
"4","Delivery.ModeVaginal",-0.206507450559789,0.330714404034868,-0.624428352803214,0.532346309703359
"5","HLA.CategoryLow/No Risk",-0.697227836109901,0.347482962103222,-2.006509418159,0.0448019249321985
"6","HLA.CategoryStandard Risk",-1.00831860089839,0.26218770041246,-3.84578910189972,0.000120165087961385
"7","feeding_first_yearBreastmilk_and_formula",-0.290801434516379,0.263295534793107,-1.10446777893475,0.269390273197368
"8","feeding_first_yearFormula",-0.0782084901320932,0.307198368405257,-0.254586280969176,0.799042656320942
"9","feeding_first_yearUnknown",0.622155537489625,0.693494957684179,0.897130585588133,0.369649239735078
"10","Age.at.Gluten.Introduction..months.11",2.26093856500748,0.619068680294396,3.65216112036599,0.000260042637161208
"11","Age.at.Gluten.Introduction..months.12",-16.0681764945336,11003.9809620392,-0.00146021485769237,0.998834917523629
"12","Age.at.Gluten.Introduction..months.15",-15.4568957356576,1665.16215806153,-0.00928251681725191,0.992593729506637
"13","Age.at.Gluten.Introduction..months.36",2.32021578305934,0.662268526561905,3.50343658199264,0.000459296006939202
"14","Age.at.Gluten.Introduction..months.4",2.539845454413,0.727183421725684,3.492716388371,0.000478134031308663
"15","Age.at.Gluten.Introduction..months.5",3.19005012505422,0.673083271066094,4.73945834369276,2.14290282263374e-06
"16","Age.at.Gluten.Introduction..months.6",1.85355562257989,0.496781797779511,3.73112628293712,0.000190625633210011
"17","Age.at.Gluten.Introduction..months.7",1.13178944964519,0.512729464485309,2.2073813346797,0.0272874292793
"18","Age.at.Gluten.Introduction..months.8",1.28789231128802,0.551131542057909,2.33681474023255,0.0194488190556401
"19","Age.at.Gluten.Introduction..months.9",2.87735493269753,0.537439756388676,5.35381854150855,8.61172239478898e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.07715932935182,0.846368542513685,2.45420195224025,0.0141197659166924
