"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.581758615751339,1.78918214955337,0.273626965355394,2.1261011866858,0.0334948351513285,1.04650874412155,3.05890684837755
"CountryUSA","CountryUSA",-0.728341071623777,0.482709106072678,0.308341734530738,-2.36212289825843,0.0181706173183998,0.26376947284253,0.883377741079951
"SexMale","SexMale",0.384459680923179,1.46882047527213,0.265570589069353,1.44767416554089,0.147708198358918,0.872799769107281,2.47185398637915
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.255896045679301,0.774222448377766,0.326482099729021,-0.783798088445566,0.433158595682818,0.408285251617602,1.46814120078351
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.644835041848307,0.52474909660854,0.349383522392941,-1.84563667293697,0.0649449778895909,0.26457932622611,1.04075257246726
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.999611981366561,0.368022212946739,0.263195261865194,-3.79798623380444,0.000145876423140984,0.219705950450242,0.616461907129315
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.366733221588878,0.69299449635678,0.2639240001287,-1.38954100957111,0.164668299589596,0.413120997614529,1.16247146660138
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0738410505296229,0.928819317447214,0.310779449750366,-0.237599527861111,0.812191716741815,0.505120846075163,1.70791867167315
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.621358428619203,1.86145497884261,0.698609825719275,0.889421255962817,0.373776725494865,0.47336350835724,7.31998681157934
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.37590775017706,10.7607768510134,0.621772020059556,3.82118794916099,0.000132810385663191,3.18119522872774,36.3996265905427
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-15.9257212027381,1.21212430978907e-07,11010.0260831683,-0.00144647442998203,0.99884588078718,0,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.3926506400859,2.06565013222905e-07,1655.91474010419,-0.00929555747484764,0.99258332501617,0,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.4146194461103,11.1855128570739,0.658769815715974,3.6653462081987,0.00024700420990445,3.07545953756919,40.681952191982
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.66795657782851,14.4104923666556,0.713357746745134,3.73999804446184,0.000184021686605924,3.56014432978083,58.3297391940911
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.37181539900937,29.1313641326874,0.677525035200249,4.97666539807315,6.4689002407739e-07,7.72058957850008,109.918597226625
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.94331097527552,6.98182940803415,0.508055057662319,3.82500074739371,0.000130771689760911,2.57936013915236,18.8984628951076
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.16803084497807,3.21565427819889,0.511866987527565,2.28190305965995,0.0224950641706272,1.17914545394132,8.76942908301573
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.4037603082796,4.07047747492359,0.561383884516943,2.5005354571008,0.0124005719049517,1.35454839793821,12.2319637298159
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",3.01878578366586,20.4664259223844,0.54590172267824,5.52990704783901,3.20400515613778e-08,7.0205254672299,59.6642789762181
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.15745942882267,8.64913597630764,0.85530821467805,2.52243506118408,0.011654546662117,1.61783062649077,46.239422045634
