"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",-0.866426088611558,0.420451523752105,0.327991912818768,-2.64160808467952,0.00825134746373023,0.221069438610774,0.799655913256799
"CountryUSA","CountryUSA",-0.748060424638749,0.4732836323532,0.307231655995381,-2.43484162533692,0.0148983089064834,0.259182351466463,0.864246332306399
"SexMale","SexMale",0.397839018061626,1.48860437220021,0.266112517356249,1.49500302358582,0.134913653042614,0.883616678676681,2.50781026479967
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.215193214743107,0.806385619534066,0.324483704344475,-0.663186507864368,0.507211111501124,0.42691532444385,1.52315396089012
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.724196806160243,0.484713731731241,0.343563230105307,-2.10789963157078,0.0350396721117073,0.247197327737876,0.95044474743659
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.14817394117685,0.317215494978193,0.26587677783354,-4.31844386912082,1.57133172420173e-05,0.188382115430988,0.534157236869563
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.295764166052472,0.743962859030932,0.258614530126752,-1.14364868017088,0.252769364521425,0.448144599914267,1.23504943655098
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0100442578355888,0.99000601725602,0.305470160910924,-0.0328813060026435,0.973769240383296,0.544027886455857,1.80158396031534
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.640814317562991,1.89802584595421,0.705370505707374,0.908479036730287,0.363625184481147,0.47630995562903,7.56335673721667
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.26028984580575,9.58586718754489,0.61641806147672,3.66681313716035,0.000245592126744795,2.86375197915496,32.0868742845407
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.1266176174761,9.91514242508525e-08,10974.3565053963,-0.00146948184247033,0.998827523547483,0,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4947042774983,1.865243063317e-07,1662.36051049639,-0.00932090492986477,0.992563101549289,0,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.38514010912694,10.8605842252996,0.663363020096197,3.59552769278736,0.000323734686408496,2.95935837922116,39.8573861628307
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.57946309347696,13.190054431915,0.707003479744546,3.64844469281675,0.000263832683459068,3.29946962623562,52.7289399888711
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.26754686641437,26.2468732173784,0.674132028913992,4.84704290297303,1.25315334923699e-06,7.0025359983058,98.3784094584887
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.97414379698181,7.20045196509557,0.501655821907803,3.93525542965717,8.31082586522478e-05,2.69370199386386,19.2473067250026
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.15158683736119,3.16320842654502,0.508940447344157,2.26271431828734,0.023653305606278,1.16658641496789,8.57706503468995
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.32667629966765,3.76849719384882,0.553179211214832,2.39827577170543,0.0164724583844754,1.27438660494962,11.1438483776341
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",3.02838403506793,20.6638135965668,0.544640301190697,5.56033776502998,2.69253042531053e-08,7.10578087285892,60.0909597402014
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.11762457659075,8.31137099486326,0.859909982098294,2.46261192528952,0.0137929115462973,1.54069248621859,44.836259300387
