"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",-0.577101670538681,0.561523490431123,0.292850133636684,-1.97063823523689,0.0487652699360122,0.316295813270953,0.996878924969659
"CountryUSA","CountryUSA",-0.775373447879352,0.460531764270583,0.309272695797708,-2.50708665334788,0.0121730864926167,0.251192225817819,0.844331488411576
"SexMale","SexMale",0.398831622698365,1.49008270137914,0.265336748671005,1.50311490849269,0.132809414984999,0.885840073631487,2.50648680618735
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.277058291746343,0.758010310077931,0.326050900714355,-0.849739384676834,0.395469996535503,0.400073773842721,1.4361841933941
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.704450653632694,0.494380085576515,0.344103380943029,-2.04720642878346,0.0406378204934276,0.251860255427711,0.970425717227913
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.11990930171041,0.326309388984398,0.267604764975397,-4.18493781982309,2.85244171010987e-05,0.193127438832011,0.551334486613211
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.287721095249739,0.749970733472566,0.257825571161483,-1.11595251764043,0.264442459885746,0.452462709573788,1.24309935197798
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0841911244337774,0.919255547108581,0.30524261911668,-0.275817068656442,0.78268857316112,0.505374437301665,1.6720884526763
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.638846038492801,1.89429367558825,0.703086726893778,0.908630491881434,0.363545205623814,0.477505966320604,7.51477213368343
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.26649189855096,9.64550398557108,0.616749014972792,3.67490152967807,0.000237941166496342,2.87969976861112,32.307446821284
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.0693191473268,1.04998565653319e-07,10987.8712550075,-0.00146245972257852,0.998833126382508,0,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4872161776628,1.87926261398185e-07,1657.09664620441,-0.00934599452188647,0.992543083823102,0,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.27907132939102,9.76760530832128,0.665329373508825,3.42547829712014,0.000613717963543913,2.65129902885401,35.9846672973678
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.51659678015206,12.3863713085673,0.705741943935725,3.56588807251232,0.000362626123735947,3.10610021028413,49.3938327185091
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.28372704421242,26.6750065893821,0.672340448542969,4.88402423404482,1.0394229139925e-06,7.14179381733888,99.6326685903562
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.9634405485182,7.12379471129669,0.501571116368708,3.91458057380415,9.05614929693693e-05,2.66546686129544,19.0392354246094
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.14826268572538,3.15271089943195,0.508317729688361,2.25894675448239,0.0238866971732137,1.16413490787901,8.53817366709362
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.40805165852543,4.08798285342699,0.554805092510793,2.53792129440131,0.0111513059807928,1.37802823023611,12.1271853821527
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",3.06038329520279,21.3357334792459,0.548204485337589,5.58255792693521,2.37006631846852e-08,7.285763567245,62.4798648619264
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.10801950483885,8.23192184829105,0.860436018619873,2.44994335339435,0.0142878690640862,1.52439238918568,44.4534739199077
