"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.638931226807356,0.189912843930475,3.36433920731166,0.000767271780826574
"2","CountryUSA",-0.50032443701623,0.313929014987188,-1.59375022100665,0.11099199093624
"3","SexMale",0.281034456882646,0.266465527588224,1.05467472444291,0.291574115413998
"4","Delivery.ModeVaginal",-0.410603358546455,0.331756341723415,-1.23766543968216,0.21584013889043
"5","HLA.CategoryLow/No Risk",-0.571679498571506,0.345315431355059,-1.65552838553484,0.097817363403881
"6","HLA.CategoryStandard Risk",-0.978487565491378,0.263816955253589,-3.70896390852068,0.000208109086443446
"7","feeding_first_yearBreastmilk_and_formula",-0.270346004390531,0.260112046967307,-1.03934441923219,0.298644583392752
"8","feeding_first_yearFormula",-0.123408753745454,0.309003916622117,-0.39937601793045,0.689616162037819
"9","feeding_first_yearUnknown",0.583919954030587,0.692009123563167,0.843803837475397,0.398779030768049
"10","Age.at.Gluten.Introduction..months.11",2.33691171552454,0.613210710881265,3.81094405896153,0.00013843709509706
"11","Age.at.Gluten.Introduction..months.12",-15.9034788048542,11294.3848512362,-0.00140808720566252,0.998876509329597
"12","Age.at.Gluten.Introduction..months.15",-15.6430208286713,1661.0609051527,-0.00941748781164246,0.992486042941358
"13","Age.at.Gluten.Introduction..months.36",2.28121527106582,0.65581369602233,3.47845018318761,0.00050432216818007
"14","Age.at.Gluten.Introduction..months.4",2.33834420591706,0.704756073655153,3.31794828498526,0.000906812722323494
"15","Age.at.Gluten.Introduction..months.5",3.3653694466423,0.673115682096651,4.99968955731308,5.74226942926516e-07
"16","Age.at.Gluten.Introduction..months.6",1.87196431778392,0.500554893374378,3.73977827919032,0.00018418264441096
"17","Age.at.Gluten.Introduction..months.7",1.11634563235637,0.509534319091633,2.19091352736852,0.0284580506401297
"18","Age.at.Gluten.Introduction..months.8",1.25140937692656,0.552997216728686,2.26295782161329,0.0236382894648282
"19","Age.at.Gluten.Introduction..months.9",2.81405128421216,0.536902901745721,5.2412666704955,1.59478044187303e-07
"20","Age.at.Gluten.Introduction..months.Unknown",2.16487443188653,0.844765034990032,2.5626941720097,0.0103863492255546
