"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.379454096106094,0.258653981560234,1.46703365560885,0.142366900173492
"2","CountryUSA",-0.73431329934809,0.309647122926251,-2.37145203355557,0.0177183463490478
"3","SexMale",0.348306410107132,0.26489685840621,1.31487557913207,0.188551721354314
"4","Delivery.ModeVaginal",-0.21251106421481,0.326913829107639,-0.650052231791145,0.515658483334795
"5","HLA.CategoryLow/No Risk",-0.700594331166446,0.346967788708911,-2.01919127355713,0.0434673429751991
"6","HLA.CategoryStandard Risk",-1.03623521809666,0.264246305961028,-3.92147475563759,8.80086699853652e-05
"7","feeding_first_yearBreastmilk_and_formula",-0.26156613093473,0.260323479647852,-1.00477348907812,0.315005932213394
"8","feeding_first_yearFormula",-0.122563407250021,0.309129701094745,-0.396478911007184,0.691751762482579
"9","feeding_first_yearUnknown",0.548195645427003,0.685739034215102,0.799423130483549,0.42404510273452
"10","Age.at.Gluten.Introduction..months.11",2.21844136092327,0.615201479510651,3.60604035394694,0.000310904809439835
"11","Age.at.Gluten.Introduction..months.12",-16.0750487794955,11037.3120168644,-0.0014564278653112,0.998837939103169
"12","Age.at.Gluten.Introduction..months.15",-15.4760113231472,1669.43006139271,-0.00927023640046144,0.992603527440023
"13","Age.at.Gluten.Introduction..months.36",2.27299707250535,0.663766910635298,3.42439045406744,0.000616180208707533
"14","Age.at.Gluten.Introduction..months.4",2.47677944323258,0.703226384408471,3.52202291914283,0.000428267116122207
"15","Age.at.Gluten.Introduction..months.5",3.21674169718459,0.664133730015346,4.84351502085319,1.27562072917568e-06
"16","Age.at.Gluten.Introduction..months.6",1.80566441695341,0.496652385909906,3.63567047734059,0.000277258565106549
"17","Age.at.Gluten.Introduction..months.7",1.11276019816799,0.50659935350228,2.19652905293923,0.0280540980293197
"18","Age.at.Gluten.Introduction..months.8",1.21851700784449,0.551300866957917,2.21025773924187,0.0270872797990927
"19","Age.at.Gluten.Introduction..months.9",2.87725246771087,0.537116985635884,5.35684505360509,8.46876860100538e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.14843806898568,0.839044522109515,2.56057695673181,0.0104498516610811
