"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.00644782397622751,0.243031646903253,0.0265307998295147,0.978833967529007
"2","CountryUSA",-0.730048037778867,0.311671175760784,-2.34236623260663,0.0191619015789139
"3","SexMale",0.403492935803985,0.264444037564887,1.52581597043942,0.127055702220689
"4","Delivery.ModeVaginal",-0.222505431508769,0.326556314337127,-0.681369251611104,0.495637873978389
"5","HLA.CategoryLow/No Risk",-0.709137193766883,0.34593183281572,-2.04993332933498,0.0403709372486794
"6","HLA.CategoryStandard Risk",-1.0128558857482,0.262546349148218,-3.85781744455492,0.00011440404308561
"7","feeding_first_yearBreastmilk_and_formula",-0.27849770263916,0.259861669941028,-1.0717152041021,0.283847969665405
"8","feeding_first_yearFormula",-0.0751707558782231,0.30799181679983,-0.244067380293672,0.807178635443947
"9","feeding_first_yearUnknown",0.615753800473896,0.69547868926403,0.885366884678378,0.375958786864283
"10","Age.at.Gluten.Introduction..months.11",2.23814340030574,0.614693571661422,3.64107175263991,0.000271505448599625
"11","Age.at.Gluten.Introduction..months.12",-16.0805036994126,10977.8803223214,-0.00146480952854951,0.998831251510611
"12","Age.at.Gluten.Introduction..months.15",-15.4735121670914,1665.8544717861,-0.00928863380875099,0.992588849063966
"13","Age.at.Gluten.Introduction..months.36",2.31308432325957,0.664091238843958,3.48308212480887,0.00049567628313275
"14","Age.at.Gluten.Introduction..months.4",2.48700442960776,0.702767341879215,3.53887308274379,0.00040183900215119
"15","Age.at.Gluten.Introduction..months.5",3.15970038780168,0.662601601613563,4.76862775475821,1.85485031155957e-06
"16","Age.at.Gluten.Introduction..months.6",1.84947033446159,0.496283127755233,3.72664358513866,0.000194046549231227
"17","Age.at.Gluten.Introduction..months.7",1.10932251731369,0.506912890434362,2.18838884993265,0.0286412897802798
"18","Age.at.Gluten.Introduction..months.8",1.27502073570957,0.549046921659218,2.32224366517976,0.0202198190268243
"19","Age.at.Gluten.Introduction..months.9",2.86813612330362,0.536218473796355,5.34882004903263,8.85295108946141e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.0581988908246,0.845265157965001,2.43497424616409,0.0148928496398951
