"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.365369791280102,0.179898779076762,2.03097426872586,0.0422576048922654
"2","CountryUSA",-0.573555243715474,0.317339925501126,-1.80738444054824,0.0707023582650797
"3","SexMale",0.31328863799182,0.267763941013141,1.17001802709665,0.241993714326577
"4","Delivery.ModeVaginal",-0.294667462211355,0.328151836633119,-0.897960728285668,0.36920648669217
"5","HLA.CategoryLow/No Risk",-0.592447494147674,0.348619273043618,-1.6994111913989,0.089241734771428
"6","HLA.CategoryStandard Risk",-1.00630296812045,0.261855941702216,-3.84296404190371,0.000121557284156971
"7","feeding_first_yearBreastmilk_and_formula",-0.267048971121801,0.258400645042879,-1.03346867062769,0.301384624614641
"8","feeding_first_yearFormula",-0.110643642008598,0.307017086965816,-0.360382684566729,0.718560973647047
"9","feeding_first_yearUnknown",0.678767374345063,0.691573906841532,0.981482047876912,0.326355082969258
"10","Age.at.Gluten.Introduction..months.11",2.26977872092766,0.611002003108042,3.71484661160153,0.000203326993114475
"11","Age.at.Gluten.Introduction..months.12",-15.9744384847715,11046.4300066981,-0.00144611774800414,0.998846165377925
"12","Age.at.Gluten.Introduction..months.15",-15.5952725415912,1670.1384638383,-0.00933771233898196,0.992549691760627
"13","Age.at.Gluten.Introduction..months.36",2.13813733082435,0.666320569804295,3.20887186696389,0.00133256863513486
"14","Age.at.Gluten.Introduction..months.4",2.35303430423596,0.705492800424244,3.33530590648264,0.000852056113864683
"15","Age.at.Gluten.Introduction..months.5",3.18360273275487,0.66735953093575,4.77044619156174,1.83818285739515e-06
"16","Age.at.Gluten.Introduction..months.6",1.81861337257173,0.499293587113534,3.64237278328632,0.000270136489037003
"17","Age.at.Gluten.Introduction..months.7",1.1226399080009,0.507970901989135,2.21004766927559,0.0271018541298562
"18","Age.at.Gluten.Introduction..months.8",1.24929641452536,0.55145895612843,2.26543861631364,0.0234857768748797
"19","Age.at.Gluten.Introduction..months.9",2.79188627371565,0.537782976813456,5.19147387345451,2.08635867603382e-07
"20","Age.at.Gluten.Introduction..months.Unknown",2.06605949720477,0.843858220820218,2.4483490783518,0.0143512539205867
