"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-1.26826914661233,0.281318121050299,0.281318121050299,1.03087995684082,-1.23027820862771,1.03800457747126,8.345326402331
"CountryUSA","CountryUSA",0.438253264315357,1.54999741674766,1.54999741674766,0.559845498049142,0.782811089564013,1.67758650714308,103.937252182199
"SexMale","SexMale",0.735596957983239,2.08672730929327,2.08672730929327,0.324763296780234,2.26502491283987,3.01664850844282,51.6096002697695
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.24375536840562,0.288299511600654,0.288299511600654,0.583722069601334,-2.13073212951341,1.09617711061941,2.47224336906488
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.366301664412588,0.693293627646297,0.693293627646297,0.423652846542109,-0.86462694019968,1.35284004220594,4.90615634855852
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.503275871342317,0.6045469941967,0.6045469941967,0.294885932060623,-1.70667982641794,1.40378775022722,2.93747388315979
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.208200715836523,0.812044030256671,0.812044030256671,0.325569331020745,-0.639497323607723,1.5357167395061,4.65112490109375
"feeding_first_yearFormula","feeding_first_yearFormula",-0.12286214363993,0.884385572333509,0.884385572333509,0.340733865629977,-0.360580957847475,1.57386211531814,5.60997481862533
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6670402013514,347765931.690887,347765931.690887,2313.66952210719,0.00850036706341687,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.456346861610771,0.633594029533691,0.633594029533691,3725.52078473822,-0.000122492099220119,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.6632527867482,346451289.042557,346451289.042557,2313.66950980187,0.00849873013558968,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.739026431294,373723370.747218,373723370.747218,2313.66957850601,0.00853148030067455,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.965584603475,468752094.485647,468752094.485647,2313.66956471513,0.00862940192841806,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2929047034962,239222515.390142,239222515.390142,2313.66948721185,0.0083386606471375,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4394297431389,101892586.529677,101892586.529677,2313.66948221202,0.00796977696464648,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.7322435324015,136555752.497129,136555752.497129,2313.66950781726,0.00809633505092682,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1467589840065,561857593.840791,561857593.840791,2313.66949362597,0.00870770827013526,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.384810076149046,1.4693352331334,1.4693352331334,33759.7473671939,1.13984880266902e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.417640898535923,1.51837532568787,1.51837532568787,33759.7473651319,1.23709722711751e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.633859072817896,1.88487041431972,1.88487041431972,33759.7473660248,1.87755869718326e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0943137219435555,1.09890444228235,1.09890444228235,33759.7473655863,2.79367380692239e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.025531784574,1352920984.99524,1352920984.99524,33680.3632839253,0.00062426677548959,1,Inf
