"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.120087753822599,1.12759579807947,1.12759579807947,0.269059147975347,0.446324738356796,1.94540883492363,6.75735701750718
"CountryUSA","CountryUSA",0.385739104119482,1.47070092094579,1.47070092094579,0.560072271068055,0.6887309442831,1.63341111908337,82.1193907964051
"SexMale","SexMale",0.724368100110757,2.06342680874724,2.06342680874724,0.323499272514952,2.23916454117305,2.98776544057457,48.9120025550208
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.22028298493902,0.295146633053201,0.295146633053201,0.581761051969294,-2.09756734454515,1.09896819220224,2.51700094425999
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.3542631279019,0.701690308763317,0.701690308763317,0.423998540678105,-0.835529120773207,1.35751938836781,5.00703922272805
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.52090689542196,0.593981624417567,0.593981624417567,0.293988759087025,-1.77185990729586,1.39631000371582,2.87731663593681
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.178955167435264,0.836143385009178,0.836143385009178,0.326609627409133,-0.547917613007447,1.55399491885883,4.88396254297614
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0955602485166953,0.908863602320185,0.908863602320185,0.34091881196561,-0.280302069474344,1.5934739415702,5.8880258970339
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.7158492920692,365161139.449997,365161139.449997,2322.47067052012,0.00848917040905142,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.389758384332592,0.677220481811019,0.677220481811019,3722.95758357672,-0.000104690525095412,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5195436421584,300075192.282942,300075192.282942,2322.47065374652,0.00840464597934542,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7719528900132,386233586.205782,386233586.205782,2322.47072450569,0.00851332707077346,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.0148354060486,492416472.913884,492416472.913884,2322.47071032037,0.00861790648945913,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3411056091025,251035672.648319,251035672.648319,2322.47063413829,0.00832781492467768,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4862388857257,106775481.666727,106775481.666727,2322.47062962013,0.00795972988848921,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6728298576757,128678790.071475,128678790.071475,2322.47065419557,0.00804007138860635,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.168065577623,573957309.384268,573957309.384268,2322.4706396093,0.00868388397840662,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.342565668464114,1.40855684839005,1.40855684839005,33773.0805168998,1.01431573081613e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.379461859148446,1.46149788605765,1.46149788605765,33773.0805148416,1.12356306669062e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.584557793959269,1.79419740525894,1.79419740525894,33773.0805157965,1.73083942901168e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0742487066023806,1.07707464776392,1.07707464776392,33773.080515346,2.19845822381062e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0016798486813,1321033007.17557,1321033007.17557,33693.1280282233,0.000623322353183982,1,Inf
