"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.146584414023712,1.15787266738403,1.15787266738403,0.524280513319362,0.279591574166369,1.51342292928984,25.4167641471677
"CountryUSA","CountryUSA",-0.723411357879453,0.485094598854638,0.485094598854638,0.309824016920349,-2.33491052459445,1.30252412086036,2.43592395398826
"SexMale","SexMale",0.411023188154777,1.50836033224539,1.50836033224539,0.265027397307772,1.55087056028951,2.45284801791202,12.6251888884003
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.225228191203752,0.79833402517048,0.79833402517048,0.326182641175046,-0.690497171745211,1.52386158756034,4.54021874066708
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.719105608853843,0.487187797611339,0.487187797611339,0.346151656986552,-2.07742934156106,1.28043744168423,2.61210061863657
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.01481755622354,0.362468553932168,0.362468553932168,0.262452240910055,-3.86667514327427,1.2419786877648,1.83358963852204
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.278625352284912,0.756823392262106,0.756823392262106,0.259557396864334,-1.07346334818785,1.57625181631505,3.52092276312669
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0654675384010528,0.936629450755737,0.936629450755737,0.308741555264587,-0.212046409965604,1.66763561970856,5.55897969017676
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.624261988368875,1.86686767884121,1.86686767884121,0.693387817747653,0.900307118744427,1.61546660407813,1431.55621187694
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.23643643331772,9.35991709723923,9.35991709723923,0.61249874705973,3.65133225831664,16.7401949028207,31809905107713.1
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.0749116230472,1.04413002623896e-07,1.04413002623896e-07,10976.2880444294,-0.00146451255269357,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4693415243481,1.91315579370258e-07,1.91315579370258e-07,1664.15675448902,-0.00929560360381914,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.32754365343866,10.2527263280204,10.2527263280204,0.66453179371405,3.50253167035105,16.2376582776434,23905701675874992
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.49674164024162,12.1428636126535,12.1428636126535,0.703572268482118,3.54866408482539,21.2852197436535,8.71984510977966e+20
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.14988722056705,23.3334329012144,23.3334329012144,0.663065423605517,4.75049234725446,579.256867233677,1.47117247944774e+37
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.85239731343262,6.37508429328161,6.37508429328161,0.496269305449176,3.73264534617148,11.1366610090401,21043018.6495612
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.10593920566766,3.02206147359656,3.02206147359656,0.506055411712649,2.18541128119709,3.06746558892446,3456.9405328146
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.26876970218354,3.55647434702996,3.55647434702996,0.549046501451526,2.31086018912655,3.36177283027578,33929.2238080432
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.87710888325318,17.7628444151937,17.7628444151937,0.537107850896412,5.35666883001504,492.28354790259,1.27250877504277e+22
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.0633696280553,7.87245240349898,7.87245240349898,0.843854350986928,2.44517270740156,4.50858101909567,745531584835146880
