"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.103624984316708,1.10918441535836,1.10918441535836,0.394741596226407,0.262513465282928,1.6680925344731,11.0718891451467
"CountryUSA","CountryUSA",-0.733672280196794,0.480142530701306,0.480142530701306,0.30992470728865,-2.36725973419565,1.29894741286172,2.41430437752217
"SexMale","SexMale",0.394584327752131,1.48376730182829,1.48376730182829,0.266695547705248,1.47953099010197,2.41027195552199,12.213225588493
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.222863544103222,0.800224037133333,0.800224037133333,0.326236763019818,-0.68313436548438,1.52531374590908,4.55724355632481
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.705342328494717,0.493939455760381,0.493939455760381,0.345293670321482,-2.04273170671799,1.285373599596,2.64276403161772
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.01508716261948,0.362370843264005,0.362370843264005,0.262397432947487,-3.86851026405669,1.24193504101304,1.83317063818025
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.277379902612501,0.757766564923196,0.757766564923196,0.259594429825229,-1.06851253626376,1.57709380007144,3.52677281542401
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0682876267241138,0.933991793939304,0.933991793939304,0.307759255292978,-0.221886508852856,1.66687300058252,5.51401815385589
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.630055426970323,1.8777146524144,1.8777146524144,0.694241369584687,0.907545206283571,1.61866899718581,1511.67704936146
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.25755688983154,9.55970520060974,9.55970520060974,0.618498093073236,3.65006281363624,17.1898108103267,89927293319871.2
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.0570482925751,1.06294925255322e-07,1.06294925255322e-07,10981.9089102127,-0.00146213635751821,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4494295139421,1.95163237351983e-07,1.95163237351983e-07,1664.70855135703,-0.00928056115369151,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.33234955467695,10.3021185100843,10.3021185100843,0.667451931737758,3.49440827686948,16.1962061125056,35634133619212468
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.46857688114928,11.8056340708003,11.8056340708003,0.707089007906984,3.4911826567017,19.1569242629591,3.16056737864675e+20
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.1925330573404,24.3500294102352,24.3500294102352,0.675156523039875,4.72858211154667,654.21485062131,5.21374605852721e+39
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.87102747222133,6.49496636961853,6.49496636961853,0.503769350172354,3.71405579077249,11.2428702890947,37264920.7046881
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.12502185889274,3.08028417978364,3.08028417978364,0.510543214145619,2.20357812565473,3.10322246235321,4352.44870460638
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.28850872089712,3.627373094571,3.627373094571,0.551619633431726,2.33586450301102,3.42266057098901,44081.3230887714
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.88923084223122,17.9794752287739,17.9794752287739,0.543214729762769,5.31876380357543,492.749786443677,4.4020555615618e+22
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.06605165023691,7.89359483503047,7.89359483503047,0.844867994398312,2.445413560385,4.5133062332543,903863386521097216
