"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",-0.913221675227589,0.415876039140316,-2.19589875174191,0.028099191107355
"2","CountryUSA",-0.749453892518545,0.306714234161909,-2.44349237513027,0.0145458769647274
"3","SexMale",0.40252170852747,0.265266725462314,1.51742254075005,0.129160036475883
"4","Delivery.ModeVaginal",-0.245647525864877,0.323203228243594,-0.760040446377397,0.447230408634552
"5","HLA.CategoryLow/No Risk",-0.834565298369706,0.346670695003648,-2.40737192499333,0.0160677969438212
"6","HLA.CategoryStandard Risk",-1.14036567479526,0.26458655633627,-4.30999099344238,1.63261195087826e-05
"7","feeding_first_yearBreastmilk_and_formula",-0.338324655474712,0.260975992328804,-1.29638229346574,0.194843809273031
"8","feeding_first_yearFormula",-0.0341679953563872,0.304405664052835,-0.112244939537185,0.910629197685061
"9","feeding_first_yearUnknown",0.647242944383323,0.700670323854769,0.923748191335529,0.355617434955326
"10","Age.at.Gluten.Introduction..months.11",2.23281955198109,0.61538329768729,3.6283395411809,0.000285249951465179
"11","Age.at.Gluten.Introduction..months.12",-16.1538698719156,11020.0855203125,-0.00146585703369909,0.998830415723322
"12","Age.at.Gluten.Introduction..months.15",-15.4330680640373,1660.71726638836,-0.00929301355287308,0.992585354684571
"13","Age.at.Gluten.Introduction..months.36",2.3729224712973,0.661741424944521,3.58587566358905,0.000335949005917516
"14","Age.at.Gluten.Introduction..months.4",2.55782910312999,0.706120150901785,3.6223709235084,0.000291915131902304
"15","Age.at.Gluten.Introduction..months.5",3.27586763655562,0.671207447968319,4.88055912739253,1.05785490901637e-06
"16","Age.at.Gluten.Introduction..months.6",1.96117491086317,0.49956946425268,3.92573015605938,8.64670473279639e-05
"17","Age.at.Gluten.Introduction..months.7",1.13636428528369,0.507985319084168,2.23700221756882,0.0252861951039699
"18","Age.at.Gluten.Introduction..months.8",1.31724120734593,0.551087675490066,2.39025706059302,0.0168365838411437
"19","Age.at.Gluten.Introduction..months.9",2.96837876511677,0.540181866450453,5.49514700414149,3.90385081764156e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.06742474659039,0.85289387592122,2.42401171465482,0.0153501103159761
