"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.458797418120542,1.58217015131179,1.58217015131179,0.53586539706621,0.85618034049669,1.73934357389452,92.0693709216234
"CountryUSA","CountryUSA",-0.724840398275171,0.484401874160803,0.484401874160803,0.309386620319452,-2.3428304608866,1.30232735695072,2.43097615069731
"SexMale","SexMale",0.438976426229845,1.5511187212405,1.5511187212405,0.266491392100476,1.64724429847376,2.50939313497532,13.6681406308324
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.203938133820765,0.8155128222891,0.8155128222891,0.327224898215929,-0.623235380109097,1.53638772634951,4.70531290399077
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.706126310131227,0.493552368052171,0.493552368052171,0.343821722613591,-2.0537571179725,1.28605246247388,2.63337504150419
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.993710114251734,0.370200653252167,0.370200653252167,0.26141150283484,-3.80132512714851,1.24829731330685,1.85511512135153
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.27634523689842,0.758551005754235,0.758551005754235,0.258631693003923,-1.0684894557537,1.57919743262716,3.52298807631885
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0842499282548456,0.919201492959184,0.919201492959184,0.305334866555332,-0.275926327069424,1.65740538969259,5.32435967901851
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.58191169994481,1.78945606602531,1.78945606602531,0.691657774536609,0.841328936604051,1.58613027458562,1034.45076938891
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.24928627358514,9.48096660465202,9.48096660465202,0.612122627026333,3.67456809187415,17.3980767298086,46463170020763.7
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.0614695917068,1.05826000985701e-07,1.05826000985701e-07,10994.3590691874,-0.00146088275729691,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4707530518591,1.91045722666571e-07,1.91045722666571e-07,1662.37915836275,-0.00930639257237563,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.31581031579595,10.1331306286866,10.1331306286866,0.662809798929153,3.4939289062072,15.8652769820701,13580279534960768
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.50317381253504,12.2212203353628,12.2212203353628,0.702905671590176,3.56118027454827,21.7969424530606,1.11716773055905e+21
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.08563011959065,21.8812503034887,21.8812503034887,0.665473779787607,4.63674184214359,379.070243686241,1.04569315021262e+35
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.83612081543448,6.27216014117174,6.27216014117174,0.495437148571633,3.70606205192344,10.7531687927302,15600435.3981829
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.1074482806923,3.02662543390241,3.02662543390241,0.505373296739671,2.1913470455143,3.07728022287123,3461.79353101608
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.27231935479318,3.56912102785974,3.56912102785974,0.547510251972478,2.32382745384123,3.38870956730722,34120.4708881235
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.87119845955297,17.6581681239176,17.6581681239176,0.535089207239766,5.36583138046069,486.362397664854,7.7202070578576e+21
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.09648711201338,8.13753340026387,8.13753340026387,0.84224265062727,2.48917234297265,4.76652268969525,2606161977565917184
