"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.915404223253069,2.49778471052898,2.49778471052898,0.416056998064113,2.20018946325236,3.01956532457288,283.018523232512
"CountryUSA","CountryUSA",-0.628150463200553,0.533577760645197,0.533577760645197,0.315870220766387,-1.9886346413932,1.33281771831419,2.69388577475059
"SexMale","SexMale",0.348402535486601,1.41680244823268,1.41680244823268,0.267533904324365,1.30227432805746,2.31325662125186,10.9518268457249
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.263590631638406,0.76828798808461,0.76828798808461,0.328944250183827,-0.801323116276091,1.49661405619826,4.32293835359027
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.696134365296147,0.49850863623043,0.49850863623043,0.345916614543371,-2.01243402608771,1.28796387431209,2.66982643525313
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.966608358689028,0.380370934602624,0.380370934602624,0.259232993529561,-3.72872428593393,1.25715138682796,1.88177971743276
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.262225043344402,0.769337869857538,0.769337869857538,0.2583745010149,-1.01490295023068,1.58986314828944,3.58433755991675
"feeding_first_yearFormula","feeding_first_yearFormula",-0.152303767144702,0.858727387951086,0.858727387951086,0.313933357623603,-0.485146810449208,1.59062143496056,4.8979869675613
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.55145978524385,1.73578504270334,1.73578504270334,0.683244814240286,0.807118874157911,1.57601736596212,752.430375892415
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.20694757232955,9.08793375190911,9.08793375190911,0.611792274272322,3.60734789427431,15.4826927557381,12361186111397.2
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.3912294482505,7.6099096228696e-08,7.6099096228696e-08,12836.8290953743,-0.00127689083701808,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.5796723927257,1.71330329446639e-07,1.71330329446639e-07,1695.04824916383,-0.00919128549904768,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.25907223154448,9.57420240199646,9.57420240199646,0.660940961806588,3.41796372458083,13.7529200987957,1539256016361588
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.4612878294756,11.7198950516992,11.7198950516992,0.700172094268119,3.51526124737713,19.5158939391048,1.19357920588398e+20
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.12288866588496,22.7118920436315,22.7118920436315,0.651207290427686,4.79553701530887,565.601362034169,2.22069363045987e+35
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.82467107474212,6.20075509866273,6.20075509866273,0.49606021001356,3.67832581188531,10.4363445204098,13180633.2286968
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.10556510599952,3.02093113284541,3.02093113284541,0.504640634685311,2.19079683642388,3.075734147378,3369.55933744695
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.17786356747035,3.24742887373426,3.24742887373426,0.551872681274313,2.13430308735446,3.00715225897445,14449.7779016007
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.81573276634031,16.7054124604222,16.7054124604222,0.533076325576268,5.28204429880926,356.477435055368,4.21832467364336e+20
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.14526754249013,8.5443269020201,8.5443269020201,0.83320578884696,2.57471511984918,5.30676581690847,9934359634883958784
