"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.51919433517667,0.367256620960593,1.41370993889414,0.157447085945777
"2","CountryUSA",-0.706867704132915,0.309047461117848,-2.28724643644093,0.0221814429778509
"3","SexMale",0.367247712390588,0.264652345545013,1.38766090145279,0.165240327074727
"4","Delivery.ModeVaginal",-0.235746574926123,0.325174089202027,-0.724985731503522,0.46846078394082
"5","HLA.CategoryLow/No Risk",-0.701849193432314,0.345755932598819,-2.02989776099278,0.0423669327343073
"6","HLA.CategoryStandard Risk",-1.03101503529449,0.262392903073199,-3.92927942493502,8.52007892068879e-05
"7","feeding_first_yearBreastmilk_and_formula",-0.284403287120466,0.260426393156371,-1.09206783411426,0.274803286381908
"8","feeding_first_yearFormula",-0.0541594163443039,0.30731730392733,-0.176232889109006,0.860110983360082
"9","feeding_first_yearUnknown",0.469468482327509,0.69321683404192,0.677231797142306,0.498258896188297
"10","Age.at.Gluten.Introduction..months.11",2.20276130846749,0.615266962764643,3.58017160318441,0.000343368635015218
"11","Age.at.Gluten.Introduction..months.12",-16.1229613863607,11240.1367925115,-0.00143440971262042,0.998855507028906
"12","Age.at.Gluten.Introduction..months.15",-15.5009988432823,1683.12493342242,-0.00920965433728256,0.992651862869487
"13","Age.at.Gluten.Introduction..months.36",2.29820156199553,0.660642933958016,3.47873479585507,0.000503786888003627
"14","Age.at.Gluten.Introduction..months.4",2.5121137811624,0.704574218922754,3.56543528516165,0.000363252790556764
"15","Age.at.Gluten.Introduction..months.5",3.1994636222444,0.665631043540985,4.8066622692717,1.53470924054858e-06
"16","Age.at.Gluten.Introduction..months.6",1.82727314274349,0.49833073358332,3.66678797754298,0.00024561628173486
"17","Age.at.Gluten.Introduction..months.7",1.08738992815532,0.507953867903133,2.1407257565419,0.0322961601795414
"18","Age.at.Gluten.Introduction..months.8",1.27443098249917,0.550499750610396,2.31504370544415,0.0206105403363911
"19","Age.at.Gluten.Introduction..months.9",2.86807955218209,0.536957745584542,5.34135055461366,9.22566545721911e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.22985129111953,0.845910806635565,2.6360359433027,0.0083880845848642
