"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",1.32715934972837,3.77031800638352,3.77031800638352,0.409623135057954,3.2399521319532,5.4156748179036,4513.90002786213
"CountryUSA","CountryUSA",-0.71656238702063,0.488428401151421,0.488428401151421,0.309718380075939,-2.31359335808529,1.3049641139706,2.45041964722647
"SexMale","SexMale",0.422535534670822,1.52582543834482,1.52582543834482,0.26224016800285,1.6112540572588,2.4908171367833,12.8209435917182
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.219737044405276,0.802729852518046,0.802729852518046,0.326055857683263,-0.673924541538932,1.52756107081349,4.57647031982148
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.743246667957532,0.475567396934059,0.475567396934059,0.348221347148263,-2.13440868586692,1.27166699984651,2.56270369781675
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.04414774702381,0.351991677537187,0.351991677537187,0.26564024277364,-3.93068360471859,1.23260681343269,1.80839899132783
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.303580146915831,0.738170724653968,0.738170724653968,0.26182493225301,-1.15947761087348,1.5556079802681,3.43208865929557
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0466563044062592,0.954415369583002,0.954415369583002,0.309485798536154,-0.150754266033984,1.68263072847237,5.75771505933494
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.70042362559407,2.01460596537567,2.01460596537567,0.700978422458653,0.999208539311898,1.66518565139732,2861.50007712994
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.19027863378715,8.93770311385075,8.93770311385075,0.617349989025937,3.54787182752365,14.3714281286471,10391019127248
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.1546827182418,9.64074150924645e-08,9.64074150924645e-08,11652.5740048463,-0.00138636173531471,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4576441542956,1.93566608391672e-07,1.93566608391672e-07,1681.90340401028,-0.00919056594893548,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.36165394022974,10.6084827469724,10.6084827469724,0.662568681942483,3.56439114101496,18.0865421286679,76161356911307184
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.55897765757071,12.9225992384956,12.9225992384956,0.705003896983054,3.62973547879867,25.6683780001257,2.22736068892098e+22
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.2002021466868,24.5374898680811,24.5374898680811,0.667621283799842,4.7934393710046,757.902509145246,2.73003568901111e+39
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.84790068052194,6.34648223411409,6.34648223411409,0.495905457423764,3.72631648403671,11.0357557878654,19277716.9218169
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.05576653632726,2.87417747115804,2.87417747115804,0.509582358387392,2.07182709320688,2.88250434484074,2448.34225992676
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.27746892109073,3.58754785758712,3.58754785758712,0.550249756936319,2.32161651138825,3.38780089735884,38102.107691178
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.8633787029045,17.5206240278954,17.5206240278954,0.538040676584129,5.32186287676853,447.355410355178,6.96840340306456e+21
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.03992874183851,7.69006119973172,7.69006119973172,0.852727866478727,2.39223886309972,4.24494031677252,581674160232676352
