"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.219490317188852,0.255744499927456,0.858240616127082,0.390759612686541
"2","CountryUSA",-0.668424355984597,0.316801086493002,-2.10991812996627,0.0348654083463413
"3","SexMale",0.387889368283166,0.264527584780027,1.46634752139639,0.14255363531967
"4","Delivery.ModeVaginal",-0.263654024927866,0.329581503806868,-0.799966083904894,0.423730447845888
"5","HLA.CategoryLow/No Risk",-0.724291757090738,0.344573748747933,-2.10199343311141,0.0355538510565731
"6","HLA.CategoryStandard Risk",-1.01391765327326,0.262084858780905,-3.86866169220736,0.00010943435567908
"7","feeding_first_yearBreastmilk_and_formula",-0.249501229925678,0.261983366584806,-0.952355232235371,0.340916855395572
"8","feeding_first_yearFormula",-0.0673016310402686,0.305906866459019,-0.220006931584469,0.825865756337593
"9","feeding_first_yearUnknown",0.589114731598973,0.690499140327139,0.853172288266525,0.39356376853181
"10","Age.at.Gluten.Introduction..months.11",2.23002420297862,0.612768342125061,3.63926144625058,0.000273421095303797
"11","Age.at.Gluten.Introduction..months.12",-16.05677614158,11012.3583754945,-0.00145806879817048,0.998836629829565
"12","Age.at.Gluten.Introduction..months.15",-15.4995091037181,1670.50383335476,-0.00927834393087953,0.992597058844872
"13","Age.at.Gluten.Introduction..months.36",2.31579772240286,0.660623631127898,3.5054721225292,0.000455798231687673
"14","Age.at.Gluten.Introduction..months.4",2.50371830036846,0.70199774240449,3.56656175530238,0.00036169560385487
"15","Age.at.Gluten.Introduction..months.5",3.16814706601277,0.661564981208297,4.78886754287749,1.67725139682674e-06
"16","Age.at.Gluten.Introduction..months.6",1.85537585212407,0.495727819841103,3.74273094602353,0.000182031103296733
"17","Age.at.Gluten.Introduction..months.7",1.10957341154532,0.505542545930981,2.1948170742029,0.0281767221993109
"18","Age.at.Gluten.Introduction..months.8",1.25609080695951,0.549160870225388,2.28729116559958,0.0221788338005233
"19","Age.at.Gluten.Introduction..months.9",2.87642914870866,0.535255264110815,5.373939018586,7.70349202541613e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.10184695997874,0.84196583335649,2.4963565939484,0.0125476392638895
