"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",1.01417868425225,0.442869379270904,2.2900176253366,0.0220202949406427
"2","CountryUSA",-0.806882641696147,0.313262098645062,-2.5757429487516,0.0100024976141214
"3","SexMale",0.384496969363973,0.262038298068557,1.46733119623368,0.142285981284227
"4","Delivery.ModeVaginal",-0.160207041111929,0.329212717190183,-0.48663685436969,0.626515701398667
"5","HLA.CategoryLow/No Risk",-0.683412501467213,0.345572778843327,-1.97762249606197,0.0479713095022432
"6","HLA.CategoryStandard Risk",-1.04799453145496,0.265503310520809,-3.94719948839519,7.90706711978168e-05
"7","feeding_first_yearBreastmilk_and_formula",-0.333121884186001,0.261731423555962,-1.27276228303085,0.20310240884736
"8","feeding_first_yearFormula",-0.155565015848967,0.312466408865899,-0.497861566667572,0.618581618029582
"9","feeding_first_yearUnknown",0.532215956136278,0.696755861787183,0.763848552018122,0.444957499558538
"10","Age.at.Gluten.Introduction..months.11",2.26944726182249,0.612664995297787,3.70422217564334,0.000212040356430108
"11","Age.at.Gluten.Introduction..months.12",-16.1218289079983,11082.393238632,-0.00145472449504853,0.998839298194563
"12","Age.at.Gluten.Introduction..months.15",-15.4421024420418,1669.30557366753,-0.00925061455831293,0.99261918273365
"13","Age.at.Gluten.Introduction..months.36",2.29764304140643,0.664310419446654,3.45868885109506,0.00054281158285977
"14","Age.at.Gluten.Introduction..months.4",2.52957331769707,0.702128905419938,3.60271924168134,0.000314905601355633
"15","Age.at.Gluten.Introduction..months.5",3.21465805960356,0.666838461398217,4.82074482156161,1.4302321204543e-06
"16","Age.at.Gluten.Introduction..months.6",1.78081172602806,0.495094570623558,3.59691225008825,0.000322017054940754
"17","Age.at.Gluten.Introduction..months.7",1.09516265555971,0.504472711201884,2.17090564314278,0.0299383056816177
"18","Age.at.Gluten.Introduction..months.8",1.20619277596637,0.549868389195537,2.19360268687393,0.0282639850952329
"19","Age.at.Gluten.Introduction..months.9",2.89084373483082,0.536914054784766,5.38418338851212,7.27742779859486e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.08497809356011,0.845711313110255,2.46535438421916,0.0136877798347629
