"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",1.01417868425225,2.75709801918699,2.75709801918699,0.442869379270904,2.2900176253366,3.1816301194163,711.838603902786
"CountryUSA","CountryUSA",-0.806882641696147,0.446247012005747,0.446247012005747,0.313262098645062,-2.5757429487516,1.27316382976301,2.28088665873649
"SexMale","SexMale",0.384496969363973,1.46887524631862,1.46887524631862,0.262038298068557,1.46733119623368,2.40823964160868,11.6451708769846
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.160207041111929,0.851967378431367,0.851967378431367,0.329212717190183,-0.48663685436969,1.56343580616832,5.07454453384772
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.683412501467213,0.504891107602821,0.504891107602821,0.345572778843327,-1.97762249606197,1.29236691463387,2.70179476600388
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.04799453145496,0.350640242438407,0.350640242438407,0.265503310520809,-3.94719948839519,1.23168637719397,1.80400452673151
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.333121884186001,0.716682836527899,0.716682836527899,0.261731423555962,-1.27276228303085,1.53584775168217,3.31034526371366
"feeding_first_yearFormula","feeding_first_yearFormula",-0.155565015848967,0.855931426011534,0.855931426011534,0.312466408865899,-0.497861566667572,1.59033649171097,4.85060997352979
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.532215956136278,1.70270124244671,1.70270124244671,0.696755861787183,0.763848552018122,1.54429739359955,789.513922214553
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.26944726182249,9.67405211805787,9.67405211805787,0.612664995297787,3.70422217564334,18.3831514363412,91259865757414.3
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.1218289079983,9.96273702900354e-08,9.96273702900354e-08,11082.393238632,-0.00145472449504853,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4421024420418,1.96598464007862e-07,1.96598464007862e-07,1669.30557366753,-0.00925061455831293,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.29764304140643,9.95070140256819,9.95070140256819,0.664310419446654,3.45868885109506,14.9752352261458,7746898360758210
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.52957331769707,12.5481509203293,12.5481509203293,0.702128905419938,3.60271924168134,23.7844326835827,3.78705213375655e+21
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.21465805960356,24.8947779253774,24.8947779253774,0.666838461398217,4.82074482156161,843.391259781007,8.89310858944806e+39
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.78081172602806,5.93467179150611,5.93467179150611,0.495094570623558,3.59691225008825,9.47736881142729,6331763.76893243
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.09516265555971,2.98966893012009,2.98966893012009,0.504472711201884,2.17090564314278,3.04129256629407,3089.71982908653
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.20619277596637,3.34074145867309,3.34074145867309,0.549868389195537,2.19360268687393,3.11767620638337,18306.8627718129
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.89084373483082,18.0084975899994,18.0084975899994,0.536914054784766,5.38418338851212,537.631290090996,2.5226034904697e+22
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.08497809356011,8.04441525526822,8.04441525526822,0.845711313110255,2.46535438421916,4.63338587674613,2135283942357752320
