"","term","estimate","std.error","statistic","p.value"
"1","get(i)",1.12280949395231,10518.8969012006,0.00010674213318168,0.999914832100109
"2","CountryUSA",0.405665088460849,0.558793929158718,0.725965453976193,0.467859948822712
"3","SexMale",0.720725023219497,0.323607527728463,2.22715778053301,0.0259367306710766
"4","Delivery.ModeVaginal",-1.2100349097318,0.581434485594807,-2.08111995368478,0.0374229278843669
"5","HLA.CategoryLow/No Risk",-0.374119959569465,0.42300398807331,-0.884436010339995,0.376460891053754
"6","HLA.CategoryStandard Risk",-0.512276219035339,0.293543648001564,-1.74514496403823,0.0809596384184902
"7","feeding_first_yearBreastmilk_and_formula",-0.177244250103116,0.325977910161463,-0.543730862055417,0.586626691659956
"8","feeding_first_yearFormula",-0.0820209913028227,0.340289679884752,-0.24103284980785,0.809529656485919
"9","Age.at.Gluten.Introduction..months.11",19.7116391148315,2399.65769077525,0.00821435456840651,0.993445967019232
"10","Age.at.Gluten.Introduction..months.15",-0.366911694272595,3772.30490941348,-9.726459103478e-05,0.999922394084623
"11","Age.at.Gluten.Introduction..months.36",19.578862771844,2399.65767775918,0.00815902324456832,0.993490113548829
"12","Age.at.Gluten.Introduction..months.4",19.7871400600415,2399.65774517082,0.00824581759622267,0.993420864005284
"13","Age.at.Gluten.Introduction..months.5",20.0285159987314,2399.65773208825,0.00834640529393414,0.993340609396135
"14","Age.at.Gluten.Introduction..months.6",19.35939273628,2399.65765725357,0.00806756442018356,0.993563084731006
"15","Age.at.Gluten.Introduction..months.7",18.4994097470779,2399.65765256625,0.00770918706978647,0.993849019587802
"16","Age.at.Gluten.Introduction..months.8",18.6876777835841,2399.65767653702,0.00778764319857181,0.993786422533087
"17","Age.at.Gluten.Introduction..months.9",20.1963225697819,2399.65766338056,0.00841633491225991,0.99328481559306
"18","Age.at.Solid.Introduction..months.4",0.337916778089181,33777.9536927453,1.00040630395487e-05,0.999992017912556
"19","Age.at.Solid.Introduction..months.5",0.364878847185909,33777.953690708,1.08022780339794e-05,0.999991381029135
"20","Age.at.Solid.Introduction..months.6",0.580178822155911,33777.9536915985,1.71762572550455e-05,0.999986295329524
"21","Age.at.Solid.Introduction..months.7",0.0731044910983826,33777.9536911124,2.1642664255774e-06,0.999998273165234
"22","Age.at.Solid.Introduction..months.8",21.0113812848901,33692.6140125855,0.000623619802163213,0.999502423420294
