"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-18.1325656835394,14887.9294639325,-0.0012179373718466,0.999028226815229
"2","CountryUSA",0.406718067348879,0.558600681247529,0.728101631456216,0.466551375235627
"3","SexMale",0.733214788562921,0.323464776538463,2.26675311114048,0.0234053119461152
"4","Delivery.ModeVaginal",-1.21293717844046,0.581152215929949,-2.08712475869947,0.0368768585594325
"5","HLA.CategoryLow/No Risk",-0.33400058526005,0.424318952613877,-0.787145102057189,0.431196929620182
"6","HLA.CategoryStandard Risk",-0.510044708588813,0.293511261291064,-1.73773471704386,0.0822575684476167
"7","feeding_first_yearBreastmilk_and_formula",-0.197610430459924,0.326307641247733,-0.605595473352395,0.54478340896108
"8","feeding_first_yearFormula",-0.0926355291575805,0.34043847317164,-0.272106522786795,0.785540114259628
"9","Age.at.Gluten.Introduction..months.11",19.7099394795984,2324.08069554811,0.00848074660976867,0.993233424328223
"10","Age.at.Gluten.Introduction..months.15",-0.410240303479194,3725.29298933433,-0.000110122963389384,0.999912134587899
"11","Age.at.Gluten.Introduction..months.36",19.5403833353827,2324.08068167192,0.00840779043923962,0.993291632854955
"12","Age.at.Gluten.Introduction..months.4",19.7945008796302,2324.08075203569,0.00851713128396764,0.993204394606887
"13","Age.at.Gluten.Introduction..months.5",20.0257881085451,2324.08073830072,0.00861664905978574,0.993124993823798
"14","Age.at.Gluten.Introduction..months.6",19.335515430783,2324.08066064227,0.00831964043168776,0.993361963925059
"15","Age.at.Gluten.Introduction..months.7",18.4906971903107,2324.08065626192,0.00795613402679896,0.993651990467983
"16","Age.at.Gluten.Introduction..months.8",18.6668918045907,2324.08068062192,0.00803194654997754,0.993591502758992
"17","Age.at.Gluten.Introduction..months.9",20.1770277522831,2324.0806668946,0.00868172436511996,0.993073073184479
"18","Age.at.Solid.Introduction..months.4",0.35156346462613,33769.6298068288,1.0410640170981e-05,0.99999169351094
"19","Age.at.Solid.Introduction..months.5",0.388998573946803,33769.6298047728,1.15191838404999e-05,0.999990809021061
"20","Age.at.Solid.Introduction..months.6",0.607279489002907,33769.6298056583,1.798300699468e-05,0.999985651636363
"21","Age.at.Solid.Introduction..months.7",0.113657888935754,33769.6298051622,3.36568359178102e-06,0.999997314573026
"22","Age.at.Solid.Introduction..months.8",21.0168286072664,33689.5625205974,0.000623837979327187,0.999502249340138
