"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.462987361598778,15171.042909268,3.0517833504771e-05,0.999975650291821
"2","CountryUSA",0.405665088460858,0.558793929027719,0.725965454146399,0.467859948718367
"3","SexMale",0.720725023219498,0.323607527790224,2.22715778010795,0.0259367306994743
"4","Delivery.ModeVaginal",-1.2100349097318,0.581434485457171,-2.08111995417743,0.0374229278392848
"5","HLA.CategoryLow/No Risk",-0.374119959569464,0.423003988024978,-0.884436010441048,0.376460890999224
"6","HLA.CategoryStandard Risk",-0.512276219035336,0.293543647995001,-1.74514496407723,0.0809596384117027
"7","feeding_first_yearBreastmilk_and_formula",-0.177244250103113,0.325977910163635,-0.543730862051786,0.586626691662456
"8","feeding_first_yearFormula",-0.0820209913028204,0.340289679873731,-0.241032849815649,0.809529656479875
"9","Age.at.Gluten.Introduction..months.11",19.6681473351336,2327.34477370618,0.00845089543987635,0.993257241262304
"10","Age.at.Gluten.Introduction..months.15",-0.426174450642972,3773.46682356443,-0.000112939763503845,0.999909887106591
"11","Age.at.Gluten.Introduction..months.36",19.5353709921461,2327.34476069558,0.00839384491806341,0.993302759378366
"12","Age.at.Gluten.Introduction..months.4",19.7436482803437,2327.34482969106,0.00848333604391769,0.993231358333015
"13","Age.at.Gluten.Introduction..months.5",19.9850242190335,2327.34481574236,0.00858704910585361,0.993148610296311
"14","Age.at.Gluten.Introduction..months.6",19.3159009565821,2327.34473953657,0.00829954438139162,0.993377997699753
"15","Age.at.Gluten.Introduction..months.7",18.45591796738,2327.34473464782,0.00793003189111683,0.993672816302059
"16","Age.at.Gluten.Introduction..months.8",18.6441860038863,2327.34475922382,0.00801092572554839,0.993608274410678
"17","Age.at.Gluten.Introduction..months.9",20.152830790084,2327.344745443,0.00865915152000739,0.993091083032116
"18","Age.at.Solid.Introduction..months.4",0.380414225458648,33754.383922777,1.1270068691787e-05,0.999991007786192
"19","Age.at.Solid.Introduction..months.5",0.407376294555372,33754.3839207367,1.20688410581567e-05,0.999990370458053
"20","Age.at.Solid.Introduction..months.6",0.622676269525376,33754.3839216331,1.84472710558436e-05,0.999985281207236
"21","Age.at.Solid.Introduction..months.7",0.115601938467845,33754.3839211563,3.4247977607255e-06,0.999997267406743
"22","Age.at.Solid.Introduction..months.8",21.0103869525617,33674.0537611419,0.000623933996827152,0.999502172729272
