"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.399833916619814,0.491806258422417,0.81299070471851,0.416223387545835
"2","CountryUSA",0.394126206908613,0.559406031214149,0.704544078749369,0.481094009817252
"3","SexMale",0.75162981504091,0.327354728536847,2.29607135476678,0.021671801841472
"4","Delivery.ModeVaginal",-1.17906361066141,0.583393034404132,-2.02104506075511,0.0432751007159758
"5","HLA.CategoryLow/No Risk",-0.363674845021808,0.423094097533142,-0.859560195101329,0.390031524860751
"6","HLA.CategoryStandard Risk",-0.485877247125059,0.293793864260189,-1.65380324857553,0.0981674957107968
"7","feeding_first_yearBreastmilk_and_formula",-0.177172225354567,0.326186236928106,-0.543162786459373,0.587017726207893
"8","feeding_first_yearFormula",-0.0877285005724229,0.339648187951176,-0.258292267365294,0.796181353596615
"9","Age.at.Gluten.Introduction..months.11",19.6774123817935,2326.86643893652,0.00845661446334967,0.993252678304823
"10","Age.at.Gluten.Introduction..months.15",-0.404012547564929,3724.94143150055,-0.000108461449661553,0.999913460284042
"11","Age.at.Gluten.Introduction..months.36",19.5125832374995,2326.86642680604,0.00838577711754745,0.993309196325289
"12","Age.at.Gluten.Introduction..months.4",19.7379091714798,2326.86649542245,0.00848261351062013,0.993231934810435
"13","Age.at.Gluten.Introduction..months.5",19.931218295545,2326.86648177238,0.00856569057643708,0.993165651310444
"14","Age.at.Gluten.Introduction..months.6",19.2665266311585,2326.86640547616,0.00828003128405467,0.993393566363898
"15","Age.at.Gluten.Introduction..months.7",18.439649710209,2326.86640006607,0.00792467058258497,0.993677093872952
"16","Age.at.Gluten.Introduction..months.8",18.6414316185515,2326.86642430091,0.00801138880335693,0.9936079049399
"17","Age.at.Gluten.Introduction..months.9",20.1438903039527,2326.86641077635,0.00865708929857806,0.993092728385084
"18","Age.at.Solid.Introduction..months.4",0.405667046506736,33763.9787519808,1.20147879930453e-05,0.999990413586159
"19","Age.at.Solid.Introduction..months.5",0.431534135465156,33763.9787499217,1.27809029457512e-05,0.999989802314867
"20","Age.at.Solid.Introduction..months.6",0.635051968384478,33763.9787507956,1.88085643896312e-05,0.999984992936863
"21","Age.at.Solid.Introduction..months.7",0.123306576513162,33763.9787503202,3.65201558219773e-06,0.999997086113151
"22","Age.at.Solid.Introduction..months.8",21.0286601166057,33683.709833807,0.000624297626964475,0.999501882594456
