"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.819078545203591,0.739516446022268,1.10758665288551,0.26804037030248
"2","CountryUSA",0.40489573623314,0.559286291927916,0.723950760240206,0.469095965226185
"3","SexMale",0.730025147894401,0.324576769092704,2.24916019077722,0.0245023062072169
"4","Delivery.ModeVaginal",-1.17942170114349,0.582986076636762,-2.02307010134368,0.0430659205816146
"5","HLA.CategoryLow/No Risk",-0.383521069078654,0.423188338469092,-0.906265684130295,0.364795244084623
"6","HLA.CategoryStandard Risk",-0.503184607477674,0.293999513578727,-1.71151510202391,0.0869860657372358
"7","feeding_first_yearBreastmilk_and_formula",-0.158734160713774,0.327873007680661,-0.484133054552563,0.628291443952231
"8","feeding_first_yearFormula",-0.0475051312885612,0.342702476965652,-0.138619165257223,0.889751097840683
"9","Age.at.Gluten.Introduction..months.11",19.6792757065449,2331.64768205878,0.00844007259671781,0.993265876333806
"10","Age.at.Gluten.Introduction..months.15",-0.373885219426041,3731.55726048863,-0.000100195493014378,0.999920055563196
"11","Age.at.Gluten.Introduction..months.36",19.5274705032436,2331.64766897237,0.00837496623657981,0.993317821857408
"12","Age.at.Gluten.Introduction..months.4",19.7624716233641,2331.64773860576,0.00847575356094802,0.993237408061609
"13","Age.at.Gluten.Introduction..months.5",19.964439750932,2331.64772428586,0.00856237395683206,0.99316829749298
"14","Age.at.Gluten.Introduction..months.6",19.3162701608143,2331.64764766981,0.00828438644240199,0.993390091569472
"15","Age.at.Gluten.Introduction..months.7",18.4488067684379,2331.64764298215,0.00791234765851763,0.993686925835559
"16","Age.at.Gluten.Introduction..months.8",18.6532156444554,2331.64766721944,0.00800001471350083,0.993616979859773
"17","Age.at.Gluten.Introduction..months.9",20.1605926662579,2331.64765386807,0.00864650052627489,0.993101176686824
"18","Age.at.Solid.Introduction..months.4",0.389269393234516,33901.8737919879,1.14822382863838e-05,0.999990838499348
"19","Age.at.Solid.Introduction..months.5",0.423281840350869,33901.8737899447,1.24854998568372e-05,0.999990038012431
"20","Age.at.Solid.Introduction..months.6",0.615388122166708,33901.8737908424,1.81520386148372e-05,0.999985516768643
"21","Age.at.Solid.Introduction..months.7",0.121370125853631,33901.8737903609,3.58004181727972e-06,0.999997143539907
"22","Age.at.Solid.Introduction..months.8",21.0381287362564,33821.5873471333,0.000622032565187676,0.999503689851926
