"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.624772705938165,0.639033468836815,0.977683856019924,0.328230708780197
"2","CountryUSA",0.429208705257617,0.559141017775781,0.767621568821718,0.44271204448675
"3","SexMale",0.72570636411141,0.325147237185267,2.23193151014814,0.0256194899293361
"4","Delivery.ModeVaginal",-1.18714715613541,0.582296517568361,-2.03873305149216,0.0414766772041408
"5","HLA.CategoryLow/No Risk",-0.35310093644731,0.423527335102558,-0.833714632284137,0.404441810679963
"6","HLA.CategoryStandard Risk",-0.498930535313629,0.294702189625376,-1.69299907797722,0.0904556427106719
"7","feeding_first_yearBreastmilk_and_formula",-0.178682402383512,0.325767249955081,-0.548497132256696,0.583350597838078
"8","feeding_first_yearFormula",-0.0590916937088132,0.340428690259516,-0.173580239855126,0.862195362568276
"9","Age.at.Gluten.Introduction..months.11",19.7549903612204,2432.43266976776,0.00812149524496662,0.993520055568255
"10","Age.at.Gluten.Introduction..months.15",-0.416574644422954,3892.68012519521,-0.000107014866627929,0.999914614490304
"11","Age.at.Gluten.Introduction..months.36",19.6168422547242,2432.43265773487,0.00806470106884349,0.993565369280512
"12","Age.at.Gluten.Introduction..months.4",19.8608579738761,2432.43272327002,0.00816501841299696,0.993485330255831
"13","Age.at.Gluten.Introduction..months.5",20.0447726127409,2432.43271109843,0.00824062779672502,0.993425004725492
"14","Age.at.Gluten.Introduction..months.6",19.4010923389802,2432.43263720276,0.00797600395680065,0.993636137060633
"15","Age.at.Gluten.Introduction..months.7",18.5612871934202,2432.43263229257,0.0076307507747609,0.993911600855788
"16","Age.at.Gluten.Introduction..months.8",18.7192889457521,2432.43265591059,0.00769570697065995,0.993859774831727
"17","Age.at.Gluten.Introduction..months.9",20.2033410012935,2432.4326431286,0.00830581724775241,0.993372992849038
"18","Age.at.Solid.Introduction..months.4",0.520983144907027,37902.461237687,1.37453644933486e-05,0.999989032785888
"19","Age.at.Solid.Introduction..months.5",0.512109191007823,37902.4612358821,1.35112384343793e-05,0.999989219591456
"20","Age.at.Solid.Introduction..months.6",0.761561200036614,37902.4612366708,2.0092658238769e-05,0.999983968378207
"21","Age.at.Solid.Introduction..months.7",0.265251425800415,37902.4612362311,6.99826388970382e-06,0.99999441619329
"22","Age.at.Solid.Introduction..months.8",21.2595197223836,37824.3238309864,0.000562059478376383,0.999551541443563
