"","term","estimate","std.error","statistic","p.value"
"1","get(i)",1.28031557461802,0.455450107232719,2.81109951295681,0.00493725129881608
"2","CountryUSA",0.561027188360108,0.560431354214989,1.0010631706107,0.316796269044135
"3","SexMale",0.729072705000772,0.326416534974474,2.23356548116591,0.0255116773108171
"4","Delivery.ModeVaginal",-1.30540053065007,0.572889835726176,-2.27862400280743,0.0226894258515382
"5","HLA.CategoryLow/No Risk",-0.395626056721255,0.423230636057688,-0.934776509579826,0.349903487840756
"6","HLA.CategoryStandard Risk",-0.458941569626873,0.288835815557585,-1.58893580680397,0.112074886152653
"7","feeding_first_yearBreastmilk_and_formula",-0.235656767970587,0.336372994070776,-0.700581711744083,0.483564094860448
"8","feeding_first_yearFormula",-0.107022314018141,0.3389346167614,-0.315760942451863,0.752183965860741
"9","Age.at.Gluten.Introduction..months.11",19.6630211393598,2355.02820554018,0.00834937819135359,0.993338237449832
"10","Age.at.Gluten.Introduction..months.15",-0.459536319497653,3778.59607761105,-0.000121615623913998,0.999902964771566
"11","Age.at.Gluten.Introduction..months.36",19.6619257640767,2355.02818916928,0.00834891312745275,0.993338608504206
"12","Age.at.Gluten.Introduction..months.4",19.8072689212453,2355.0282639195,0.00841062896131867,0.993289368122089
"13","Age.at.Gluten.Introduction..months.5",19.9871492848531,2355.02824464845,0.00848701043406667,0.993228426699382
"14","Age.at.Gluten.Introduction..months.6",19.3039891304264,2355.02816817368,0.00819692494183484,0.993459873380991
"15","Age.at.Gluten.Introduction..months.7",18.4606115656024,2355.02816726897,0.00783880712009081,0.99374560087607
"16","Age.at.Gluten.Introduction..months.8",18.6536999333377,2355.02818657808,0.00792079688882283,0.993680184536397
"17","Age.at.Gluten.Introduction..months.9",20.23478671542,2355.02817659432,0.00859216331954133,0.993144529894701
"18","Age.at.Solid.Introduction..months.4",0.468012992102421,36469.640589295,1.28329477488681e-05,0.999989760789122
"19","Age.at.Solid.Introduction..months.5",0.433236716259999,36469.6405873517,1.18793799248532e-05,0.999990521626166
"20","Age.at.Solid.Introduction..months.6",0.690116879095611,36469.6405880059,1.89230512823473e-05,0.999984901589539
"21","Age.at.Solid.Introduction..months.7",0.106422320051626,36469.6405877685,2.91810718001206e-06,0.999997671687334
"22","Age.at.Solid.Introduction..months.8",21.2631265829983,36393.5232290547,0.000584255787744753,0.99953383135392
