"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.829306539596474,0.40029175973312,2.07175521212174,0.0382882754608622
"2","CountryUSA",0.445330156463853,0.560868183779754,0.794001459420862,0.427194581732292
"3","SexMale",0.656945681149156,0.322554356423606,2.03669759240951,0.0416803559527228
"4","Delivery.ModeVaginal",-1.17991461287237,0.582347065740635,-2.02613644386057,0.0427508043930173
"5","HLA.CategoryLow/No Risk",-0.335345961629923,0.425779450490109,-0.787604853273005,0.430927874982167
"6","HLA.CategoryStandard Risk",-0.523251453028052,0.294884028839702,-1.77443130808719,0.0759918350225923
"7","feeding_first_yearBreastmilk_and_formula",-0.227447620980901,0.327976674072148,-0.693487186624947,0.488003864242158
"8","feeding_first_yearFormula",-0.0749265916991955,0.340861264841933,-0.21981550685714,0.826014842265384
"9","Age.at.Gluten.Introduction..months.11",19.7561878565747,2335.80881509173,0.00845796442282834,0.993251601231517
"10","Age.at.Gluten.Introduction..months.15",-0.311869604600351,3744.79326608739,-8.32808602345613e-05,0.999933551487485
"11","Age.at.Gluten.Introduction..months.36",19.520625860953,2335.80879715319,0.00835711633792291,0.993332063517558
"12","Age.at.Gluten.Introduction..months.4",19.9337131057054,2335.80887209217,0.00853396583250875,0.993190963068663
"13","Age.at.Gluten.Introduction..months.5",20.1388722686894,2335.80885814167,0.00862179805444852,0.993120885673055
"14","Age.at.Gluten.Introduction..months.6",19.3507678493652,2335.80878011558,0.00828439725635745,0.99339008294148
"15","Age.at.Gluten.Introduction..months.7",18.4994345036509,2335.80877458731,0.00791992679577092,0.993680878748435
"16","Age.at.Gluten.Introduction..months.8",18.7305801747579,2335.80879983914,0.0080188841552647,0.99360192470643
"17","Age.at.Gluten.Introduction..months.9",20.2446773026462,2335.80878484738,0.00866709528364451,0.993084745063591
"18","Age.at.Solid.Introduction..months.4",0.245636816098013,35616.7726445848,6.89666125982808e-06,0.99999449726046
"19","Age.at.Solid.Introduction..months.5",0.342640095843947,35616.7726424779,9.62018932156985e-06,0.999992324199468
"20","Age.at.Solid.Introduction..months.6",0.471379087133257,35616.7726435596,1.32347501513025e-05,0.999989440197188
"21","Age.at.Solid.Introduction..months.7",-0.0458420731517929,35616.7726431274,-1.28709228124403e-06,0.99999897304894
"22","Age.at.Solid.Introduction..months.8",20.9836039030781,35540.0945154063,0.000590420599303187,0.999528912546806
