"","term","estimate","std.error","statistic","p.value"
"1","get(i)",1.1215879371618,0.631033119345154,1.77738363134682,0.0755051420664232
"2","CountryUSA",0.394486072686428,0.559721252381812,0.704790234438572,0.480940786727251
"3","SexMale",0.687556147127896,0.325043774400087,2.11527246875248,0.0344067315411326
"4","Delivery.ModeVaginal",-1.15048031152107,0.582954990447379,-1.97353197137596,0.0484349857162095
"5","HLA.CategoryLow/No Risk",-0.373113060227837,0.427113572936285,-0.873568727078352,0.382353163198895
"6","HLA.CategoryStandard Risk",-0.528781042689747,0.295021749051585,-1.79234596903325,0.0730775639975108
"7","feeding_first_yearBreastmilk_and_formula",-0.218441362826208,0.333446874556472,-0.655100945590699,0.512402763322234
"8","feeding_first_yearFormula",-0.0368314784961898,0.341850824059463,-0.107741376951554,0.914200846472223
"9","Age.at.Gluten.Introduction..months.11",19.695125687305,2352.6806365343,0.0083713553728727,0.993320702808818
"10","Age.at.Gluten.Introduction..months.15",-0.294724008403183,3770.06334549894,-7.81748160160367e-05,0.999937625521321
"11","Age.at.Gluten.Introduction..months.36",19.5630613844377,2352.68062261641,0.00831522187770719,0.993365489299117
"12","Age.at.Gluten.Introduction..months.4",19.8833558441118,2352.68069353593,0.00845136184384989,0.993256869139064
"13","Age.at.Gluten.Introduction..months.5",20.0782316371766,2352.6806768024,0.00853419328647077,0.993190781593267
"14","Age.at.Gluten.Introduction..months.6",19.3727805403543,2352.68060206127,0.00823434363482281,0.993430018591138
"15","Age.at.Gluten.Introduction..months.7",18.4902584464851,2352.68059713525,0.00785923021977562,0.993729306102093
"16","Age.at.Gluten.Introduction..months.8",18.6742342259154,2352.68062075976,0.00793742850650286,0.993666914842574
"17","Age.at.Gluten.Introduction..months.9",20.2401319172734,2352.68060866388,0.00860300877337025,0.993135876794354
"18","Age.at.Solid.Introduction..months.4",0.426216321784042,36484.8969730388,1.16819932943487e-05,0.999990679117911
"19","Age.at.Solid.Introduction..months.5",0.495587182127111,36484.8969711292,1.35833515582975e-05,0.999989162053508
"20","Age.at.Solid.Introduction..months.6",0.648222651356411,36484.8969719574,1.7766876301025e-05,0.999985824083707
"21","Age.at.Solid.Introduction..months.7",0.154842862740176,36484.896971597,4.2440263120578e-06,0.99999661375693
"22","Age.at.Solid.Introduction..months.8",21.0840257523116,36408.9596832774,0.000579088936781553,0.999537953903834
