"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.146605112332231,0.339435071946738,0.431909146840416,0.665807446577885
"2","CountryUSA",0.392342502598019,0.559018847014623,0.701841279043237,0.482778152575658
"3","SexMale",0.729980462433119,0.324042009688348,2.2527340301808,0.024275923915928
"4","Delivery.ModeVaginal",-1.22461888511083,0.582718435700783,-2.10156193812212,0.0355916669642519
"5","HLA.CategoryLow/No Risk",-0.368092505250237,0.422156092749021,-0.87193460327262,0.383244054948871
"6","HLA.CategoryStandard Risk",-0.525800462355447,0.295452671475041,-1.77964362187148,0.0751343024578184
"7","feeding_first_yearBreastmilk_and_formula",-0.173374925141286,0.326966014315352,-0.53025365802719,0.595936072512418
"8","feeding_first_yearFormula",-0.100079684931544,0.341682554944719,-0.292902530384486,0.769596654671784
"9","Age.at.Gluten.Introduction..months.11",19.690541363254,2322.90153265388,0.00847670083576803,0.993236652272806
"10","Age.at.Gluten.Introduction..months.15",-0.407349186008474,3723.83868035158,-0.000109389589876115,0.999912719735299
"11","Age.at.Gluten.Introduction..months.36",19.5496711752818,2322.90151807743,0.00841605682511341,0.993285037466643
"12","Age.at.Gluten.Introduction..months.4",19.7569734038389,2322.90158761151,0.00850529936748367,0.993213834768442
"13","Age.at.Gluten.Introduction..months.5",19.9876841165436,2322.90157318146,0.0086046194756192,0.993134591687464
"14","Age.at.Gluten.Introduction..months.6",19.3289760895456,2322.90149754488,0.00832104852916695,0.993360840464708
"15","Age.at.Gluten.Introduction..months.7",18.4707346015102,2322.9014927432,0.00795157894521712,0.993655624782288
"16","Age.at.Gluten.Introduction..months.8",18.6577544160854,2322.90151747979,0.00803209015779883,0.993591388180225
"17","Age.at.Gluten.Introduction..months.9",20.1630598268598,2322.90150338023,0.00868011829064598,0.993074354598222
"18","Age.at.Solid.Introduction..months.4",0.351618863970289,33768.3554474393,1.0412673620354e-05,0.999991691888482
"19","Age.at.Solid.Introduction..months.5",0.385065421558993,33768.355445397,1.14031440524736e-05,0.999990901607416
"20","Age.at.Solid.Introduction..months.6",0.602820185491554,33768.3554462858,1.78516299513146e-05,0.999985756460077
"21","Age.at.Solid.Introduction..months.7",0.0799352178359541,33768.3554459056,2.36716348132513e-06,0.999998111276805
"22","Age.at.Solid.Introduction..months.8",21.0007210286037,33688.3656091104,0.000623382008859592,0.999502613151863
