"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.357692202194216,1.02787917906615,0.347990512386082,0.727847308748872
"2","CountryUSA",0.403816083880119,0.558899872900247,0.722519548599347,0.469975111003253
"3","SexMale",0.725108832899043,0.324032625338607,2.23776489216578,0.0252363909885017
"4","Delivery.ModeVaginal",-1.20668131027131,0.581597757694135,-2.07476953669053,0.0380078991915619
"5","HLA.CategoryLow/No Risk",-0.369539420090727,0.42341850273428,-0.872752177111718,0.382798171154541
"6","HLA.CategoryStandard Risk",-0.505530183337563,0.294528684751665,-1.71640390057018,0.0860881431604985
"7","feeding_first_yearBreastmilk_and_formula",-0.1758041621821,0.325940562543531,-0.539374911824976,0.589628188477544
"8","feeding_first_yearFormula",-0.078764500936281,0.340743259796002,-0.231154978629471,0.817194404685137
"9","Age.at.Gluten.Introduction..months.11",19.6743174511442,2327.20921792312,0.00845403898352647,0.993254733166956
"10","Age.at.Gluten.Introduction..months.15",-0.407665897093401,3726.29633995885,-0.000109402436065486,0.999912709485523
"11","Age.at.Gluten.Introduction..months.36",19.5332203707644,2327.20920483977,0.00839340972446407,0.993303106600388
"12","Age.at.Gluten.Introduction..months.4",19.7447098682985,2327.20927402119,0.00848428634618731,0.993230600128792
"13","Age.at.Gluten.Introduction..months.5",19.9803536369898,2327.2092602019,0.00858554233977927,0.993149812477383
"14","Age.at.Gluten.Introduction..months.6",19.310805181221,2327.20918382462,0.00829783816402998,0.993379359017366
"15","Age.at.Gluten.Introduction..months.7",18.4577221343362,2327.20917884936,0.00793126905053815,0.993671829222699
"16","Age.at.Gluten.Introduction..months.8",18.6497470949594,2327.20920352621,0.00801378194392713,0.993605995551281
"17","Age.at.Gluten.Introduction..months.9",20.1543060323829,2327.20918965428,0.00866028981063665,0.993090174841651
"18","Age.at.Solid.Introduction..months.4",0.386449511779181,33780.7351171878,1.14399378947368e-05,0.999990872250177
"19","Age.at.Solid.Introduction..months.5",0.413933312080065,33780.7351151424,1.22535318035313e-05,0.999990223096159
"20","Age.at.Solid.Introduction..months.6",0.626569254243052,33780.7351160365,1.85481237187643e-05,0.999985200738454
"21","Age.at.Solid.Introduction..months.7",0.120283051333351,33780.7351155625,3.56069963906553e-06,0.999997158972732
"22","Age.at.Solid.Introduction..months.8",21.0230493267566,33700.4786705379,0.000623820496209618,0.999502263289644
