"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.631381656450121,0.445772264321692,1.41637716606452,0.156665105671466
"2","CountryUSA",0.401824713933211,0.559815668397427,0.717780399186587,0.472892700834639
"3","SexMale",0.774282259144411,0.328152280462186,2.35952118953393,0.0182985358111428
"4","Delivery.ModeVaginal",-1.15927285132724,0.581878897661204,-1.99229230684736,0.0463389953047136
"5","HLA.CategoryLow/No Risk",-0.35882039172749,0.424810899949245,-0.844659098366733,0.398301202301573
"6","HLA.CategoryStandard Risk",-0.454202531843034,0.295412206910652,-1.53752120331442,0.12416572679891
"7","feeding_first_yearBreastmilk_and_formula",-0.176467016419343,0.327197452776496,-0.539328820936405,0.589659985533802
"8","feeding_first_yearFormula",-0.0716032366876394,0.340060558844798,-0.210560251182551,0.833230431833029
"9","Age.at.Gluten.Introduction..months.11",19.6421730503696,2339.91453004289,0.00839439765776813,0.993302318371427
"10","Age.at.Gluten.Introduction..months.15",-0.429037696705731,3746.1023082334,-0.000114529092214798,0.999908619005759
"11","Age.at.Gluten.Introduction..months.36",19.5272390532414,2339.91451771926,0.00834527881483241,0.993341508165117
"12","Age.at.Gluten.Introduction..months.4",19.7490483482786,2339.91458692453,0.0084400723251338,0.993265876550491
"13","Age.at.Gluten.Introduction..months.5",19.8859268721684,2339.91457283578,0.00849856960720934,0.993219204146202
"14","Age.at.Gluten.Introduction..months.6",19.2351229410083,2339.91449648231,0.00822043838350726,0.99344111300098
"15","Age.at.Gluten.Introduction..months.7",18.4394701169006,2339.91449120045,0.00788040340202369,0.993712412870015
"16","Age.at.Gluten.Introduction..months.8",18.6086867317699,2339.91451507177,0.0079527207562107,0.99365471377773
"17","Age.at.Gluten.Introduction..months.9",20.1353074749752,2339.91450196409,0.00860514666586064,0.993134171066082
"18","Age.at.Solid.Introduction..months.4",0.461249711275515,34442.4584812099,1.33918927862583e-05,0.999989314815506
"19","Age.at.Solid.Introduction..months.5",0.478510104166521,34442.4584791379,1.38930298618595e-05,0.999988914965971
"20","Age.at.Solid.Introduction..months.6",0.715675354885366,34442.4584799996,2.07788696414035e-05,0.999983420860723
"21","Age.at.Solid.Introduction..months.7",0.172925581757272,34442.4584795444,5.02070959481519e-06,0.99999599405333
"22","Age.at.Solid.Introduction..months.8",21.1075934586915,34362.8839060638,0.000614255587988259,0.999509894980777
