"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.67503830204861,0.475364000527177,1.42004506294123,0.155594562377155
"2","CountryUSA",0.0397202064227992,0.383057016277066,0.103692674288648,0.917413240386526
"3","SexMale",0.967698671196566,0.313487755659268,3.08687868577669,0.00202270127018308
"4","Delivery.ModeVaginal",-0.666212958018431,0.385123238008084,-1.72986953855131,0.083653586784666
"5","HLA.CategoryLow/No Risk",-0.390478045535808,0.413443395781463,-0.94445345969973,0.34493797386435
"6","HLA.CategoryStandard Risk",-0.542673721654159,0.289488710544799,-1.8745937298656,0.0608486364413423
"7","feeding_first_yearBreastmilk_and_formula",-0.450002159714081,0.335276024721742,-1.34218413048638,0.179536300687764
"8","feeding_first_yearFormula",0.000903207336894719,0.326414667542829,0.00276705499692721,0.997792212356415
"9","feeding_first_yearUnknown",18.9281180087833,9572.55894581677,0.00197733104762493,0.998422319113584
"10","Age.at.Gluten.Introduction..months.11",19.6479629174495,2247.76809643993,0.00874109875861678,0.993025701070146
"11","Age.at.Gluten.Introduction..months.12",0.786099625363268,18704.8288219617,4.20265607798717e-05,0.99996646765602
"12","Age.at.Gluten.Introduction..months.15",-0.103654413313354,3586.79763383882,-2.88988741197579e-05,0.999976942034518
"13","Age.at.Gluten.Introduction..months.36",19.4192980638164,2247.7680848516,0.00863936906778286,0.993106866554929
"14","Age.at.Gluten.Introduction..months.4",19.9971051888738,2247.76815691469,0.00889642694125631,0.992901771930599
"15","Age.at.Gluten.Introduction..months.5",19.822420224947,2247.76814226828,0.00881871214926271,0.992963776930864
"16","Age.at.Gluten.Introduction..months.6",18.9454755173217,2247.76806185704,0.00842857225298837,0.993275051954139
"17","Age.at.Gluten.Introduction..months.7",18.2512379537945,2247.76805585111,0.00811971586938662,0.993521475257747
"18","Age.at.Gluten.Introduction..months.8",18.4284610169277,2247.76807610885,0.0081985598126429,0.993458568986644
"19","Age.at.Gluten.Introduction..months.9",20.1904981895298,2247.76806834861,0.00898246508340309,0.992833126168284
"20","Age.at.Gluten.Introduction..months.Unknown",1.08773006743899,9832.92152704314,0.000110621249691401,0.999911737012954
"21","Age.at.Solid.Introduction..months.11",-17.9726566189616,34793.9404294465,-0.000516545593776757,0.999587856264103
"22","Age.at.Solid.Introduction..months.4",0.669012064128033,33451.1941306887,1.99996466946533e-05,0.999984042590682
"23","Age.at.Solid.Introduction..months.5",0.83922329205009,33451.1941285305,2.5087992040748e-05,0.999979982678491
"24","Age.at.Solid.Introduction..months.6",0.915122265561647,33451.1941294994,2.73569386497516e-05,0.999978172321023
"25","Age.at.Solid.Introduction..months.7",0.253201493331186,33451.194129023,7.56928115494397e-06,0.99999396058743
"26","Age.at.Solid.Introduction..months.8",20.7120170901111,33375.6022619819,0.000620573583287936,0.999504853950833
"27","Age.at.Solid.Introduction..months.Unknown",1.0878157930203,33451.1941311426,3.25194905974241e-05,0.999974053200532
