"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.461142571707724,0.542118261692108,0.850630949542935,0.394974391443426
"2","CountryUSA",0.0791183853263536,0.38246826725854,0.206862613448847,0.83611715508755
"3","SexMale",0.968391140008269,0.312238251847949,3.10144940370679,0.0019257577934156
"4","Delivery.ModeVaginal",-0.699794180536434,0.38307219345124,-1.82679451158208,0.0677306714141891
"5","HLA.CategoryLow/No Risk",-0.449953504332363,0.415656732603533,-1.0825122487828,0.279024975692066
"6","HLA.CategoryStandard Risk",-0.566394712516571,0.287894949405277,-1.96736592179407,0.0491410401512865
"7","feeding_first_yearBreastmilk_and_formula",-0.452234885655333,0.334377535737839,-1.35246790624684,0.176225678895253
"8","feeding_first_yearFormula",-0.00145260795381645,0.326303230647247,-0.00445171183544549,0.996448059589263
"9","feeding_first_yearUnknown",18.9651393099388,9573.74892646833,0.00198095223256862,0.998419429831684
"10","Age.at.Gluten.Introduction..months.11",19.5968461655223,2245.97932722187,0.00872530122072063,0.993038305201072
"11","Age.at.Gluten.Introduction..months.12",0.754320005390279,18716.662161108,4.03020580751683e-05,0.999967843610102
"12","Age.at.Gluten.Introduction..months.15",-0.128659180429039,3587.40919440847,-3.58640939621757e-05,0.999971384593146
"13","Age.at.Gluten.Introduction..months.36",19.4525219604359,2245.97931655654,0.00866104234221525,0.993089574430841
"14","Age.at.Gluten.Introduction..months.4",19.9483292387475,2245.97938562448,0.00888179533900794,0.99291344579891
"15","Age.at.Gluten.Introduction..months.5",19.7460844288778,2245.97937136258,0.00879174790323135,0.992985290452455
"16","Age.at.Gluten.Introduction..months.6",18.9262966568244,2245.97929293284,0.00842674583705092,0.993276509171466
"17","Age.at.Gluten.Introduction..months.7",18.2212003358304,2245.97928666948,0.00811280871732805,0.993526986186218
"18","Age.at.Gluten.Introduction..months.8",18.404331227172,2245.97930784531,0.00819434585300269,0.993461931127042
"19","Age.at.Gluten.Introduction..months.9",20.1775674667999,2245.9792989977,0.00898386172829128,0.992832011851853
"20","Age.at.Gluten.Introduction..months.Unknown",1.04073354606878,9833.67129870636,0.000105833672334125,0.999915556946989
"21","Age.at.Solid.Introduction..months.11",-17.9208729136021,34811.9170463013,-0.000514791325331683,0.999589255967624
"22","Age.at.Solid.Introduction..months.4",0.728534291990281,33469.6383343734,2.17670201485887e-05,0.99998263243069
"23","Age.at.Solid.Introduction..months.5",0.858483664586548,33469.6383322639,2.56496247752695e-05,0.999979534560404
"24","Age.at.Solid.Introduction..months.6",0.963490732634425,33469.638333242,2.87870075870371e-05,0.999977031291098
"25","Age.at.Solid.Introduction..months.7",0.256372839010963,33469.6383327207,7.65986284232795e-06,0.9999938883137
"26","Age.at.Solid.Introduction..months.8",20.7278133653519,33394.1869160465,0.000620701244125568,0.999504752092242
"27","Age.at.Solid.Introduction..months.Unknown",1.12903105842621,33469.6383349038,3.37329924849772e-05,0.999973084966112
